created_at,text,sad
2021-07-12 05:46:47,"RT @descuajeringado: Que pena con @Cuarto_Poder. Uno esperaba los domingos para ver el destape dominical de #CuartoPoder, en dónde los hech…",
2021-07-12 05:46:08,"RT @JERCBM: Sebastian Salazar: ""Lima es un país""  #CuartoPoder",
2021-07-12 05:45:40,"RT @buxtrep: Sebastián Salazar en #CuartoPoder sobre Julián Payasín: Han vuelto las amenazas sobre la prensa libre, Willax y Beto Ortiz @Po…",
2021-07-12 05:45:33,RT @noticiAmerica: #CuartoPoder Exministro de Educación Nicolás Lynch: Creo que lo fundamental en este momento es que se declare a Pedro Ca…,
2021-07-12 05:44:39,RT @Jorge_JDT: #CuartoPoder Comenzó el programa favorito de la Señora K. https://t.co/YS0Yzh3V5z,
2021-07-12 05:44:28,RT @RosaTolerante: vas a ver los dominicales #CuartoPoder #Panorama #PuntoFinal? https://t.co/Dmo4KKx2dF,
2021-07-12 05:44:24,"RT @buxtrep: Sebastián Salazar en #CuartoPoder sobre Julián Payasín: Han vuelto las amenazas sobre la prensa libre, Willax y Beto Ortiz @Po…",
2021-07-12 05:44:23,"RT @MadameTempestad: San Marcos se hace presente

Y Coné sigue siendo un baboso....""Lima es un país""

El subconsciente lo ganó
🤣🤣🤣🤣
#Cuarto…",
2021-07-12 05:44:02,"RT @buxtrep: Sebastián Salazar en #CuartoPoder sobre Julián Payasín: Han vuelto las amenazas sobre la prensa libre, Willax y Beto Ortiz @Po…",
2021-07-12 05:43:15,"RT @JERCBM: Sebastian Salazar: ""Lima es un país""  #CuartoPoder",
2021-07-12 05:42:35,"RT @descuajeringado: Que pena con @Cuarto_Poder. Uno esperaba los domingos para ver el destape dominical de #CuartoPoder, en dónde los hech…",
2021-07-12 05:41:48,RT @RosaTolerante: vas a ver los dominicales #CuartoPoder #Panorama #PuntoFinal? https://t.co/Dmo4KKx2dF,
2021-07-12 05:41:21,"@Carlo_Angelesm Regidor de Lima @MuniLima o troll de Perú Libre?

Estás buscando chamba en el próximo gobierno?

Cambia de canal la próxima semana pq te veo siempre por la tendencia #CuartoPoder

#SOSPeru #SOSCuba",
2021-07-12 05:40:54,"RT @RosaTolerante: Sebastian Salazar arrancara sonrisas
#CuartoPoder https://t.co/mjltGXWzFo",
2021-07-12 05:40:22,"RT @JERCBM: Sebastian Salazar: ""Lima es un país""  #CuartoPoder",
2021-07-12 05:40:16,RT @RosaTolerante: vas a ver los dominicales #CuartoPoder #Panorama #PuntoFinal? https://t.co/Dmo4KKx2dF,
2021-07-12 05:38:31,"RT @Carlo_Angelesm: Convirtieron a #CuartoPoder en intrascendente, solo memes asociados a la tendencia.

Uno de los dominicales de antaño c…",
2021-07-12 05:38:30,@rataneda Triste final d #CuartoPoder 🤷‍♀️,
2021-07-12 05:37:50,RT @Marcelvelazq: El reportaje político más revelador de #CuartoPoder ha sido el homenaje a Raffaella Carrá.,
2021-07-12 05:37:12,"RT @JERCBM: Sebastian Salazar: ""Lima es un país""  #CuartoPoder",
2021-07-12 05:36:58,"RT @descuajeringado: Que pena con @Cuarto_Poder. Uno esperaba los domingos para ver el destape dominical de #CuartoPoder, en dónde los hech…",
2021-07-12 05:36:58,"RT @buxtrep: Sebastián Salazar en #CuartoPoder sobre Julián Payasín: Han vuelto las amenazas sobre la prensa libre, Willax y Beto Ortiz @Po…",
2021-07-12 05:36:33,"RT @Chela_Helada: ""Este domingo en #CuartoPoder"":
- Hace años: Rómulo León, Chávarry y Cuellos Blancos.
- Ahora: La broma de Tatiana Alemán…",
2021-07-12 05:36:04,Los que vuelven #CuartoPoder tendencia son los mismos que ven #BetoASaber solo para burlarse o renegar no?,
2021-07-12 05:35:19,"RT @diegoma96722323: Rodríguez Monteza será usado por el comunista Salas Arenas, ya que no puede falsificar su firma como sus camaradas del…",
2021-07-12 05:35:14,#CuartoPoder se viene el Quino!!! https://t.co/ZGFSNeSB3z,
2021-07-12 05:35:05,"RT @miguelus: Porque si luchan por la verdadera democracia, sigue viendo #CuartoPoder ????",
2021-07-12 05:34:44,"RT @buxtrep: Sebastián Salazar en #CuartoPoder sobre Julián Payasín: Han vuelto las amenazas sobre la prensa libre, Willax y Beto Ortiz @Po…",
2021-07-12 05:34:10,RT @Marcelvelazq: El reportaje político más revelador de #CuartoPoder ha sido el homenaje a Raffaella Carrá.,
2021-07-12 05:33:16,#CuartoPoder  🤣🤣🤣🤣🤣🥑🥑🥑🥑🥑🥑  A Q HORA LO VOTAN A ESTE PAYAZO https://t.co/4x2xenXO2p,
