created_at,text,sad
2021-07-12 05:13:53,"RT @PasquinDeM: Vamos con todo Perú!
Apoyemos el HT #SOSPeru 
#SOSPeru 
Gracias! ",
2021-07-12 05:13:50,"RT @colectivoUD: Unidos venceremos 
#SOSCuba #SOSPeru",
2021-07-12 05:13:44,RT @gema1915: #FueraSagasti #SOSPeru Te metiste con el país equivocado!!!,
2021-07-12 05:13:41,RT @EvaMas14: Si cae la dictadura cubana caerá también Maduro! #SOSCuba #SOSPeru #SOSVenezuela,
2021-07-12 05:13:32,RT @justicierope: Ni Cantinflas se atrevió a tanto. ¡Un burro no puede ser mi presidente! #SOSPerú https://t.co/PhaeRTRDVD,
2021-07-12 05:13:29,RT @ComandoAntic1: La gran pregunta que todos nos hacemos. Como llegamos hasta esta situación???. Sigamos luchando a pesar de que sintamos…,
2021-07-12 05:13:29,"RT @milton_roman_: El grito de Cuba exigiendo libertad y el grito de Perú exigiendo no perderla, es el mismo.

Nos une el derecho de vivir…",
2021-07-12 05:13:26,RT @AlbertoZevallo5: #NoAlComunismoEnElPeru En CUBA donde PROVIENE LA IDEOLOGÍA DE @perulibre1 @VLADIMIR_CERRON @PedroCastilloTe yá se REBE…,
2021-07-12 05:13:25,"RT @Bruja65344629: NO AL COMUNISMO!
#SOSPeru ❤️🤍",
2021-07-12 05:13:21,"RT @justicierope: No quiero que mi Perú sea como Cuba, ¡el asesino de Inti y Bryan debe caer! #SOSCuba #SOSPerú",
2021-07-12 05:13:19,"Te cerebro está muerto Castillo, y el cerebro de quiénes votaron por ti.

Pdt. No son mayoría, aunque les duela.

#CuartoPoder 
Rodriguez Monteza
#SOSPeru https://t.co/xWZiB6fWTW",
2021-07-12 05:13:18,"RT @carlosmllerb: Que Dios no existe y hace milagros ?
Cuba luchando a punto de conseguir su libertad.
El golpe más duro al comunismo.
No v…",
2021-07-12 05:13:17,RT @vladisite2: CSM. Rojos miserables pero ya pagarán! #SOSPerú,
2021-07-12 05:13:15,RT @EvaMas14: Si cae la dictadura cubana caerá también Maduro! #SOSCuba #SOSPeru #SOSVenezuela,
2021-07-12 05:13:11,"RT @PasquinDeM: Ya somos #1 🧡
Sigamos apoyando el HT #SOSPeru 
Gracias Perú!!! https://t.co/uMD4gXdXR3",
2021-07-12 05:13:03,RT @veritatisperu: Ruego a Dios q la insurgencia en Cuba ante un gobierno asesino y totalitario tenga éxito al igual que en Peru. Los cuban…,
2021-07-12 05:13:00,"Unidos venceremos 
#SOSCuba #SOSPeru https://t.co/7SpqbyKwZk",
2021-07-12 05:12:58,RT @Patriota200Peru: @DraGonzalez @willaxtv @DraGonzalez Pregunte al @Minsa_Peru respecto a las facilidades que tiene PARA CELEBRAR BAILAND…,
2021-07-12 05:12:56,"RT @provida_pe: #SOSPeru Tienen el cuaje de bailar, cuando hay más de 190 mil peruanos fallecidos. Para los comunistas la muerte del pueblo…",
2021-07-12 05:12:53,"RT @MarianaAlegriaA: El comunismo hambreador quiere destruir toda América
#SOSCuba #SOSVenezuela #SOSNicaragua #SOSPeru 
#IntervencionHuman…",
2021-07-12 05:12:44,"@PolloFarsantePe FRAUDE COMUNISTA EN PERU
#SOSCuba  #SOSPeru #SOSPeru #SOSPeru #SOSPeru
#SOSPeru #SOSPeru #SOSPeru #SOSPeru #SOSPeru
#SOSPeru #SOSPeru #SOSPeru #SOSPeru 
#SOSPeru #SOSPeru #SOSPeru Rodríguez Monteza https://t.co/tFQnmzmuwV",
2021-07-12 05:12:41,RT @justicierope: Ni Cantinflas se atrevió a tanto. ¡Un burro no puede ser mi presidente! #SOSPerú https://t.co/PhaeRTRDVD,
2021-07-12 05:12:38,El pedido de #SOSPeru es igual a #ResistePerú para señalar que pronto acabaremos con la mafia fujimontesinista. 🤷‍♂️,
2021-07-12 05:12:35,"RT @lalibertadguia1: #SOSCuba  #SOSPeru #SOSPeru #SOSPeru #SOSPeru
#SOSPeru #SOSPeru #SOSPeru #SOSPeru #SOSPeru
#SOSPeru #SOSPeru #SOSPeru…",
2021-07-12 05:12:35,"RT @RoxanaGavil: La izquierda peruana quiere imponer el comunismo de Pedro Castillo con fraude.
#ComunismoEsMiseria
#ComunismoNuncaMas
#SOS…",
2021-07-12 05:12:34,"RT @GustavoChZ1: #SOSPeru
Más de varios meses los peruanos llevan en las calles pidiendo ayuda a gritos! Que quede claro que no pertenecemo…",
2021-07-12 05:12:32,RT @el_analista2020: La situación que está viviendo Cuba nos confirma y nos recuerda que con nuestras protestas en la calle estamos en el c…,
2021-07-12 05:12:26,"RT @sinpaltasp: Los cubanos después de más de 58 años en dictadura comunista, por fin decidieron salir a las calles para decir basta a un g…",
2021-07-12 05:12:23,RT @justicierope: Ni Cantinflas se atrevió a tanto. ¡Un burro no puede ser mi presidente! #SOSPerú https://t.co/PhaeRTRDVD,
2021-07-12 05:12:22,"RT @JulioCesar_Ruiz: ✍Justo cuando Pedro Castillo y Vladimir Cerrón proponen instalar un modelo comunista para el Perú, se empieza a caer e…",
2021-07-12 05:12:20,"No podemos comparar toda esta problemática con el pseudo fraude de Keiko y sus aliados, no seamos básicos. Con esto no quiero decir que el gobierno de Cuba está en lo correcto o es democrático, sería ciega.
El hashtag #SOSPeru es una burla sin duda 2/2",
2021-07-12 05:12:20,"RT @adama1821: EL IDIOTA DE LA SEMANA::: JULIÁN ""PAYASÍN"" ENVIÓ UNA CARTA AL MINISTRO DE TRANSPORTE Y COMUNICACIONES FIRMADA POR PEDRO C…",
2021-07-12 05:12:17,"RT @PasquinDeM: Vamos a Darle duro al HT #SOSPeru 
Hagámoslo por el Perú! ",
2021-07-12 05:12:13,"RT @alt159: Cuba, hoy. Tras más de 60 años de esa gran utopía llamada comunismo, les llego un 2do virus para el que el 1ro nunca pudo prepa…",
2021-07-12 05:12:12,RT @marita_molina4: Partidos políticos democráticos peruanos deberían emitir pronunciamientos apoyando al pueblo cubano que está luchando p…,
2021-07-12 05:12:08,RT @vladisite2: CSM. Rojos miserables pero ya pagarán! #SOSPerú,
2021-07-12 05:12:08,"RT @CharitoABC: Ica presente en contra el fraude de Pedro Castillo!!! 
#SOSPeru 
#SOSPeru https://t.co/BVtP1gXSfj",
2021-07-12 05:12:07,RT @justicierope: Ni Cantinflas se atrevió a tanto. ¡Un burro no puede ser mi presidente! #SOSPerú https://t.co/PhaeRTRDVD,
2021-07-12 05:12:01,"RT @PasquinDeM: Amigos sigamos apoyando el HT #SOSPeru
A darle con todo por el Perú!! ",
2021-07-12 05:11:49,"RT @milton_roman_: El grito de Cuba exigiendo libertad y el grito de Perú exigiendo no perderla, es el mismo.

Nos une el derecho de vivir…",
2021-07-12 05:11:48,"RT @CharitoABC: Hoy domingo siguen las manifestaciones en el centro de Lima contra el fraude de Perú Libre! 
#SOSPeru https://t.co/Ebjp49U3…",
2021-07-12 05:11:46,"RT @RitaFarje: @canalN_ #DespiertaPeru #NoAlComunismoEnElPeru   No esperes 62 años                                   
#SOSCUBA…",
2021-07-12 05:11:40,"Cualquier muerto en las protestas culpamos a Sagasti, Perú Libre Cerrón Castillo y toda su cúpula, también Tatiana Astengo, Jason Day, Rosa María Palacios, Gorriti, La República entre otros, los hacemos responsables d cualquier muerto x promover q no se oiga nuestra voz #SOSPeru",
