created_at,text,sad
2021-07-12 05:46:28,"Aquí podemos apreciar que Astro son dioses del olimpo

SWITCH ON IS COMING

 #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO https://t.co/s9JojwWg1a",
2021-07-12 05:46:14,"RT @arohakey: pintado de colores así que tiene mucho sentido para mí, algo me dice que astro zone está MUY relacionado con el comeback, van…",
2021-07-12 05:46:00,"@neskBin26 Nadamas nos hacen quedar mal🤡 jajaja

SWITCH ON IS COMING
#ASTRO|#아스트로| #SWITCH_ON| 
@offclASTRO",
2021-07-12 05:45:53,"@dongmintiny A mí me da vibes de que Astro va a usar cosas muuy de verano y tendrán stages con cosas de la playa o no sé, qn sabe si una marca de ropa de verano los patrocine o algo 🤩

SWITCH ON IS COMING
#ASTRO|#아스트로| #SWITCH_ON| 
@offclASTRO",
2021-07-12 05:45:51,"RT @cuteongie: bueno por ahora tenemos pistas 

- ""orden inverso"" q bin dijo y q puede estar conectado con sring up, summer vibes y autumn…",
2021-07-12 05:45:49,"@Kpopmap Es que nunca se supera a #CHAEUNWOO como #SUHO EN #TRUEBEAUTY
SWITCH ON IS COMING 
#ASTRO #SWITCH_ON 
#아스트로 
@offclASTRO",
2021-07-12 05:45:48,"RT @daisiessgarden: Estoy pensando en pagar yt premium solo para poder hacer bien la tarea cuando haya cb, me chocan los anuncios jaja y As…",
2021-07-12 05:45:47,RT @cuteongie: querido diario: hoy salió la fecha oficial para nuestro cb y aroha apenas esta entendiendo una de todas las pistas que les d…,
2021-07-12 05:45:36,"@astroha_info @offclASTRO SWITCH ON IS COMING
[#ASTRO | #SWITCH_ON | #아스트로 | @offclASTRO]
Estoy muy emocionada, estoy con Astro desde el debut y aún me emocionó como si fuera el primer comeback ",
2021-07-12 05:45:23,"Pienso en astro y sólo imagino lo divine que son. Tan different estos astrosos

SWITCH ON IS COMING 

[ #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO ] https://t.co/9yYYRxSQtk",
2021-07-12 05:45:19,"Aaaa que alegría, estoy muy feliz
@offclASTRO
#SWITCH_ON #ASTRO #아스트로 #ASTROisCOMING",
2021-07-12 05:45:18,"RT @ASTRO_Spain2: [] Comeback de #ASTRO con su 8° Mini Álbum llamado #SWITCH_ON el 2 de agosto

""El colorido moving poster no solo da una…",
2021-07-12 05:45:01,"@BajalamanoFerb Mmm a ver, por la longitud de sus dedos y el diámetro de sus brazos yo creo que de MJ xdd

SWITCH ON IS COMING

[ #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO ]",
2021-07-12 05:44:56,"RT @jinwooloves: spoilers de moonbin q mi cerebro ya logró conectar:
-#ASTRO (comeback ot6¿)

-orden inverso (#SWITCH_ON)

-busan (fueron v…",
2021-07-12 05:44:54,"RT @AstroLatam: [ASTRO EN NAVER]

Reacciona, recomienda y comparte &lt;3

▪️https://t.co/qkw1APo8Ax
▪️https://t.co/xUaFMzaM1F
▪️https://t.co/7…",
2021-07-12 05:44:36,"RT @ASTRO_Spain2: [] Comeback de #ASTRO con su 8° Mini Álbum llamado #SWITCH_ON el 2 de agosto

""El colorido moving poster no solo da una…",
2021-07-12 05:44:34,"@tinarohita @offclASTRO LA EMOCIÓN SE DUPLICÓ AÚN NO SE ME QUITA DE ALL YOURS

SWITCH ON IS COMING

#ASTRO #SWITCH_ON #아스트로 
@offclASTRO",
2021-07-12 05:44:25,"RT @Fernand68065684: Si captan q es completamente opuesto a One? Colores claros, probablemente al aire libre, vibes tranquilas... si ASTRO,…",
2021-07-12 05:44:17,"Si captan q es completamente opuesto a One? Colores claros, probablemente al aire libre, vibes tranquilas... si ASTRO, el grupo más versátil y dual que puede existir 

SWITCH ON IS COMING

#ASTRO #SWITCH_ON #아스트로 
@offclASTRO https://t.co/xmvBkTijXe",
2021-07-12 05:44:11,"RT @ASTRO_Spain2: [] Comeback de #ASTRO con su 8° Mini Álbum llamado #SWITCH_ON el 2 de agosto

""El colorido moving poster no solo da una…",
2021-07-12 05:44:06,"RT @KandyAstrrro: Si captan q es completamente opuesto a One? Colores claros, probablemente al aire libre, vibes tranquilas... si ASTRO, el…",
2021-07-12 05:44:04,"RT @horan_zel: Este va a ser un gran cb, un cb donde astro va a demostrar por milésima vez que son un gran grupo,un grupo tan, pero tan tal…",
2021-07-12 05:44:00,"RT @iJINW00: Aquí sales 5 min de tw y fanmu te lanza un póster, un teaser, 50 fotos y un mv 

SWITCH ON IS COMING

[ #아스트로 | #ASTRO | #SWIT…",
2021-07-12 05:43:54,"RT @cuteongie: este cb tenemos que tener motivación durante todas las promociones para seguir con el stream, q el cb pasado en la segunda s…",
2021-07-12 05:43:53,"@naikiskr Será que sea Rocky🤔?

SWITCH ON IS COMING
#ASTRO|#아스트로| #SWITCH_ON| 
@offclASTRO",
2021-07-12 05:43:48,RT @cuteongie: querido diario: hoy salió la fecha oficial para nuestro cb y aroha apenas esta entendiendo una de todas las pistas que les d…,
2021-07-12 05:43:48,"[] Comeback de #ASTRO con su 8° Mini Álbum llamado #SWITCH_ON el 2 de agosto

""El colorido moving poster no solo da una idea del ambiente tropical que combina bien con el verano y con el azul como una reminiscencia del Caribe, sino que también muestra la frescura de #아스트로 "" https://t.co/azsEw97S1w",
2021-07-12 05:43:47,RT @cuteongie: querido diario: hoy salió la fecha oficial para nuestro cb y aroha apenas esta entendiendo una de todas las pistas que les d…,
2021-07-12 05:43:46,"@soompi @offclASTRO @ASTRO_Staff Que expectativas tienen con este nuevo mini album?
#soompi_astro
ASTRO IS COMING 
[    #SWITCH_ON  ☆ #아스트로 ☆ #ASTRO ☆ @offclASTRO ]",
2021-07-12 05:43:46,"Ahora si o los tengo que tener en mis manos, Diosito apiadate de esta alma porfavor

[#ASTRO | #SWITCH_ON | #아스트로 | @offclASTRO] https://t.co/3z2sBhcAgC",
2021-07-12 05:43:43,RT @cuteongie: querido diario: hoy salió la fecha oficial para nuestro cb y aroha apenas esta entendiendo una de todas las pistas que les d…,
2021-07-12 05:43:35,"RT @daisiessgarden: Estoy pensando en pagar yt premium solo para poder hacer bien la tarea cuando haya cb, me chocan los anuncios jaja y As…",
2021-07-12 05:43:23,"@neskBin26 Lo sobremos pronto jajaja

SWITCH ON IS COMING
#ASTRO|#아스트로| #SWITCH_ON| 
@offclASTRO",
2021-07-12 05:43:16,"RT @glowsbinnie: VERANO SIN ASTRO NO ES VERANO PQ LITERALMENTE SON LOS REYES DE ESTE CONCEPTO

SWITCH ON IS COMING

#ASTRO #SWITCH_ON #아스트로…",
2021-07-12 05:43:15,"@fantagiomusic_ Esperen, todavía no proceso todooo

SWITCH ON IS COMING

#ASTRO #SWITCH_ON #아스트로 @offclASTRO https://t.co/AhzoiaATQL",
2021-07-12 05:42:49,"RT @Nunu97B: Oficialmente damos inicio al pre comback #SWITCH_ON 
#ASTRO @offclASTRO",
2021-07-12 05:42:37,"Uno de sus nombres que no le gusta a burbuja, esta en tendencia JAJALJAKSS 

SWITCH ON IS COMING
#ASTRO • #아스트로  • #SWITCH_ON • @offclASTRO",
2021-07-12 05:42:35,"Imaginen tirarle hate a ASTRO DIVINE en lugar de preocuparse por sus favs, ni modo, la envidia puede más y mientras eso pasa aroha se vuelve más fuerte, ay amo ❤
SWITCH ON IS COMING
ASTRO COMEBACK 
ASTRO IS COMING 
#ASTRO #SWITCH_ON #아스트로 
@offclASTRO",
2021-07-12 05:42:27,"Ya quiero escuchar el arte que nos tiene preparado Astro, los rappers seguro nos tienen algo super different

SWITCH ON IS COMING
#ASTRO|#아스트로| #SWITCH_ON| 
@offclASTRO",
2021-07-12 05:42:26,"RT @arohaperu: Ya desde ahorita debe ser un éxito !!! Todo depende de nosotras Aroha!!!

SWITCH ON IS COMING

#ASTRO #SWITCH_ON #아스트로 
@off…",
2021-07-12 05:42:21,"RT @arohaperu: Aroha!!
Vieron que los Spoiler están en el #ASTRO_ZONE  PS ahora con más razón a verlo 

SWITCH ON IS COMING

#ASTRO #SWITCH…",
2021-07-12 05:42:17,"Como ganar dinero sin trabajar, en 20 días?
Yahoo respuestas:

[#ASTRO | #SWITCH_ON | #아스트로 | @offclASTRO]",
2021-07-12 05:42:14,"@dongminverse Es que, ¿qué toma el niño para tener tal paciencia? wjfkskf

SWITCH ON IS COMING
#ASTRO #SWITCH_ON #아스트로 
@offclASTRO",
2021-07-12 05:42:11,"Voy a llorar con todas las teorías que traen esta era, porque de verdad que hubiera deseado estar desde el principio 
Miren a mi bebé Myungjun 🥺

SWITCH ON IS COMING

[ #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO ] https://t.co/e0ukQqIiXC",
2021-07-12 05:42:09,"RT @Nunu97B: Oficialmente damos inicio al pre comback #SWITCH_ON 
#ASTRO @offclASTRO",
2021-07-12 05:42:09,"ya m ubican como la mejor again biased??soy tan radiant como la mejor canción de astro 

SWITCH ON IS COMING 
#SWITCH_ON #ASTRO #아스트로 @offclASTRO",
2021-07-12 05:42:04,"Oigan y la mano del fondo de quién creen que sea?? 
Saquen sus apuestas y pelucas d una 

SWITCH ON IS COMING

[ #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO ]",
2021-07-12 05:41:59,"RT @glowsbinnie: sabían q uno de los sueños de astro es ser imagen de alguna marca de refrescos/bebidas, lo vienen diciendo desde la era de…",
2021-07-12 05:41:46,RT @Fernand68065684: Se viene lo bueno @offclASTRO  @fantagiogroup  #Switch_on  #switchOn me encantaaaaa 🧡❤ https://t.co/8OSslQF2df,
2021-07-12 05:41:38,"RT @MinRih: Me levanto para Astro Zone 

plis no rompan nada, esto va mas para #ASTRO que para roha 

Quiero viva a mis herman@s rohas cuan…",
2021-07-12 05:41:35,"@dongminverse Mientras yo exista, trataré de responder todos tus tweets aunque no sepa que decir, siksi 

SWITCH ON IS COMING
#ASTRO #SWITCH_ON #아스트로 
@offclASTRO https://t.co/4poLlfz3ON",
2021-07-12 05:41:31,"@roha_yoss Espero también que sean 2, aunque igual ni una podré comprar ㅠㅠ

SWITCH ON IS COMING 

[ #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO ]",
2021-07-12 05:41:27,"Estoy pensando en pagar yt premium solo para poder hacer bien la tarea cuando haya cb, me chocan los anuncios jaja y Astro es tan lovely que lo valen todo
SWITCH ON IS COMING

#ASTRO ☆ #SWITCH_ON ☆ #아스트로 ☆ 
@offclASTRO",
2021-07-12 05:41:27,Se viene lo bueno @offclASTRO  @fantagiogroup  #Switch_on  #switchOn me encantaaaaa 🧡❤ https://t.co/8OSslQF2df,
2021-07-12 05:41:25,"RT @MinRih: Me levanto para Astro Zone 

plis no rompan nada, esto va mas para #ASTRO que para roha 

Quiero viva a mis herman@s rohas cuan…",
2021-07-12 05:41:24,"Aroha!!
Vieron que los Spoiler están en el #ASTRO_ZONE  PS ahora con más razón a verlo 

SWITCH ON IS COMING

#ASTRO #SWITCH_ON #아스트로 
@offclASTRO https://t.co/AIgXiPfplP",
2021-07-12 05:41:20,"RT @amarianless: Pue serán dos pájaros de un solo tiro.

Este nuevo concepto es tan different a All yours, ahí se ve que Astro son los reye…",
2021-07-12 05:41:18,"@AstroLatam A prepararnos porque se nos viene

SWITCH ON IS COMING

[ #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO",
2021-07-12 05:41:14,"RT @linarohaaa: Ok pero, super lindos los colores de la promoción del comeback de Astro, es como un rainbow, se ve todo super radiant

SWIT…",
2021-07-12 05:40:59,"DOS CB EN UN AÑO !? 
MI SEGUNDO CB ? 
Mi primer grupo en Stanear  

Dormir nunca fue una buena opción jaja

#ASTRO_IS_COMING
#ASTRO | #아스트로 | #SWITCH_ON |  @offclASTRO",
2021-07-12 05:40:56,"Ok pero, super lindos los colores de la promoción del comeback de Astro, es como un rainbow, se ve todo super radiant

SWITCH ON IS COMING
#ASTRO|#아스트로| #SWITCH_ON| 
@offclASTRO",
2021-07-12 05:40:34,"@haplesswig La emoción nadie nos la quita
SWITCH ON IS COMING
#SWITCH_ON #ASTRO #아스트로 @offclASTRO",
2021-07-12 05:40:24,"Nskznsizkd mis respetos a las arohas y stay ndkzndkxkdkz difícil la vida multifandom en este mundo

SWITCH ON IS COMING

#ASTRO #SWITCH_ON #아스트로 
@offclASTRO",
