created_at,text,sad
2021-07-12 06:02:13,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:49:46,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:34:37,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:30:27,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:21:02,"iba a seguir a una pero es solomon
taehyunte odia el solo me ama mi
#integracionsidera",
2021-07-12 05:16:02,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:15:37,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:12:28,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:10:37,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:07:29,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:05:42,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:03:47,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 05:03:13,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 04:59:45,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 04:58:15,RT @ccsiddero: hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsider…,
2021-07-12 04:57:13,hola somos ccsidero etc nos HACKEARON LA CUENTA y el gmail tb seguro las armys o algo den rt vamos a morir #integracionsidera no se,
2021-07-12 04:39:36,#integracionsidera por favor siganme necesito una novia no m importa si son armys o stays,
2021-07-12 04:31:35,hola #IntegracionSidera https://t.co/QMeDahpiB3,
2021-07-12 04:28:07,#integracionsidera busco amigas plateras,
2021-07-12 04:28:01,#integracionsidera busco amiga que quiera hacer match de icons,
2021-07-12 04:21:49,hola #IntegracionSidera,
2021-07-12 04:20:46,Todo mi tl soy yo porfa necesito mutuals lean mi carrd #IntegracionSidera,
2021-07-12 04:16:58,#IntegracionSidera quiero novia kpoper,
2021-07-12 04:14:30,busco novia estoy. Deseperad #integracionsidera,
2021-07-12 04:12:51,siganme si les gusta oli london &lt;3 #integracionsidera,
2021-07-12 04:12:37,#integracionsidera busco novia,
2021-07-12 04:09:55,síganme si odian a los maricones #IntegracionSidera,
2021-07-12 04:01:37,wow hola si aman a taylor casi tanto como yo siganme #integracionsidera,
2021-07-12 04:00:51,#integracionsidera alguien quiere ser mi amiga,
2021-07-12 03:59:08,#integracionsidera busco amigas siganme soy linda,
2021-07-12 03:58:45,"Así que
Corre, corre, corre, corazón
De los dos tú siempre fuiste el más veloz
Toma todo lo que quieras
Pero vete ya
Que mis lágrimas jamás te voy a dar
Así que
Corre como siempre, no mires atrás
Lo has hecho ya
Y la verdad me da igual #IntegracionSidera",
2021-07-12 03:58:15,armys salgan de acá que nadie las quiere feas #integracionsidera,
2021-07-12 03:57:40,acepto cualquier enfermeda #integracionsidera,
2021-07-12 03:56:52,quiero novia #integracionsidera,
2021-07-12 03:55:52,@user765258036 @jiminlisalosamo #integracionsidera chicos estoy desesperada Por amigos mi amiga también soy Linda inteligente no graciosa pero cerebro mata galán Dicen por ahí,
2021-07-12 03:55:47,"aquí nadie da bola , síganme esquizofrénicas #integracionsidera",
2021-07-12 03:54:19,yapo mierda síganme #integracionsidera,
2021-07-12 03:53:45,siganme NO varones ni atinys #IntegracionSidera,
2021-07-12 03:52:50,komo k hay armis acá #integracionsidera,
2021-07-12 03:51:25,quiero amigas amis o lloro #IntegracionSidera,
2021-07-12 03:51:17,hola sigsnme #integracionsidera,
2021-07-12 03:50:44,esto nunca funciona pw lo seguimos hqciendo #IntegracionSidera,
2021-07-12 03:49:42,"alguuen ke me pueda seguir me da un ataqye de asma solo de ver mi cuenta en nunero impar 
#IntegracionSidera",
2021-07-12 03:48:36,#IntegracionSidera siganme no soy graciosa pero soy linda,
2021-07-12 03:46:48,holi signame busco novia acepto enfermedades menos soobinistas #integracionsidera,
2021-07-12 03:46:32,#integracionsidera siganme nose https://t.co/EyXj92QWGf,
2021-07-12 03:46:28,"busco amigas onli armys, si son solo de rose oki pero si son de otra fuera, si son solo de nayeon o mina tmb siganme pero sie res solo de sana o chae No te quiero ver, soy buena onda siganme  #integracionsidera",
2021-07-12 03:45:50,quiero más mutis síganme #integracionsidera,
2021-07-12 03:44:19,mañana tengo examenes ayud no quiero morit #integracionsidera,
2021-07-12 03:44:07,síganme o me corto #integracionsidera,
2021-07-12 03:43:44,#IntegracionSidera hol siganme,
2021-07-12 03:43:36,RT @bainteamo: Hols #IntegracionSidera acepto cualquier enfermedad menos a las teumengenes y stay atinys uwu,
2021-07-12 03:42:58,"#integracionsidera 
Hola no beomgyunistas pq Ed mi novio. Y tampoco jungwonustad no Ed mucho pedir",
2021-07-12 03:42:46,#integracionsidera quiero views https://t.co/11ymg4gdvO,
2021-07-12 03:42:44,esto es una estafa #integracionsidera,
2021-07-12 03:42:35,hola m siguen acepto todas las enfermedades solo queiro amigas #integracionsidera,
2021-07-12 03:42:14,otra vez esyo #integracionsidera,
2021-07-12 03:42:04,esto no sirve  #integracionsidera,
2021-07-12 03:41:30,yo también quiero pero lean mi carrd #integracionsidera https://t.co/1kDBJnEs5E,
2021-07-12 03:40:36,siganmw estoy desesperada en serio aceoto cualquier enfermedad #integracionsidera,
