created_at,text,sad
2021-07-12 05:07:36,@Geloween Diamante Azul también no ? Jjajja,
2021-07-12 05:07:28,Esperemos que la alteración de la línea temporal causada por el triunfo del Cruz Azul nos de nuestro primer win para las #Dreamcatcher https://t.co/t5U2DR4wG1,
2021-07-12 05:07:21,"@pamelal82108680 @FLagos_Neumann Me molesta la poca creatividad, me incomoda personalmente, todo lo parecido y las copias me  repugnan, copiar hazta el color azul del debate, ya ni me da ganas de verlo, ademas los mismos entrevistadores que no aportan nada con preguntas predecibles y tontas",
2021-07-12 05:07:19,"RT @VarskySports: Los curiosos casos de Jorginho y Emerson, los italianos nacidos en Imbituba, Santa Catarina, y Santos, Sao Paulo…",
2021-07-12 05:07:19,RT @InvictosSomos: Argentina fue campeón tras 28 años de espera. Italia fue campeón de la Euro tras 53 años. Y clubes como Atlético (7 años…,
2021-07-12 05:07:15,@jschevalier prontoooo🥺,
2021-07-12 05:07:05,RT @Nunu97B: Échenme un Blue Flame Azul acá https://t.co/ZGPRM9FEiP,
2021-07-12 05:07:05,"@Azul_1810 tranki pa, primera vez¿",
2021-07-12 05:07:03,RT @JorgeCastro2021: Ganamossss  Felicidades a la azul y blanco!,
2021-07-12 05:07:03,"RT @record_mexico: ¡PERO QUÉ AÑO PARA LOS DE AZUL!

- Man. City: Campeón de la Premier 
- Chelsea: Campeón de la Champions después de 9 año…",
2021-07-12 05:07:01,"RT @LaSelecta_SLV: ¡Y qué lindo tu te ves vestido de azul @Alex_Roldan8! 

¡LO GANAMOS EL SALVADOR! ",
2021-07-12 05:07:01,Tu selección no tiene azul y blanco en sus colores? Con razón no gana. https://t.co/ki1bginkfY,
2021-07-12 05:06:58,"no mamen, cómo le hacen para ver a sus novies diario????? pasen tip",
2021-07-12 05:06:58,"La profecía decía que el Cruz Azul tenía que ser campeón de liga, para que que Argentina e Italia se hicieran con un título. Próxima parada: Holanda jaja #EURO2020 #Italia #CruzAzul #MessiCampeon #Inglaterra #InglaterraLaConchaDeTuMadre",
2021-07-12 05:06:56,RT @JNT3D: De todo el medio campo de Cruz Azul el único que no suena para Europa es al que más maman y juran que hace brillar a los demás.,
2021-07-12 05:06:56,"me copio,,
¿qué tenemos en común? 
estatura: 1.70
edad: 19
signo: piscis
país: Argentina
colores favoritos: rojo, azul y violeta",
2021-07-12 05:06:53,"RT @perujuli: @jok_ase Los jugadores no lo quieren ni ver 
Donaron un montón de cosas y nada llego ,se lo robaron 
Tampoco permitió la comp…",
2021-07-12 05:06:52,"@ikiswon no, mi único poleron azul lo tiene la pasita hace como un año",
2021-07-12 05:06:50,"RT @andresn: Bondad del calendario en la LigaMx

Algunos equipos tienen el beneficio de jugar sus partidos de local mayormente un solo día…",
2021-07-12 05:06:49,@themoderndandy Ya estaba bien. Que el azul celeste no venía a cuento.,
2021-07-12 05:06:39,"RT @esmeraldaayala7: GRAN DEBUT DE EL SALVADOR 

 #ElSalvador se impuso 2-0 a #Guatemala  en su debut de Copa Oro. 

GOLES:
⚽️ Alex…",
2021-07-12 05:06:35,@23Nattay soy de osornl soy azul.podriamos hablar tengo 43,
2021-07-12 05:06:29,@enriqueayala93 Si pudo Fas y el Cruz Azul también nosotros ✨✨✨,
2021-07-12 05:06:28,"@OldFashionedM @Azul_1810 Solo dejó un radio de 10 metros cuadrados bañado en arcoíris, no es para tanto.",
2021-07-12 05:06:25,"RT @DoKyungLoey: MINSEOK DE AZUL BEBÉ Y JONGIN DE BLANCO, EXOL SOMOS DÉBILES asdfhj ¡¡MIREN COMO NOS ENAMORAN!!♥️ https://t.co/JT1MEKJHpr",
2021-07-12 05:06:25,@Cris10rellana Jajaja ya casi volvemos a esa emoción. Por el momento hay q seguir a la azul,
2021-07-12 05:06:23,RT @InvictosSomos: Argentina fue campeón tras 28 años de espera. Italia fue campeón de la Euro tras 53 años. Y clubes como Atlético (7 años…,
2021-07-12 05:06:23,RT @InvictosSomos: Argentina fue campeón tras 28 años de espera. Italia fue campeón de la Euro tras 53 años. Y clubes como Atlético (7 años…,
2021-07-12 05:06:19,"RT @record_mexico: ¡PERO QUÉ AÑO PARA LOS DE AZUL!

- Man. City: Campeón de la Premier 
- Chelsea: Campeón de la Champions después de 9 año…",
