created_at,text,sad
2021-07-12 05:30:10,RT @chdenuncia: Christian Hudtwalcker se para y grita a su invitada la congresista electa Betssy Chávez. Este sujeto es un imbecil,
2021-07-12 05:15:48,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
2021-07-12 05:10:34,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
2021-07-12 05:09:23,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
2021-07-12 04:58:57,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
2021-07-12 04:55:49,RT @EFERROJAS: Que importante es el debate entre representantes opuestos así no solo se escucha una postura sino q tiene una contraparte qu…,
2021-07-12 04:48:50,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
2021-07-12 04:44:56,RT @EFERROJAS: Que importante es el debate entre representantes opuestos así no solo se escucha una postura sino q tiene una contraparte qu…,
2021-07-12 04:44:07,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
2021-07-12 04:43:17,"@profedeconsti @BetssyChavez Quién elige a los congresistas? No es el Pueblo? No son los congresistas los que representan al Pueblo? Si no es así, quiénes eligieron a Betssy Chávez???",
2021-07-12 04:42:44,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
2021-07-12 04:38:31,RT @DDVEGAPERU: Congresista electa Betssy Chávez confirma que @VLADIMIR_CERRON es el jefe del partido y todos se deben a él. Entonces los d…,
2021-07-12 04:30:24,RT @EFERROJAS: Que importante es el debate entre representantes opuestos así no solo se escucha una postura sino q tiene una contraparte qu…,
2021-07-12 04:22:19,RT @EFERROJAS: Que importante es el debate entre representantes opuestos así no solo se escucha una postura sino q tiene una contraparte qu…,
2021-07-12 04:20:49,RT @epatriau: Betssy Chávez dice que Perú Libre buscará una mesa directiva de  consenso para el Congreso.,
