created_at,text,sad
2021-07-12 06:29:13,"RT @BrunoRguezP: Presidente @DiazCanelB: ""Si quieren tener un verdadero gesto con Cuba, si quieren preocuparse con el pueblo, abran el bloq…",
2021-07-12 06:29:12,"RT @wadelacruz: AYUDEMOS A DIFUNDIR EL CAOS DE CUBA

#SOSCuba 

comparte los videos e imagenes de CUBA del dia de hoy, por que el gobierno…",
2021-07-12 06:29:11,@elhigadodmarita @vbroccap Leí por ahí q esa marcha es por el bloqueo de EEUU ya no sé q creer.,
2021-07-12 06:29:11,RT @Rodrigo_rs21: @ericahenriquezo Válido para todo comunista y socialista que sigue insistiendo en el bloqueo y que la culpa de otros y no…,
2021-07-12 06:29:10,RT @hermanntertsch: Aburre Díaz-Canel con sus lloriqueos hipócritas y sus chorradas de ese bloqueo que no existe y jamás existió. Si existi…,
2021-07-12 06:29:10,"@BrunoRguezP @DiazCanelB @PresidenciaCuba @CubaMINREX No se hagan pendejos. El bloqueo no es lo que tiene al pueblo de la bellísima Cuba en la más degradante miseria, son ustedes los gobernantes corruptos quienes le tienen el pie en el cuello a la gente. Sean democráticos, hagan elecciones libres y respeten la voluntad de la mayoría https://t.co/wkFNZtuXcX",
2021-07-12 06:29:10,@Ut5Unidos @PodemosAdelante @PatriaPPUT3 @DrSuazo915 @FloryCantoX @ElCuervoNica @AmorNicaraguaD6 @delicias_pie @el19digital @FloryCantoR No hay bloqueo. En Cuba hay una dictadura comunista. Fuera el comunismo!!!!,
2021-07-12 06:29:09,@pesadillitas @PaulinaAstrozaS Es culpa del bloqueo… https://t.co/RVV1FwHXe3,
2021-07-12 06:29:09,"RT @elsemblante: Por mucho que hablen mal de Cuba, pese a su bloqueo de 60 años, allá exportan ciencia, arte, deporte, médicos, producen va…",
2021-07-12 06:29:08,"RT @ExoSapiens: ""Tomando en cuenta la depreciación del dólar frente al valor del oro en el mercado internacional, el bloqueo ha provocado p…",
2021-07-12 06:29:05,"RT @carlitosdel66: El intelectual socialistoide sostiene que la culpa de la miseria en Cuba es por el bloqueo económico de EEUU, los loros…",
