created_at,text,sad
2021-07-12 05:56:17,@Carlos_Bruce ¡Viva Egipto  por haber derrocado un tirano hace 10 años!. Estoy seguro que la derecha Peruana no dirá ni una palabra @Carlos_Bruce  ¡Qué pena demostrar su ignorancia en cultura general!,
2021-07-12 05:56:14,RT @lubrio: @Carlos_Bruce Aquí otra foto del malecón de La Habana con miles de disidentes cubanos manifestando. Si usted no conoce el malec…,
2021-07-12 05:55:59,"RT @ANDR3Z77: @Carlos_Bruce CON FAKE NEWS TUMBAN GOBIERNOS?

A HOMBRE PA BOBOOOOO🤣🤣

LA IMAGEN REAL ES EGIPTO


#FreeAIexSaab
#FreeAl…",
2021-07-12 05:55:49,"RT @indiodvenezuela: @Carlos_Bruce Si pendejo y te creímos que ese es el Malecón de Cuba y esas Banderas son Cubanas... mmgbo.

Por eso es…",
2021-07-12 05:55:32,"RT @RoiLopezRivas: @Carlos_Bruce Coño esos cubanos con la Bandera de Egipto 

#FreeAIexSaab",
2021-07-12 05:55:21,"RT @Hector45548730: @Carlos_Bruce No hagas el ridículo, no es Cuba sino Egypto!! No ves las banderitas chiquitas? 🤣🤣🤣🤣🤣🤣🤣 https://t.co/ZUhC…",
2021-07-12 05:55:04,"@GunerYak @katiaspcer @Carlos_Bruce Pero si sabes que Cuba es comunista, ¿no?",
2021-07-12 05:55:02,"@GunerYak @katiaspcer @Carlos_Bruce bueno, y donde está tu sustento?
los países de derecha son donde más libertad hay, EUA, hong kong, corea del sur, etc. Por qué Hong Kong, que tiene libertad, no quiere ser parte de la China comunista?
China no está en contra de los lgbt? eso no es vulnerar libertades? https://t.co/TVtcxn651E",
2021-07-12 05:54:09,"@rafagrosscuba @favillanueva @Carlos_Bruce Como siempre, unos cuantos hablando por muchos que ni los pelan jajajaja",
2021-07-12 05:54:02,@Hector45548730 @Carlos_Bruce Que rochezassoo techito....jajajajajaja....publicando fotos falsas.....jajajajaja,
2021-07-12 05:53:43,@latendenciape @Carlos_Bruce siempre patinanado ,
2021-07-12 05:53:37,"@Carlos_Bruce ¿Qué lindo que es Egipto, eh? 🤡 re clown este crack.",
2021-07-12 05:53:23,@FSagasti @KeikoFujimori @AlvaroVargasLl @Carlos_Bruce Sr. Presidente Sagasti Por Favor tenga la BONDAD de solicitar la AUDITORIA INTERNACIONAL de la 2da Vuelta para la tranquilidad de los PERUANOS.,
2021-07-12 05:53:20,"@BasedWayne @PacoUDS23 Dejalo Bruce que da igual, en serio te lo agradezco de corazon y lo sabes.
Y claro que tu no has dicho nada, Paco, solo vienes a seguir alimentado el fuego con lo que has leido o te han contado por alto. Pero no pasa nada, asi es el juego.",
2021-07-12 05:53:02,"RT @OtraSeleccion: @Carlos_Bruce Tumba de Fidel Castro | Cementerio de Santa Ifigenia | Cuba. : Carlos Bruce (@Carlos_Bruce).
No confundir…",
2021-07-12 05:52:57,@OtraSeleccion @Carlos_Bruce Ajjasajj noo,
2021-07-12 05:52:42,"@Carlos_Bruce No sabía que había cubanos viviendo en Egipto Jajajajajaja

Que idiota te viste derechoso, ni para mentir sirven",
2021-07-12 05:52:19,"@Hulkie10 @katiaspcer @Carlos_Bruce Inclinarme hacía la izquierda no quiere decir que menosprecio a la derecha, esa es la razón por la que crees que enamorarse de una paloma es ridículo. 
La derecha es factible, pero no es mi ideal.",
2021-07-12 05:52:11,"Señor Carlos Bruce, ya usted está muy viejo y rancio y lleva más décadas que yo en este planeta como para no saber que esa no es la bandera cubana y que ese no es el malecón habanero. Yo le pido siempre a Dios llegar a viejo, pero no al ridículo. Debería darle vergüenza. https://t.co/LylBGWsqef",
2021-07-12 05:52:01,"RT @OtraSeleccion: @Hector45548730 @Carlos_Bruce Monumento a Ernesto Che Guevara | Santa Clara | Cuba. : Carlos Bruce (@Carlos_Bruce).
No…",
2021-07-12 05:51:56,"@Carlos_Bruce Bueno, realmente son unos Kojudos🤦🤡 https://t.co/mXCr7eaTqj",
2021-07-12 05:51:48,"@Carlos_Bruce Eso es Egipto tarado, ni para joder sirves, no se cómo personas como tú han llegado hacer ministro",
2021-07-12 05:51:08,@Carlos_Bruce Cubanos reclamando por la libertad de... Egipto??? https://t.co/qCsz1lXgJM,
2021-07-12 05:50:50,@eugenavi @katiaspcer @Carlos_Bruce No son famosos. No están en el poder.,
2021-07-12 05:50:19,"@eugenavi @katiaspcer @Carlos_Bruce No lo es, ya lo eh dicho, demasiadas veces.",
2021-07-12 05:49:09,"RT @latendenciape: #FAKENEWS

#ESTENDENCIA
Carlos Bruce

Porque el ex ministro y ex congresista compartió una imagen de las protestas en Eg…",
2021-07-12 05:48:59,"@GunerYak @katiaspcer @Carlos_Bruce Oye tengo una duda. Si tu cerebro es tan ilimitado como dices, ¿por qué te inclinas hacia a izquierda y menosprecias a la derecha? ¿No tendrías que estar en una especie de balance entre ambos?",
2021-07-12 05:47:59,"@qispinqa @katiaspcer @Carlos_Bruce el*
que*",
2021-07-12 05:47:56,RT @BenjaminNorton: @Carlos_Bruce Noticias falsas https://t.co/yW38rNnoVS,
2021-07-12 05:47:37,"@qispinqa @katiaspcer @Carlos_Bruce ¿Algo?, no, todo. En primer lugar en derecho de libertad, vulnerado, y wey acaba alguien de decirme que es un concepto capitalista, ni siquiera lo dije yo, a pesar que así lo creo.",
2021-07-12 05:47:16,"@GunerYak @katiaspcer @Carlos_Bruce Nombres, por favor",
2021-07-12 05:47:09,"@EdMalagaTrillo No hagas caso a los hipócritas que hoy se solidarizan con los pobrecitos cubanos, tipo Cavero o Bruce o cualquier derechoso, pero piden golpe de Estado aquí porque  la mafiosa hija de un dictador no ganó.",
2021-07-12 05:46:48,@GunerYak @katiaspcer @Carlos_Bruce Pedro Castillo?,
2021-07-12 05:46:29,"RT @LaSalitadelSin: Agencia de viajes Techito, te invita a conocer las Pirámides de Egipto y La Esfinge de la mano de nuestro guía exclusiv…",
2021-07-12 05:46:24,"RT @jvilacordova: @Carlos_Bruce Esa foto es de Egipto. Un Ex Ministro, Ex Congresista, un Profesional, debería saber que esas banderas no s…",
2021-07-12 05:45:48,@eugenavi @katiaspcer @Carlos_Bruce Los que ejecutan conceptos de izquierda.,
2021-07-12 05:45:21,@GunerYak @katiaspcer @Carlos_Bruce No digas tus verdades.,
2021-07-12 05:45:10,@GunerYak @katiaspcer @Carlos_Bruce Tampoco me cuentes tu vida.,
2021-07-12 05:44:55,@paulgonzalo4 @GunerYak @katiaspcer @Carlos_Bruce no creo que el cerebro haya venido con él.,
2021-07-12 05:44:46,"RT @juancoronadocc: @Carlos_Bruce Twitter en un twitt #FakeNews es Egipto y no Cuba, a ver si reportan ésta cuenta y de paso que devuelva l…",
2021-07-12 05:44:38,"RT @VictoriaMoral87: @Carlos_Bruce Es Egipto, ponte los lentes normales que estás con los lentes fachos",
2021-07-12 05:44:22,"@GunerYak @katiaspcer @Carlos_Bruce jajajajaja, ah sí? y como así es de derecha? tienes algo para sustentar lo que dices o solo viene desde tu subjetividad y tu ""gran inteligencia""?
Claro, a cada cosa que dices, siempre un descalificativo para ""tener la razón""... los zurdos y sus falacias.",
2021-07-12 05:44:04,"@Lzziiee Hay que ser fuertes jajaja
Mejor seguir de Bruce Bruce Bruce 🤣",
2021-07-12 05:43:56,"RT @latendenciape: #FAKENEWS

#ESTENDENCIA
Carlos Bruce

Porque el ex ministro y ex congresista compartió una imagen de las protestas en Eg…",
2021-07-12 05:43:41,RT @malintfalch: Fallen hero https://t.co/Zzu1Jc6koW,
2021-07-12 05:43:10,@GunerYak @katiaspcer @Carlos_Bruce Quiénes son de izquierda ?,
2021-07-12 05:43:02,"@Carlos_Bruce Que Viejo Pá MMGVO, también había bastante gente el las Pirámides de CUBA, Grandísimo HPTA",
2021-07-12 05:42:54,"@Carlos_Bruce Gordo no seas gil, palteas por lo menos busca info no seas flojo",
2021-07-12 05:42:39,"RT @LaSalitadelSin: Agencia de viajes Techito, te invita a conocer las Pirámides de Egipto y La Esfinge de la mano de nuestro guía exclusiv…",
2021-07-12 05:42:11,Revelan cartas de Bruce Lee en donde muestra su adicción a las drogas https://t.co/zmAr2EcTKU,
2021-07-12 05:42:09,"@BenjaminNorton @Carlos_Bruce que Linda La Hiciste, Eres Internacional , para Ser Como Dice #VladimiroMontesinos Idi.. y Hue.. , Hay Que Saberla Hacer. Pero A Ti Te Sale Natural. Maestroooo.",
2021-07-12 05:41:57,"RT @Calderongalaz: @Carlos_Bruce Puta que marcharon harto, llegaron hasta Egipto ",
2021-07-12 05:41:55,@GunerYak @qispinqa @katiaspcer @Carlos_Bruce Recoge tu 🧠 se te cayó,
2021-07-12 05:41:32,@Carlos_Bruce tanto título en el CV para hablar de Cuba y poner una foto de Egipto... un poquito lejos uno de otro... JAJAJJAJ,
2021-07-12 05:41:22,"RT @melonconsalsa: @AdrianzenEduard Así es, por ejemplo, al tal Bruce que dice ""todo nuestro apoyo a... "" y pone una foto falsa encima no s…",
2021-07-12 05:41:15,"@Hulkie10 @katiaspcer @Carlos_Bruce Entonces largarte de aqui, y no jorobes. Tienes la mente muy cerrada, aprende a hacer lo mismo con la boca.",
2021-07-12 05:41:01,RT @Gus___Ramirez: @Carlos_Bruce Después por que les dicen Derecha Bruta 🤷‍♂️,
2021-07-12 05:40:55,@GunerYak @katiaspcer @Carlos_Bruce Jajaja que cuba que??? https://t.co/mlscx1uyEd,
2021-07-12 05:40:53,RT @iTun123: @Carlos_Bruce No sabia que la Habana se había mudado a Egipto. 🤔🤔🤦‍♂️,
2021-07-12 05:40:10,@Hulkie10 @katiaspcer @Carlos_Bruce Eso es lo que tú cerebro limitado cree.,
2021-07-12 05:40:08,"Sigo sin superar la muerte de Nat, amo a bruce pero ella se tenia que  quedar con Rogers y tener ese hijo, bai u.u",
2021-07-12 05:39:54,RT @EFERROJAS: @Carlos_Bruce La democracia debe imponerse y caer la dictadura en Cuba pero no propagues falsedades al mismo estilo que Will…,
2021-07-12 05:39:39,"RT @Hector45548730: @Carlos_Bruce No hagas el ridículo, no es Cuba sino Egypto!! No ves las banderitas chiquitas? 🤣🤣🤣🤣🤣🤣🤣 https://t.co/ZUhC…",
2021-07-12 05:39:35,"RT @ANDR3Z77: @Carlos_Bruce CON FAKE NEWS TUMBAN GOBIERNOS?

A HOMBRE PA BOBOOOOO🤣🤣

LA IMAGEN REAL ES EGIPTO


#FreeAIexSaab
#FreeAl…",
2021-07-12 05:39:33,"RT @Sorcdtm: @Carlos_Bruce Está la banderaza de Egipto ahí en esa marcha. CORRUPTO CAGÓN.
POR OTRA PARTE, bien por el pueb lo cubano.",
2021-07-12 05:39:12,"Otra ""muerte"" es la Hulk que muere por un flechazo de Ojo de Halcon de una forma anticlimatica y de nada sin que Bruce haya hecho algo malo y esto si que jode porque Hulk es los personajes principales y le dan una muerte una que no dura mucho porque en otro comic revive+ https://t.co/yPldF7vx72",
2021-07-12 05:39:05,"@qispinqa @katiaspcer @Carlos_Bruce Las personas que están gobernando Cuba, están ejecutando conceptos de derecha, y se hacen llamar izquierda. Hay que ser muy acomplejado para no notarlo.",
2021-07-12 05:38:59,"RT @LaSalitadelSin: Agencia de viajes Techito, te invita a conocer las Pirámides de Egipto y La Esfinge de la mano de nuestro guía exclusiv…",
2021-07-12 05:38:54,@Carlos_Bruce JAJAJAJAJAJ CUBA TIENE BANDERA DE EGYPTO,
2021-07-12 05:38:48,@GunerYak @katiaspcer @Carlos_Bruce No estoy aquí para que me muestres tu vida.,
2021-07-12 05:38:17,@GunerYak @katiaspcer @Carlos_Bruce No sé que ganas diciéndome esto. Solo te estás humillando más.,
2021-07-12 05:37:20,"RT @drwhitewolf: @coherenciaporf @GunerYak @katiaspcer @Carlos_Bruce El tal Guner yalk es otra prueba viviente de que, la mezcla de cilantr…",
2021-07-12 05:37:02,@Hulkie10 @katiaspcer @Carlos_Bruce ¿Te la muestro?,
2021-07-12 05:36:44,@Hulkie10 @katiaspcer @Carlos_Bruce Estoy enamorado de una piedra.,
2021-07-12 05:36:42,@Carlos_Bruce Usted llamó bruto a castillo x menos 🤣🤣🤣 ahora entiende q es un lapsus??,
2021-07-12 05:36:35,"@Carlos_Bruce A Ver A ver, #VladimiroMontesinos Como Le Llamaste A @Frospigliosi , Id... y Hu... Creo que se te Pasó Alguien de la Lista. 🤦‍♂️",
2021-07-12 05:36:27,"@Carlos_Bruce Yo apoyo a los policías que ninguneaste y humillaste, cuando siendo ministro exigiste que te cuiden tu restaurante.",
2021-07-12 05:35:42,@GunerYak @katiaspcer @Carlos_Bruce ¿Estás al nivel del tipo que se enamoró de una paloma? Eso explicaría tu forma de pensar.,
2021-07-12 05:35:11,"@angelicotryy Tqm, te crearás un OF? ",
2021-07-12 05:35:08,"RT @ANDR3Z77: @Carlos_Bruce CON FAKE NEWS TUMBAN GOBIERNOS?

A HOMBRE PA BOBOOOOO🤣🤣

LA IMAGEN REAL ES EGIPTO


#FreeAIexSaab
#FreeAl…",
2021-07-12 05:34:55,"RT @ElProfe2890: @Carlos_Bruce No sabia que Cuba había cambiado su bandera...la de Egipto....
FAKENEWS",
2021-07-12 05:34:47,"RT @moritalima: Con la publicación de Carlos Bruce, uno se da cuenta de qué están hechos los votantes del fujimorismo. Gente que sólo repit…",
2021-07-12 05:34:45,@GunerYak @katiaspcer @Carlos_Bruce Los payasos de izquierda,
2021-07-12 05:34:23,"No hay nada que me emperre más que llegar de la peda y apestar a puto cigarro, vayan a la verga y hablo de Bruce por sus copy y Martín por chapulín.",
2021-07-12 05:34:22,"RT @RobustControl: @Carlos_Bruce oe idiota, si vas poner una foto sobre Cuba, al menos cerciórate que sea de Cuba y no de las protestas en…",
2021-07-12 05:34:06,"RT @OtraSeleccion: @Hector45548730 @Carlos_Bruce Monumento a Ernesto Che Guevara | Santa Clara | Cuba. : Carlos Bruce (@Carlos_Bruce).
No…",
2021-07-12 05:34:03,"RT @MarielaOjedaCis: @Carlos_Bruce Parece q la fotito no es de Cuba sino de otro país, pero que de bueno se le puede pedir a Ud. Aquel sin…",
2021-07-12 05:33:48,@Carlos_Bruce Devuelve el máster Carlitos 🤣🤡 https://t.co/O4G5biCwQQ,
2021-07-12 05:33:21,"RT @OtraSeleccion: @rataneda Plaza de la Revolución | La Habana | Cuba. : Carlos Bruce (@Carlos_Bruce).
No confundir con Egipto, por favor…",
2021-07-12 05:33:18,"RT @Hector45548730: @Carlos_Bruce No hagas el ridículo, no es Cuba sino Egypto!! No ves las banderitas chiquitas? 🤣🤣🤣🤣🤣🤣🤣 https://t.co/ZUhC…",
2021-07-12 05:33:17,@latendenciape @Carlos_Bruce  Que Pasó Aquí?,
2021-07-12 05:33:12,"@eugenavi @katiaspcer @Carlos_Bruce Ejecutan conceptos de derecha, y se hacen llamar izquierda.",
2021-07-12 05:33:06,@Carlos_Bruce Como tampoco hablas tú d Colombia,
2021-07-12 05:32:39,"RT @latendenciape: #FAKENEWS

#ESTENDENCIA
Carlos Bruce

Porque el ex ministro y ex congresista compartió una imagen de las protestas en Eg…",
2021-07-12 05:32:24,"@GunerYak @katiaspcer @Carlos_Bruce Veeeeeee entonces Petro,Cepeda, Maduro, son de derecha disfrazados de izquierda?
Nos enteramos en este momento que Chávez fue de derecha disftazado de izquierda gracias a este brillante comentario...",
2021-07-12 05:32:14,"RT @Hector45548730: @Carlos_Bruce No hagas el ridículo, no es Cuba sino Egypto!! No ves las banderitas chiquitas? 🤣🤣🤣🤣🤣🤣🤣 https://t.co/ZUhC…",
2021-07-12 05:31:17,"@drwhitewolf @coherenciaporf @katiaspcer @Carlos_Bruce Acabo de terminar un debate con una persona, los animales solo dicen que no se puede debatir con un humano.",
2021-07-12 05:31:14,@VictorAndresGB @Carlos_Bruce Váyanse lacras!,
