created_at,text,sad
2021-07-12 06:10:11,"RT @PasionBasketNBA: Giannis Antetokounmpo en la victoria de Milwaukee Bucks ante Phoenix Suns anoche:

41 puntos
13 rebotes
6 asistencias…",
2021-07-12 06:09:34,RT @SCivil_europea: BALONCESTO NBA - Los Bucks se conjuran para no dejar solo a Antetokounmpo frente a los Suns https://t.co/kmdXux5kDd #De…,
2021-07-12 06:09:04,"Giannis Antetokounmpo en la victoria de Milwaukee Bucks ante Phoenix Suns anoche:

41 puntos
13 rebotes
6 asistencias

Los Bucks recortan distancias y ponen el 2-1

#FearTheDeer https://t.co/7SFlsuF2qQ",
2021-07-12 06:09:02,RT @fermartinezlar: Contundente victoria de @Bucks como locales sobre @Suns por 120 a 100 para descontar en la serie y ponerse 1-2 en las #…,
2021-07-12 06:08:30,"@conzdezarate @SunsArg En la previa de la tele lo unico que se analizaba era como tenian  que hacer los bucks para reventarnos...leo montero,Nocioni ,el que estaba en el estadio y un centroamericano que era el peor...",
2021-07-12 06:08:19,"RT @reformacancha: Acabaron su sequía durante la pandemia:
 Argentina (CA, 28 años)
 Buccaneers (NFL, 18) 
 Dodgers (MLB, 32)
 Liverpoo…",
2021-07-12 06:06:33,RT @peruenlanoticia: BALONCESTO NBA - Los Bucks se conjuran para no dejar solo a Antetokounmpo frente a los Suns https://t.co/9vTM8I80i1 #D…,
2021-07-12 06:05:03,Bucks reacciona con un contundente triunfo y un intratable Antetokounmpo https://t.co/dHth4p7d6d https://t.co/gMrqFipCI0,
2021-07-12 06:04:49,"gano argentina y tambien italia, falta que la den vuelta los bucks de giannis y muero feliz",
2021-07-12 06:03:48,"RT @NBAspain: GAME 3:

¡Esto ha pasado entre Suns y Bucks! #LasFinalesDeTodaLaVida https://t.co/9yLAC6ymtr",
2021-07-12 06:03:16,#NBA 120-100: Un nuevo recital de Antetokounmpo devuelve la ilusión a los Bucks https://t.co/WaCgdEqqQc,
2021-07-12 06:01:50,"RT @NBAspain: La JUGADA de los BUCKS desde TODAS LAS PERSPECTIVAS

#LasFinalesDeTodaLaVida https://t.co/935lF9G4YM",
2021-07-12 06:00:06,"RT @NBAspain: GAME 3:

¡Esto ha pasado entre Suns y Bucks! #LasFinalesDeTodaLaVida https://t.co/9yLAC6ymtr",
