created_at,text,sad
2021-07-12 05:14:23,"RT @NuevoPeruMov: Las movidas de Rodriguez Monteza, el nuevo emisario del fujimorismo en el JNE, son las de Keiko Fujimori para retrasar la…",
2021-07-12 05:14:21,"RT @DrGiammatteii: La Selección Nacional es igual a Willy Castillo, no sirven para ni mierda.",
2021-07-12 05:14:19,"RT @sofiaafuness: Ella no sueña con un castillo
Sueña con algo más complicado
Ver pelis y comer mil Doritos
Con un hombre que no sea un tar…",
2021-07-12 05:14:17,RT @reinadecapitada: Apuesto a que si Castillo cometiera este tipo de lapsus (confundir la bandera egipcia con la cubana) lo tratan de brut…,
2021-07-12 05:14:15,"RT @EvaMas14: A cuánto te vendiste? Mientras los cubanos luchan contra la dictadura comunista, tú apoyas a Cerrón que tiene plan de gobiern…",
2021-07-12 05:14:13,RT @hackjos: ¡NO QUIEREN PROCLAMAR a CASTILLO! MI3MBRO del JNE se NIEGA dar RESULTADO... https://t.co/CPZR5ocuRK vía @YouTube,
2021-07-12 05:14:09,"RT @juanalvarezm: De pronto, el país está en manos del fiscal Víctor Raúl Rodríguez Monteza. Pero no vayan a pensar que con su calculada di…",
2021-07-12 05:14:07,"@greenrose121 @Cesar_rm777 @RosaTolerante Con Dinámicos o sin dinámicos, con vigas o sin vigas

Pedro Castillo Presidente

Keiko Fujimori PERDEDORA siempre Perdedora !",
2021-07-12 05:14:06,"RT @DraGonzalez: Enrique Castillo en canal N sugiriendo a Betsy Chávez de PL poner a Montoya de Pdte de Congreso,xq""sería gesto de acercami…",
2021-07-12 05:14:05,RT @cconstantini: piden libertad para Cuba y votan por Castillo. Cómo explican eso?,
2021-07-12 05:14:05,"@WalterSantiag20 @JNE_Peru Habla con base estimado, decir 60% que no está a favor o en acuerdo a Castillo, es repetir lo mismo sin una base o fuente fiable.",
2021-07-12 05:14:03,"RT @EvaMas14: Por las buenas los rojos no van a dejar el poder, entiéndanlo @KeikoFujimori @rlopezaliaga1 el pueblo tiene que marchar unido…",
2021-07-12 05:14:01,@Tocomples316 Lo de China es interesante de preguntar...y tb RREE con Evo o Castillo.,
2021-07-12 05:13:56,¡NO QUIEREN PROCLAMAR a CASTILLO! MI3MBRO del JNE se NIEGA dar RESULTADO... https://t.co/Rse4GHuEct via @YouTube,
2021-07-12 05:13:49,@AnahiDurandG @LuciaAlvites Así como los cubanos saldremos el 50%de peruanos que también somos el pueblo y que no queremos una ideología marxista leninista en el país! No destruirán fácilmente nuestro país con cerrón de presidente y castillo de portero de Palacio https://t.co/ffIVezplkW,
2021-07-12 05:13:46,¡NO QUIEREN PROCLAMAR a CASTILLO! MI3MBRO del JNE se NIEGA dar RESULTADO... https://t.co/CPZR5ocuRK vía @YouTube,
2021-07-12 05:13:45,RT @cconstantini: piden libertad para Cuba y votan por Castillo. Cómo explican eso?,
2021-07-12 05:13:44,"RT @elvictoriano3: Bayly: “Sagasti dice que están en penales. Cuando patea Castillo no hay arquero pero cuando patea Keiko hay 3 arqueros,…",
2021-07-12 05:13:43,"@Tupapi34458079 @OtraSeleccion @ExpresoPeru Y te ries porque pierdes, ya sólo te queda eso , dale ríe de los QUINCE AÑOS AL AGUA y de la muerte del fujimorismo, mientras Castillo asume el 28 de este mes 

Por las webas es troll, lloras por dentro, NO PUEDES OCULTARLO, ah sí.. Te quedan tus memes y tus risitas ...",
2021-07-12 05:13:42,"RT @manuebrei: ¿En serio el hijo de Federico Salazar dijo que Willax hace periodismo libre?
Uhm, Cuarto Poder se va sumar a la vacancia de…",
2021-07-12 05:13:41,RT @cconstantini: piden libertad para Cuba y votan por Castillo. Cómo explican eso?,
2021-07-12 05:13:33,"RT @DraGonzalez: Enrique Castillo en canal N sugiriendo a Betsy Chávez de PL poner a Montoya de Pdte de Congreso,xq""sería gesto de acercami…",
2021-07-12 05:13:31,"RT @M24radio: Con el referéndum ""alguien va a tener que salir a defender” la LUC y ""vamos a ver si toda la coalición piensa igual sobre eso…",
2021-07-12 05:13:30,@lin_33 @milton_roman_ @rosangellafp De quien lo vas a defender? De nosotros q votamos por castillo. Cuanto mas quieren dividir el país?,
2021-07-12 05:13:29,"RT @DrGiammatteii: La Selección Nacional es igual a Willy Castillo, no sirven para ni mierda.",
2021-07-12 05:13:21,@kimjoey98 @esquinabaja @PolloFarsantePe En realidad el pollo se hizo viejo y murió esperando que Pedro Castillo termine con su parábola.,
2021-07-12 05:13:19,"RT @Marcos667788: @LuciaAlvites Ultima Noticia: Levantamiento Popular en Todo Cuba Hartos de 62 Años de Opresion, Contra Tirania Comunist…",
2021-07-12 05:13:19,"Te cerebro está muerto Castillo, y el cerebro de quiénes votaron por ti.

Pdt. No son mayoría, aunque les duela.

#CuartoPoder 
Rodriguez Monteza
#SOSPeru https://t.co/xWZiB6fWTW",
2021-07-12 05:13:18,"RT @4EverCapitalist: Esta semana es muy posible que el JNE proclame, sin cargo de conciencia alguno; a Pedro Castillo como Presidente (ILEG…",
2021-07-12 05:13:17,RT @tromepe: Luis Iberico: Pedro Castillo debe salir a rechazar las amenazas a la prensa https://t.co/LmwLAM9cSt,
