created_at,text,sad
2021-07-12 06:58:35,RT @Dario_Madrid_F: Este señor parece ser que es el nuevo Ministro de Asuntos Exteriores de España. Seguro que esta misma mañana hace una d…,
2021-07-12 06:58:34,"RT @CasoAislado_Es: ¡Cuba despierta!

Miles de cubanos piden el fin del régimen comunista castrista que ha llevado al país a la más absolut…",
2021-07-12 06:58:33,"RT @ManuelVegaMX: Va hilo sobre Cuba:

El régimen castrista, admirado por @lopezobrador_, destruyó un gran país por más de 60 años, corrupc…",
2021-07-12 06:58:33,"RT @laderechadiario:  | Las fuerzas del régimen comunista se movilizan dirección Malecón, San Antonio de Baños y Palma Soriano. Las prote…",
2021-07-12 06:58:33,"RT @13_iracheta: Yeidckol Polevsnky, o como digas te llames, qué esperas para ir a Cuba a defender a tu adorado gobierno castrista, que est…",
2021-07-12 06:58:32,"RT @Cuentuister: En Podemos llevan años aprovechando cualquier excusa para decir que España no es una verdadera democracia.

El pueblo Cuba…",
2021-07-12 06:58:31,RT @MadamePerlan: El Pueblo de Cuba se está revelando contra la dictadura comunista Castrista. Ánimo valientes. En España si no lo remediam…,
2021-07-12 06:58:31,RT @DolarToday: Un grupo de jóvenes cubanos voltéan un carro de la policía politica castrista. Perdieron el Miedo #VivaCubaLibre https://t.…,
2021-07-12 06:58:30,"RT @Soy_Aprista: 1214
#NotememosalosCobardes 

Un buen amigo de Cuba que huyó del comunismo castrista, se manifiesta contra el veto del 
@L…",
2021-07-12 06:58:27,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:58:27,RT @MelMarcano: Este es el MENSAJE del rapero “El Invasor”  al pueblo de Cuba antes que La policía castrista irrumpiera en su casa en Bayam…,
2021-07-12 06:58:23,"RT @vicpiedra: #Cuba Miles de cubanos salen a protestar contra la dictadura al grito d &lt;¡No tenemos miedo!, ¡Libertad!, ¡Patria y Vida!, ¡A…",
2021-07-12 06:58:23,RT @Francortinas10: Si sigue el régimen castrista nos jodemos y si cae también nos jodemos  porque toda la plaga de funcionarios cubanos qu…,
2021-07-12 06:58:14,"RT @juanfherrero: ¿Se atreverá el régimen castrista a usar al ejercito para reprimir al pueblo ante los ojos del mundo?

Si lo hacen ¿los s…",
2021-07-12 06:58:12,"RT @juanburgos: Si se arregla #Cuba, se arregla América Latina. 

Por eso vemos vueltos locos en redes sociales a los propagandistas afines…",
2021-07-12 06:58:07,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:58:06,"RT @Sinderesis_Econ: Si pudiste llamar dictador a Merino por sus 5 días como presidente, pero no puedes llamar dictadura al régimen Castris…",
2021-07-12 06:58:03,"RT @AleJuarezA: Lo que está ocurriendo en Cuba no sólo es bueno para aquel país, es bueno para TODA Latinoamérica, desde México hasta Chile…",
2021-07-12 06:58:00,RT @Dario_Madrid_F: Este señor parece ser que es el nuevo Ministro de Asuntos Exteriores de España. Seguro que esta misma mañana hace una d…,
2021-07-12 06:57:58,RT @york_alva: @iulens @EFEnoticias Para dar golpe de estado necesitas armas. Yo solo veo un pueblo protestando y claro en la noche ya les…,
2021-07-12 06:57:57,RT @PatriciaTubilla: @evoespueblo #VivaCubaLibre del Comunismo. Los cubanos romperán las cadenas opresoras de la dictadura Castrista!,
2021-07-12 06:57:56,"RT @Donvix: Todos los comunistoides de chai latte mexicanos, que posan de expertos en el tema de Cuba, deberían tomar un avión a La Habana…",
2021-07-12 06:57:53,"RT @_NOALCOMUNISMO: CUBA COMUNISTA / EL PAYASO DICTADOR DÍAZ CANEL LLAMÓ A LA GUERRA CIVIL . . ¿QUIÉNES SON LOS VIOLENTOS?
Miguel Díaz-Cane…",
2021-07-12 06:57:52,RT @EmaFigueroaC: #URGENTE | Informes apuntan que la Tiranía castrista cortó el internet en #Cuba para que no se sepa la verdad. Toda la is…,
2021-07-12 06:57:47,RT @liatrueba: No olvidemos que el gobierno de AMLO ha financiado la dictadura castrista tan solo a través de las brigadas de médicos cuban…,
2021-07-12 06:57:46,"RT @Bravo19703: El dictador Miguel Diaz-Canel prometió represión y llamó a los ""revolucionarios comunistas a combatir"" a los cubanos que pr…",
2021-07-12 06:57:45,"RT @karene29: Me preguntan que por qué me importa tanto la situación que atraviesa Cuba . Fácil, mi esposo es cubano, mi hijo lleva sangr…",
2021-07-12 06:57:45,RT @YorryWarthon:  | El régimen comunista/castrista ha empezado a militarizar las calles de la capital a fin de anular cualquier nueva pr…,
2021-07-12 06:57:36,"RT @CristyP2000: Se necesita ser verdaderamente miserable hasta las entrañas, para que después de 60 años de DICTADURA CASTRISTA, una fulan…",
2021-07-12 06:57:34,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:57:29,RT @EmaFigueroaC: #URGENTE: Tiranía castrista está militarizando las calles de #Cuba con sus escuadrones de la represión. Alertamos al mund…,
2021-07-12 06:57:28,"RT @MaguMonero: Pronto los defensores de la dictadura castrista, sin Castro, revelarán que las protestas  en Cuba se deben a golpistas de u…",
2021-07-12 06:57:27,"RT @paisencaos: Sería un sueño.
Dos noticias internacionales históricas!
-Perú derrota mafia comunista chavista!
-Derrocan régimen castrist…",
2021-07-12 06:57:25,"RT @VoxSoria: DÍA HISTÓRICO  | Cuba se levantó contra la dictadura castrista. Antes Cuba era un país rico, ahora hay colas para poder con…",
2021-07-12 06:57:23,"RT @VoxSoria: DÍA HISTÓRICO  | Cuba se levantó contra la dictadura castrista. Antes Cuba era un país rico, ahora hay colas para poder con…",
2021-07-12 06:57:23,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:57:19,RT @DolarToday: Un grupo de jóvenes cubanos voltéan un carro de la policía politica castrista. Perdieron el Miedo #VivaCubaLibre https://t.…,
2021-07-12 06:57:15,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:57:15,"RT @JaviCristobal_: Cubanos en Madrid (España) pidiendo la caída del régimen castrista.

¡Viva Cuba Libre! 
#SOSCuba 
https://t.co/hZpFFj…",
2021-07-12 06:57:14,RT @jflafaurie: Al fin se levante el pueblo cubano contra un régimen opresor y contra una policía que ha sido el garrote de la dictadura Ca…,
2021-07-12 06:57:13,RT @MelMarcano: Este es el MENSAJE del rapero “El Invasor”  al pueblo de Cuba antes que La policía castrista irrumpiera en su casa en Bayam…,
2021-07-12 06:57:13,"RT @pablocasado_: Todo mi apoyo al pueblo cubano que reclama democracia y libertad después de 60 años de brutal dictadura. 

El Gobierno de…",
2021-07-12 06:57:09,"@nicoalessandrap El llamado “bloqueo” es la prohibición del gobierno de U.S.A a empresas americanas para q comercien con el régimen castrista pero del resto Cuba ha comerciado con las países q han querido incluyendo China, Rusia, varios de Europa, Venezuela, México etc etc",
2021-07-12 06:57:09,"RT @AleJuarezA: Lo que está ocurriendo en Cuba no sólo es bueno para aquel país, es bueno para TODA Latinoamérica, desde México hasta Chile…",
2021-07-12 06:57:04,"RT @pablocasado_: Todo mi apoyo al pueblo cubano que reclama democracia y libertad después de 60 años de brutal dictadura. 

El Gobierno de…",
2021-07-12 06:57:01,"RT @MKGabriel10: @hermanntertsch @alessacanada La Unión Soviética le daba a Cuba dinero, armas, alimentos y medicinas; Venezuela le enviaba…",
2021-07-12 06:56:52,RT @g_palmira: ‘¡Abajo la dictadura!’: histórico levantamiento popular en Cuba contra el régimen castrista https://t.co/xORGoygVUi vía @gac…,
2021-07-12 06:56:50,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:56:49,"RT @PulsoCiud: #Cuba | Masivas protestas en La Habana contra del régimen castrista. Cubanos continúan sumándose a las protestas.
#SOSCuba…",
2021-07-12 06:56:46,"RT @Bravo19703: El dictador Miguel Diaz-Canel prometió represión y llamó a los ""revolucionarios comunistas a combatir"" a los cubanos que pr…",
2021-07-12 06:56:45,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:56:44,"RT @NayoArellano: Mi deseo es que Yeidckol, Rocío Nahle, Noroña, Padierna, Martí Batres, Citlalli, Pig-menio, Gibrán, Ackerman y toda esa f…",
2021-07-12 06:56:43,"RT @PulsoCiud: #Cuba | Masivas protestas en La Habana contra del régimen castrista. Cubanos continúan sumándose a las protestas.
#SOSCuba…",
2021-07-12 06:56:42,"RT @patergongora: Todo mi apoyo, ánimo y oración con la sociedad cubana que lleva décadas soportando la esclavitud del comunismo castrista.…",
2021-07-12 06:56:42,"RT @M2Cyndy: El régimen Castrista les ha arruinado la vida a los cubanos, ellos viven como marqueses y el pueblo en la miseria, les raciona…",
2021-07-12 06:56:37,"RT @karene29: Me preguntan que por qué me importa tanto la situación que atraviesa Cuba . Fácil, mi esposo es cubano, mi hijo lleva sangr…",
2021-07-12 06:56:33,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:56:21,RT @Dario_Madrid_F: Este señor parece ser que es el nuevo Ministro de Asuntos Exteriores de España. Seguro que esta misma mañana hace una d…,
2021-07-12 06:56:15,RT @Yusnaby: DÍA HISTÓRICO  | Cuba se levantó contra la dictadura castrista. #SOSCuba https://t.co/Sa0bmiNGZa,
2021-07-12 06:56:14,"RT @Donvix: Todos los comunistoides de chai latte mexicanos, que posan de expertos en el tema de Cuba, deberían tomar un avión a La Habana…",
2021-07-12 06:56:12,"El pueblo de #Cuba  desafía a la dictadura castrista y grita #PatriaYVida en la calle... 

#PatriaYVidaCuba / #Libertad / #CubaSOS / https://t.co/X6Jm4RETJL",
2021-07-12 06:56:07,"RT @Bravo19703: El dictador Miguel Diaz-Canel prometió represión y llamó a los ""revolucionarios comunistas a combatir"" a los cubanos que pr…",
2021-07-12 06:56:07,RT @pissanoEmi2: Los cubanos esperando una “REVOLUCIÓN “ 60 años y la única REVOLUCIÓN QUE TUVIERON FUE EL ENRIQUECIMIENTO DEL GOBIERNO CAS…,
2021-07-12 06:56:06,"RT @pablocasado_: Todo mi apoyo al pueblo cubano que reclama democracia y libertad después de 60 años de brutal dictadura. 

El Gobierno de…",
2021-07-12 06:56:06,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:56:06,"RT @OrlvndoA: Desde los noventa Cuba no tenía una oportunidad para recuperar su libertad. Esta no es solo causa de los cubanos, sino de los…",
2021-07-12 06:56:03,"RT @omar_isaac20: Si la prensa de tu país no te lo dice pues yo te lo digo,  la policía castrista mató hoy un menor de 13 años de edad en l…",
2021-07-12 06:56:00,RT @Dario_Madrid_F: Este señor parece ser que es el nuevo Ministro de Asuntos Exteriores de España. Seguro que esta misma mañana hace una d…,
2021-07-12 06:55:57,"RT @pablocasado_: Todo mi apoyo al pueblo cubano que reclama democracia y libertad después de 60 años de brutal dictadura. 

El Gobierno de…",
2021-07-12 06:55:56,RT @YorryWarthon:  | El régimen comunista/castrista ha empezado a militarizar las calles de la capital a fin de anular cualquier nueva pr…,
