created_at,text,sad
2021-07-12 05:11:40,"Cualquier muerto en las protestas culpamos a Sagasti, Perú Libre Cerrón Castillo y toda su cúpula, también Tatiana Astengo, Jason Day, Rosa María Palacios, Gorriti, La República entre otros, los hacemos responsables d cualquier muerto x promover q no se oiga nuestra voz #SOSPeru",
2021-07-12 05:11:34,RT @cesarcombina: Josué Gutiérrez : El #Ayayero de #NadineHeredia ahora es el pinterillo defensor de @VLADIMIR_CERRON. Ya decía yo que un p…,
2021-07-12 05:11:33,"@DraGonzalez @VLADIMIR_CERRON Muy bien camarada Carmen, va a tener un buen lugar en la nomenklatura de partido. Ahora le dejo el manifiesto. https://t.co/Jg4bxvFGnm",
2021-07-12 05:11:32,RT @feedperuano: Abogado de Vladimir Cerrón: No existe evidencia de que se haya financiado a Perú Libre con dinero ilícito https://t.co/4AX…,
2021-07-12 05:11:32,RT @feedperuano: Abogado de Vladimir Cerrón: No existe evidencia de que se haya financiado a Perú Libre con dinero ilícito https://t.co/4AX…,
2021-07-12 05:11:24,@julygarcia_m @YeseniaPonceV @PedroCastilloTe La policia le sabe muchas cosas a Cerrón y a Castillo tambien,
2021-07-12 05:10:56,RT @cesarcombina: Josué Gutiérrez : El #Ayayero de #NadineHeredia ahora es el pinterillo defensor de @VLADIMIR_CERRON. Ya decía yo que un p…,
2021-07-12 05:10:50,@DraGonzalez @VLADIMIR_CERRON La ideología de Cerron cayó con el muro de Berlín señora !!,
2021-07-12 05:10:50,RT @PanoramaPTV: [VIDEO] #Panorama Abogado de #VladimirCerrón rechazó el presunto financiamiento ilícito a la campaña de #PerúLibre https:/…,
2021-07-12 05:10:49,"@EDWINRI71904378 @E_FLEISCHMAN No vi a Cerron en mi cédula de sufragio. Los del Vraem fueron legalmente permitidos por fujimori y montesinos en los 90. Cuidado que se molestan los fujis. Gracias por lo de baboson, a veces babeo cuando duermo.",
2021-07-12 05:10:47,@cesarcombina @VLADIMIR_CERRON ESA BRUJA SIEMPRE SE ESPERA LO PEOR...AHORA LO QUIERE DE COSITO AL CERROTE...?? Q BASUUUUUUUURA...IGUAL Q LA ZORAIDA.... https://t.co/4mko3KNApX,
2021-07-12 05:10:44,"RT @oscardiazperu: Dejemos de darle importancia a Keiko y sus patéticos golpistas.   
Empecemos a preocuparnos en que Vladimir Cerrón no lo…",
2021-07-12 05:10:43,"@PianoNocturno Castillo y su Amo CERRON 
Una Organizacion CRIMINAL creada con
DINERO D la Miseria en
JUNIN hoy DESESPERADOS buscan LLEGAR al PODER y TAPAR SUS FECHORIAS. 
VIZCARRA Y CERRON muy activos ROBARON votos.
Jne/onpe/reniec y fiscalia
Politizados y TRAICIONAN
A la PATRIA encubriendo.... https://t.co/0FKvSrCvl5",
2021-07-12 05:10:33,"@cesarcombina @VLADIMIR_CERRON Claro! Ya me parecía cara conocida, como se reciclan todos éstos",
2021-07-12 05:10:30,"RT @4EverCapitalist: Cae Cuba, caes tú @VLADIMIR_CERRON",
