created_at,text,sad
2021-07-12 05:15:55,"RT @iHWNGSIDES: saben que está mal ver y tomar fotos de los chicos cuándo están descansando y en un horario NO laboral, no anden difundiend…",
2021-07-12 05:15:20,CHANGBIN X FAVOR VEN A CASA TE NECESITAMOS  DONDE ESTQS??? ESTAS BIEN??? TE EXTRAÑAMOS,
2021-07-12 05:14:22,"RT @atuesta_manuela: ✧ Nombre del grupo: Stray Kids 
✧ Nombre del integrante: Changbin 
✧ ¿Que vendo?: Lenticular Go Live In Life 
✧ Precio…",
2021-07-12 05:13:58,Tipo… para nosotros es normal que Changbin no aparezca por un buen tiempo por IG pero… DESDE EL OCHO DE ESTE MES NO APARECE AYUDA ‍♀️,
2021-07-12 05:13:32,"RT @ChangbinPeru: ️[INFO] 11.07.21 
     #장빈 #ChangBin

• Una fanbase china de ya está comenzando a poner los ads por el cumpleaños de Cha…",
2021-07-12 05:13:02,RT @7OiHT: encontré una foto del tatuaje de changbin https://t.co/MM0vAg25Ap,
2021-07-12 05:12:53,RT @8tlino: voten por changbin es la tercera opción #창빈 @Stray_Kids,
2021-07-12 05:11:35,"es MÍO, cualquier era, momento, look, año, segundo, todo changbin que te imagines o que haya existido y el que exista en un futuro será, fue y es MÍO SOLAMENTE MÍO MÍO MÍO https://t.co/saE0s8SXrB",
2021-07-12 05:11:25,RT @bngstark: vayan a votar por changbin en mubeat que solo necesitamos que entre en el top 4 y no hay casi diferencia con los otros fandom…,
2021-07-12 05:11:14,"Voten por la tercera opción, es changbin:) https://t.co/F45mMCkImh",
2021-07-12 05:10:27,RT @iMINO_o: NO STAYS LAS FOTOS DEL SUPUESTO TATUAJE DE CHANGBIN NO LAS DIFUNDAN PQ SON SIN SU AUTORIZACIÓN Y SE LAS TOMO FUERA DE TIEMPO D…,
2021-07-12 05:09:44,"Hi!! 
Quiero hacer una lista de personitas para mencionarlas en  tweets de binnie o skz!!
Pueden dejar su arroba si quieren estar",
2021-07-12 05:09:36,yo con este tipo de changbin https://t.co/K7rUq3a5gR https://t.co/B3V9LXdtlr,
2021-07-12 05:09:11,"RT @_StrayKidsPeru:  VOTACIÓN」 11.07.21 #StrayKids #스트레이키즈 

[Juegos Olímpicos de Idols 2021– RAP]
STAY VOTEN POR LA 3RA OPCIÓN POR CHANGB…",
2021-07-12 05:08:57,RT @stayvillesp: Una fanbase china de Changbin ya está comenzando a poner los ads de su cumpleaños❣ Este ad va a estar en la estacion de Se…,
2021-07-12 05:08:38,"RT @straykidsxzone: Hice headers de @Stray_Kids, ya saben que pueden usarlos libremente, sólo pido que le den fav y rt para que así más gen…",
2021-07-12 05:08:20,pq changbin es tan lindo ,
2021-07-12 05:07:35,"RT @straykidsxzone: Hice headers de @Stray_Kids, ya saben que pueden usarlos libremente, sólo pido que le den fav y rt para que así más gen…",
2021-07-12 05:07:27,"RT @straykidsxzone: Hice headers de @Stray_Kids, ya saben que pueden usarlos libremente, sólo pido que le den fav y rt para que así más gen…",
2021-07-12 05:07:15,"RT @SKZ_Ecuador: [FOTO][110721]

¡La fanbase de #Changbin en China ya ha comenzado a publicar anuncios de su cumpleaños! Este se exhibirá…",
2021-07-12 05:07:12,@isilovestae Changbin estaba al lado mío haciéndome mimitos en el cabello que dices,
2021-07-12 05:07:04,"changbin es la tercera opción, voten!!! https://t.co/io87lVFQDj",
2021-07-12 05:07:02,RT @iMINO_o: NO STAYS LAS FOTOS DEL SUPUESTO TATUAJE DE CHANGBIN NO LAS DIFUNDAN PQ SON SIN SU AUTORIZACIÓN Y SE LAS TOMO FUERA DE TIEMPO D…,
2021-07-12 05:06:46,voten x el 3ro es changbin!!! https://t.co/SKwSglL8aK,
2021-07-12 05:06:30,"Stay‼️
Entren al tweet y voten por changbin, es el tercero https://t.co/twz0g8v17R",
2021-07-12 05:06:28,RT @stayvillesp: Una fanbase china de Changbin ya está comenzando a poner los ads de su cumpleaños❣ Este ad va a estar en la estacion de Se…,
2021-07-12 05:05:58,@s3govianoseq Él también te extraña ,
2021-07-12 05:05:35,RT @stayvillesp: Una fanbase china de Changbin ya está comenzando a poner los ads de su cumpleaños❣ Este ad va a estar en la estacion de Se…,
2021-07-12 05:05:28,"RT @straykidsxzone: Hice headers de @Stray_Kids, ya saben que pueden usarlos libremente, sólo pido que le den fav y rt para que así más gen…",
2021-07-12 05:05:26,RT @stayvillesp: Una fanbase china de Changbin ya está comenzando a poner los ads de su cumpleaños❣ Este ad va a estar en la estacion de Se…,
2021-07-12 05:05:21,@ot8Hwan son chan y jisung pero si changbin también vist,
2021-07-12 05:05:14,@chgbinfacha @CH4NLUKE andate a la mierda pelotuda no me pidas nada changbin mi novio,
2021-07-12 05:04:57,RT @stayvillesp: Una fanbase china de Changbin ya está comenzando a poner los ads de su cumpleaños❣ Este ad va a estar en la estacion de Se…,
2021-07-12 05:04:51,Voten por Changbin es la tercera opción ‼️‼️ https://t.co/iGwieBsuUN,
2021-07-12 05:04:37,"RT @F3LIXGRL: y siempre están diciéndonos que nos aman, changbin nos hace reír con sus ocurrencias de “binnie cutie” o así, i.n siempre se…",
