created_at,text,sad
2021-07-12 05:06:40,"@Yeah_perdonen_ Fácil , argentina es local en todos lados , desde Bangladesh hasta la isla más alejada del mundo donde conozcan a messi , pasando por pueblos , tribus y más,  Argentina te podía jugar un partido en China que siempre en la transmisión ibas a ver a alguien con la celeste y blanca",
2021-07-12 05:06:34,De todo lo que va de Julio e visto a china todos los días jajajajaj aunque sea solo en el trabajo y que lindo es!🥰,
2021-07-12 05:06:33,RT @DannyRangelGDL: Al régimen castrista ya no lo protege ningúna superpotencia al nivel de la URSS. Cuba no es tan crucial como para que C…,
2021-07-12 05:06:33,"CHINA LLUVIAS - Pekín y partes del norte de China, en alerta por fuertes lluvias https://t.co/SJZssNdZVK #Sociedad",
2021-07-12 05:06:31,"RT @MktEmilio: @sigridbazan Hipócrita oportunista de las protestas de Cuba no puedes comentar no? tú vives, duermes, comes y cobras sólo pa…",
2021-07-12 05:06:28,"RT @T13: Boric: ""Tal como condenamos la libertad de expresión en otros lugares, por qué en China no, ¿porque nos pone plata""

EN VIVO #Deba…",
2021-07-12 05:06:28,"@feminazidelcuri @hdustanq Aparte q en Colombia sigue quedando la cagada... y hay relaciones con otros países que siguen siendo contingentes, como el caso de China. Así como hay temas de política exterior que implican integración y cooperación regional en AL, como migración, pandemia y crisis climática..",
2021-07-12 05:06:28,RT @stayvillesp: Una fanbase china de Changbin ya está comenzando a poner los ads de su cumpleaños❣ Este ad va a estar en la estacion de Se…,
2021-07-12 05:06:28,"RT @LiteraturayMas_: ""Es deber humano causar placer en vez de pena, y quien conoce la belleza la respeta y cuida. No pondrá en un jarrón de…",
2021-07-12 05:06:20,"RT @IURUGUAYO1: No, no voy a opinar sobre Cuba, no conozco la realidad d Cuba, tampoco la d Venezuela o Corea o China, vivo en Chile y se q…",
2021-07-12 05:06:19,RT @dmimica: Para seguir hablando de DDHH mañana no tendremos que ir muy lejos: 3 de los 4 candidatos fueron ministros de un gobierno que v…,
2021-07-12 05:06:17,"@atuanTv Acaso porfin llegué hasta china?
:D",
2021-07-12 05:06:10,RT @mfceli: El presidente de China no es ningún dictador. Ha trabajado durante décadas y ha ascendido hasta llegar a lo más alto en un país…,
2021-07-12 05:06:09,"RT @pablovaldezpy: Hay gente en esta parte del continente que no quiere que caigan las dictaduras de Cuba o Venezuela, no por razones ideol…",
2021-07-12 05:06:07,"@elias_vs @DianaMa67815249 @SimonLevyMx ¡ FALSO !

Cuba tiene comercio con mas de 100 países. México, Canada, Holanda, China, España y Brasil entre ellos. 

https://t.co/fzz2fdoH4i",
2021-07-12 05:06:02,"RT @Fcotta63: Hubo un tiempo espectacular en #CreaciónArtística #musical 

#LaDécadaProdigiosa. 21 éxitos para escuchar de esta excelente g…",
2021-07-12 05:05:57,"@angrymarmota @VertizPamela Cuba comercia con decenas de países, incluida China (2da economia mundial), Rusia, Argentina, etc.

Si les va tan mal es principalmente por su mala gestión.",
2021-07-12 05:05:52,@elvis_aprueba @Tocomples316 @tv_monica la Dictadura China también es comunista.. https://t.co/ZW0CGeohES,
2021-07-12 05:05:40,"RT @rintereconomia: #Agenda 

Esta semana arranca la temporada de resultados en EEUU con las cuerntas de JP Morgan, Goldman Sachs, Citigrou…",
2021-07-12 05:05:38,"RT @therealbuni: 10 años de argentina deconstruida = no ganamos nada
1 semana de Argentina bardera y xenofoba= campeones de la copa América…",
2021-07-12 05:05:37,"@angrymarmota @VertizPamela Tarata, Bloqueo? Con la ayuda del China y Rusia grandes potencias económicas, Rojete cerebro cerrado",
2021-07-12 05:05:36,"RT @juniorbenitezn: No, Cuba  no es pobre por culpa del “bloqueo” por parte de Estados Unidos 
Negocia con 170 países entre ellos China…",
