created_at,text,sad
2021-07-12 06:03:00,"RT @camilocnn: Díaz -Canel, el presidente designado por Raúl Castro responsabiliza a EEUU de las protestas multitudinarias en la isla .",
2021-07-12 06:02:59,"@MIKI_Torres_ Si la época en qué EEUU apoyo la revolución de Castró, pero para que digo contestando a un ignorante, que solo sabe ser lobbista de los casinos, te informo que tú negocito se acabó",
2021-07-12 06:02:56,"RT @ADRIANAAZZIAS: HASTA QUE POR FIN  ENTENDIERON QUE NI EEUU, NI LA ONU, NI UE LES VA A DAR SU LIBERTAD 
Los cubanos todos unidos en las c…",
2021-07-12 06:02:52,"RT @DaniaArtex: Todo nuestro apoyo a  Cuba y a nuestro presidente 
@DiazCanelB
 frente a la escalada contrarrevolucionaria impulsada desde…",
2021-07-12 06:02:51,"RT @PleyariIndigo: Raul Castro huyó como rata a Venezuela.  Parece que habrá una intervención de EEUU. Tiembla maduro, tiembla albertitere…",
2021-07-12 06:02:45,RT @Claroqspuede: No voy a responder más a los que dicen que Cuba no es una dictadura. Sí lo es. Otra cosa es que opino que su peor enemigo…,
2021-07-12 06:02:42,"RT @ellibertadortw: @abrahamendieta Cuba tiene un embargo y solo con EEUU, no un bloqueo. El bloqueo lo pone la dictadura que le sacó la li…",
2021-07-12 06:02:41,"RT @_NOALCOMUNISMO: MIAMI PIDE A WASHINGTON INTERVENCIÓN MILITAR NORTEAMERICANA PARA PROTEGER AL PUEBLO CUBANO DE UN BAÑO DE SANGRE
El alca…",
2021-07-12 06:02:37,"RT @CoralTeresa: ¿Saben que es lo cierto aquí?
En el caso de nuestro Embajador Alex Saab, todo el mundo sabe de su inocencia, y de la obses…",
2021-07-12 06:02:36,"RT @teleSURtv: Colectivos, movimientos y organizaciones latinoamericanos expresaron su respaldo al pueblo y Gobierno cubano  en respuesta…",
2021-07-12 06:02:33,"RT @DIOSTodoLoP: Flotilla Libertad de Militares Cubano Americanos están ya en aguas internacionales. Han salido de Cuba aviones a Caracas,…",
2021-07-12 06:02:32,"Si EEUU no invade Cuba ahora, se les va a adelantar Putin. https://t.co/kULxry39i0",
2021-07-12 06:02:30,RT @hugoguionista: Por qué me bloqueó Mónica Rincón? Por criticar a Matamala? Por hablar de su hermano golpeador de mujeres o de su hermana…,
2021-07-12 06:02:30,"Apoyo total al camarada .@NicolasMaduro ! Nuestro enemigo es el gobierno reptil de #EEUU, imperio que está en evidente declive y perdiendo su poder en todo el mundo, y único responsable del desequilibrio regional que estamos viviendo hoy.

#Venceremos",
2021-07-12 06:02:27,"RT @OperadorNuclear: EL JUGUETE RADIACTIVO ☢️

El Gilbert U-238 Atomic Energy Lab fue un juego lanzado por AC Gilbert Company en EEUU en 19…",
2021-07-12 06:02:25,RT @elvisocc: Los republicanos en EEUU apoyan abiertamente la revuelta del pueblo cubano contra la dictadura comunista. Los del partido Dem…,
2021-07-12 06:02:25,"@HipotesisPoder Basta Google para probarte lo Ignorante y/o Perverso que eres!!

EE.UU. impone multas a 49 empresas por violar el bloqueo a Cuba|Noticias|teleSUR - https://t.co/lhjUmkUoMH

https://t.co/THZ2INoVBE

https://t.co/KJBXWtNLa9

https://t.co/UkT0Wuf3cp

https://t.co/3C48un5YWr",
2021-07-12 06:02:22,RT @Csanchezberzain: Miami pide intervención militar para proteger al pueblo cubano. Intervención liderada por #EEUU para proteger al puebl…,
2021-07-12 06:02:21,"RT @teleSURtv: Colectivos, movimientos y organizaciones latinoamericanos expresaron su respaldo al pueblo y Gobierno cubano  en respuesta…",
2021-07-12 06:02:21,"RT @CemiHolding: Los comunistas cubanos no paran de hablar mal del capitalismo, en especial de los EEUU.

Pero:

Entre el 2000 y el 2015 Cu…",
2021-07-12 06:02:18,RT @RevistaSemana: Alcalde de Miami pide intervención militar de EE.UU. en Cuba para “proteger al pueblo” https://t.co/9NF9QpHEuA,
2021-07-12 06:02:15,"RT @ubidominans: Cuando se trata de Cuba o Venezuela aparece enseguida la rata de Almugre, ah pero con Colombia y las atrocidades de EEUU p…",
2021-07-12 06:02:14,"RT @ChalecosAmarill: En #Cuba  Movilizaciones ""en defensa de la Revolución"" convocadas por el presidente, hay convocatorias en todo el…",
2021-07-12 06:02:13,"RT @_NOALCOMUNISMO: MIAMI PIDE A WASHINGTON INTERVENCIÓN MILITAR NORTEAMERICANA PARA PROTEGER AL PUEBLO CUBANO DE UN BAÑO DE SANGRE
El alca…",
2021-07-12 06:02:12,"RT @ChalecosAmarill: Ni las autoridades en #Cuba son los máximos responsables de la miseria de su pueblo, como tampoco lo son en #Palestin…",
2021-07-12 06:02:10,RT @soysebbs: Raúl castro y FLIA se fueron a Venezuela ante una posible intervención militar de EEUU pero más importante la gente que se de…,
2021-07-12 06:02:07,"RT @almendrabellota: Monica Rincón, a ver si mañana le preguntas por Colombia, EEUU y Brasil a los candidatos de derecha.",
2021-07-12 06:02:03,"RT @almendrabellota: Monica Rincón, a ver si mañana le preguntas por Colombia, EEUU y Brasil a los candidatos de derecha.",
2021-07-12 06:02:03,"RT @RicardoMoran: La última persona que conocí con polio fue mi tío Tito, ya fallecido. 
Último caso de polio en EEUU fue en 1979 (42 años)…",
2021-07-12 06:02:00,RT @edgard_simon: Nuestros hermanos cubanos en la calle 8 de Miami pidiendo intervención de EEUU en Cuba para su Liberación! Nosotros los v…,
2021-07-12 06:02:00,"RT @teleSURtv: Colectivos, movimientos y organizaciones latinoamericanos expresaron su respaldo al pueblo y Gobierno cubano  en respuesta…",
2021-07-12 06:01:58,RT @hugoguionista: Por qué me bloqueó Mónica Rincón? Por criticar a Matamala? Por hablar de su hermano golpeador de mujeres o de su hermana…,
2021-07-12 06:01:48,"RT @_NOALCOMUNISMO: MIAMI PIDE A WASHINGTON INTERVENCIÓN MILITAR NORTEAMERICANA PARA PROTEGER AL PUEBLO CUBANO DE UN BAÑO DE SANGRE
El alca…",
2021-07-12 06:01:47,"RT @OLMB14: @lexi4prez Manifestantes opositores cubanos desfilan con la bandera de EEUU. Y es que, como dice el dicho castellano, ""es de bi…",
2021-07-12 06:01:44,"RT @teleSURtv: El presidente de #Cuba, Miguel @DiazCanelB, rechazó las campañas de desprestigio de la hegemonía mediática en medio de la pa…",
2021-07-12 06:01:43,"@JackGrealish777 @cubangoliath @El_Cutty @Sander39684245 Lo mas cercano que he visto fue una congregación en miami y este comentario de preocupación, que lo posteo la subsecretaria de estado de EEUU https://t.co/ceJIXEu5EO",
