created_at,text,sad
2021-07-12 06:26:05,RT @evoespueblo: Reafirmamos que se halla en marcha el #PlanCóndor2 y debemos acordar medidas para que los gobiernos de la derecha de Latin…,
2021-07-12 06:26:02,@OscarCc77135759 @_alfonsoescobar @JaduePdte2021 @danieljadue Métanse en el bolsillo de Estados Unidos y prepárense para el bloqueo economico,
2021-07-12 06:26:01,RT @solange_: En Estados Unidos hoy hay más de cinco veces más empleos en energía solar que en minería de carbón. @ClimateLatino #ClimateRe…,
2021-07-12 06:26:00,RT @MundoMaldini: No estéis tristes que acaba de empezar la Copa Oro. Esta noche Estados Unidos-Haití,
2021-07-12 06:25:55,RT @lilicoleEm: Es ahora o nunca caballero no se rindan mi gente aquí en estados unidos estamos con ustedes mi gente luchen y sean fuertes…,
2021-07-12 06:25:54,"RT @HipotesisPoder: Cuba no tiene un bloqueo, tiene un embargo. El embargo solo le impide comerciar con 1 país : Estados Unidos. 
De ahí, C…",
2021-07-12 06:25:53,"RT @HipotesisPoder: Cuba no tiene un bloqueo, tiene un embargo. El embargo solo le impide comerciar con 1 país : Estados Unidos. 
De ahí, C…",
2021-07-12 06:25:52,"@JuanC_Tenorio @CeciGal1122 @Omargsa2 @sylxuxu @RicardoBSalinas Hasta la fecha, AMLO sólo ha viajado a Estados Unidos y creo que sera su unico viaje que ha tenido.",
2021-07-12 06:25:51,"RT @RosaElenaTelle1: Mi gente de cuba , Estados Unidos acaba de mover un satélite hacia acá, busquen esta aplicación para la conexión, si f…",
2021-07-12 06:25:47,"RT @HipotesisPoder: Cuba no tiene un bloqueo, tiene un embargo. El embargo solo le impide comerciar con 1 país : Estados Unidos. 
De ahí, C…",
2021-07-12 06:25:45,"#CopaOro2021
#FaseDeGrupos
#GrupoB
#TablaDePosiciones

En cuanto al Grupo B, tanto Canadá como Estados Unidos se adjudican en el liderato y en segundo puesto, siendo la diferencia de goles; además de la colocación de Haití y Martinica en 3er y 4to puestos por el mismo criterio. https://t.co/bGgktiaJyK",
2021-07-12 06:25:45,"RT @HipotesisPoder: Cuba no tiene un bloqueo, tiene un embargo. El embargo solo le impide comerciar con 1 país : Estados Unidos. 
De ahí, C…",
2021-07-12 06:25:45,"RT @HipotesisPoder: Cuba no tiene un bloqueo, tiene un embargo. El embargo solo le impide comerciar con 1 país : Estados Unidos. 
De ahí, C…",
2021-07-12 06:25:44,"RT @roslemusmartin: Estupidez epidemiológica en Estados Unidos: ser uno de los 100 millones de personas elegibles para recibir una vacuna ,…",
2021-07-12 06:25:44,RT @nicoalessandrap: No se puede hablar de Cuba sin mencionar los 60 años de bloqueo total. ¿Objetivo? Cercar al país para provocar el derr…,
2021-07-12 06:25:42,"@disneyplusla Querido Disney, son ciertos lor rumores de que los primeros 5 capítulos de la segunda temporada de The owl hause van a ser estrenados el próximo 21 de este mismo mes tanto en Estados Unidos como en Latinoamérica ?",
2021-07-12 06:25:40,RT @alecmartin016: El pueblo de Estados Unidos apoya el pueblo de Cuba en luchan liberar  ellos mismos de el reinado de comunismo y sociali…,
2021-07-12 06:25:40,"RT @TETEXGIRL:  | Weverse Magazine - @BTS_twt 

BTS no firmó con un sello estadounidense famoso cuando ingresó a los Estados Unidos. “Reci…",
2021-07-12 06:25:38,@LauraMex @ferbelaunzaran @ferbelaunzaran la culpa no es de Estados Unidos es del Refimen comunista!,
2021-07-12 06:25:36,RT @Citytv: ☄️ Video del momento exacto en el que un meteorito entra a la Tierra. Las fueron capturadas por un astrofotógrafo aficionado de…,
2021-07-12 06:25:35,RT @_Sileno: La plata que se está gastando Estados Unidos en Cuba para tapar lo de Haití.,
2021-07-12 06:25:34,"RT @idontdodrugsz: hmm, la forma en que su éxito en los Estados Unidos fue puro y con un impacto real, sin embargo, algunos se atreven a de…",
2021-07-12 06:25:33,"@FisicoImpuro J balvin le debe su fortuna a Estados Unidos, no crea que va a dejar eso por apoyarnos",
2021-07-12 06:25:32,"RT @arturocazal: ¿DÓNDE ESTÁ LA DICTADURA?

Estados Unidos vs. Cuba https://t.co/F47DmsdlXW",
2021-07-12 06:25:32,"Alguien que le informe a @Almagro_OEA2015 que en @Colombia se están violando los @ONUHumanRights desapareciendo gente y que nadie hace nada. Sin duda los Estados Unidos, tienen mucho que ver en este cerco informativo. https://t.co/l1UUqpxVcq",
2021-07-12 06:25:30,"RT @HipotesisPoder: Cuba no tiene un bloqueo, tiene un embargo. El embargo solo le impide comerciar con 1 país : Estados Unidos. 
De ahí, C…",
2021-07-12 06:25:26,"RT @RazonesdeC: Los provocadores en #Cuba ondean banderas de Estados Unidos, un clásico en las protestas ""espontáneas"" contra gobiernos que…",
