created_at,text,sad
2021-07-12 05:29:01,"RT @20PeterMel: @PLibertarioMx El ""paraíso socialista cubano"" es solo propaganda
Jamás ha sido verdad, pero te lo han repetido tantas veces…",
2021-07-12 05:29:01,"RT @PaVa_Mx: Oigan adoradores de López, me pueden explicar porque lo cubanos están saliendo a las calles a quejarse del gobierno que creó s…",
2021-07-12 05:28:59,"RT @MMarreroCruz: Fidel lo dijo y hoy el pueblo lo demostró, la calle es de los revolucionarios. Una vez más ganó la Revolución.  #SomosCub…",
2021-07-12 05:28:58,"RT @OSWALDORIOSM: Hoy que el pueblo de #Cuba ha perdido TODO, incluido el miedo a sus tiranos comunistas, es un buen momento para recordar…",
2021-07-12 05:28:54,"RT @ferdoval: A propósito de lo que está pasando en Cuba, les dejo esta imagen de Fidel y Raúl Castro y el Ché Guevara. Tres salvajes asesi…",
2021-07-12 05:28:54,"RT @nica_rojaynegra: Recuerden que Fidel vive en cada Revolucionario y que Cuba no nació para ser vencida, Cuba nació para vencer ✊",
2021-07-12 05:28:53,RT @laflormasroja:  Cuba vencerá. Cuba no se doblega ante el imperio. Levanten el bloqueo. Cuba es soberana. Cuba es Martí. Cuba es Fid…,
2021-07-12 05:28:52,"RT @armorales1982: @FelipeVelizH @jorgeerrazuriz Después de ese reconocimiento que hace Jadue sobre Fidel, siento que la humanidad está en…",
2021-07-12 05:28:47,RT @MyBolivia:  #AHORA  Fidel! Fidel! Fidel!! corea el Pueblo de Cuba en las calles de la Habana en defensa de la Revolución y en apoyo a…,
2021-07-12 05:28:47,"RT @RepublicaNow: La historia secreta sobre la relación entre Fidel Castro y Pablo Escobar.

Acabar con el régimen es darle un golpe contun…",
2021-07-12 05:28:41,"RT @ibepacheco: Activada ya la contra información y todo el sistema de manipulación de los hechos sobre 
#Cuba. Ahora más que nunca hay que…",
2021-07-12 05:28:40,"RT @JorRausch: #SOSCuba 
#SOSMatanzasCuba 
#CubaLibre 
#CubaEsUnaDictadura 
#CubaNoEstaSola 
Se terminó!
No puede ser posible que haya naci…",
2021-07-12 05:28:39,"RT @JoseAntonioLo06: Mientras el pueblo Cubano se muere de hambre, vive en miseria y sin Medicinas ,"" Tony Castro"" el Nieto de Fidel, hijo…",
