created_at,text,sad
2021-07-12 05:30:14,RT @leo_valra: Jamás aceptaremos un narco estado en nuestro país. Apoyo a Keiko Fujimori desconociendo al dinámico Pedro Castillo como pres…,
2021-07-12 05:30:00,"#12Jul  | ""Está parcializado con Pedro Castillo"": Fujimori carga contra el presidente interino de Perú  
https://t.co/JdpNolXKjO",
2021-07-12 05:29:38,RT @martinhidalgo: Proclamación de resultados se retrasa por demora de votos en minoría de Víctor Rodríguez Monteza. https://t.co/Bjldb13KTT,
2021-07-12 05:29:35,"@SailormoonPeru1 ¿Cuál democracia?
a) La del imperialismo Yankee.
b) La de Keiko Fujimori.
c) La de sendero Luminoso",
2021-07-12 05:29:33,"RT @exitosape: La lideresa de Fuerza Popular afirmó que no aceptará una posible proclamación de Pedro Castillo como presidente. ""Quieren…",
2021-07-12 05:29:25,"RT @tuesta: Mitra Taj recuerda que la reseña que hace Mario Vargas Llosa, en su última columna, sobre Anne Applebaum, deja de lado un artíc…",
2021-07-12 05:29:06,"RT @keikonova2016: Esos ingleses se parece  a los seguidores de la procesada Keiko Fujimori, agreden a los italianos luego de perder.",
2021-07-12 05:28:50,RT @Ojo_Publico: #LoÚltimo Dueño de la cadena de tragamonedas Mythic financió el costo de 16 apelaciones de Fuerza Popular pagando S/10.560…,
2021-07-12 05:28:43,"RT @Politica_LR: #EleccionesPerú2021 | Dos financistas de las apelaciones de Keiko Fujimori son dueños de tragamonedas

El fujimorismo ha…",
2021-07-12 05:28:26,RT @JudixsporJadue: Los mismos que hacen gárgaras por los DDHH en Cuba apoyaron con absoluta tranquilidad y entusiasmo al gobierno de Bush…,
2021-07-12 05:28:17,"@Isaac35006095 @alt159 Eso lo ocasiona un regimen totalitario como el de Fujimori y el que su hija queria volver, ya tiene a la prensa comprada para engañar ignorant3s, el poder judicial y el congreso, le faltaba el ejecutivo pero el pueblo se opuso a la dictadura fujimorista.",
2021-07-12 05:28:16,"@GonzaloRamirezT Dejen de joder y superen su baja autoestima. Salimos de Velasco, de Bermúdez, de García, y del amoral vendepatria de Fujimori y no fuimos Cuba, Venezuela, o cualquier otro país, y con este modelo neoliberal tampoco somos Suiza.",
2021-07-12 05:27:57,"RT @perrocondueno: Excandidato Yonhy Lescano sobre keiko Fujimori y fuerza popular
""solo les interesa el poder"". Cierto",
