created_at,text,sad
2021-07-12 05:55:44,@Facu__Gutierrez @feed144 Se me undio la esperanza en el segundo que pidió un alfajor...,
2021-07-12 05:55:08,"RT @revistapolemon: La escritora y esposa del Presidente @lopezobrador_, @BeatrizGMuller, pide a la gente promover consulta  para enjuicia…",
2021-07-12 05:54:41,"RT @cineespanol: ¡Exclusiva! La película ""Sin ti no puedo"" en rodaje bajo la dirección de @Chus_Gutierrez y con un reparto formado con @mai…",
2021-07-12 05:54:12,"RT @AmberAlertaNoOf: #CDMX: vía @FiscaliaCDMX se activó la #AlertaAmber  para #Localizar a la adolescente, 17 años, #DianaPaola González G…",
2021-07-12 05:53:31,@Facu__Gutierrez @asinthesong Emm pero no se quien es!?,
2021-07-12 05:53:29,"RT @revistapolemon: La escritora y esposa del Presidente @lopezobrador_, @BeatrizGMuller, pide a la gente promover consulta  para enjuicia…",
2021-07-12 05:53:25,"RT @JhonWick77: Me propuse 4objetivos tener el BMW que usa el Presidente de la Confusam Esteban Maturana,tener una casa como la de Camila V…",
2021-07-12 05:53:16,RT @jfowks: @whuacasi Gutiérrez está en el grupo de personas que ven normal el retraso de la proclamación del presidente vía el abuso del D…,
2021-07-12 05:52:51,"RT @ELBARON_NEWS:  Así fue como el pueblo Güeno del CARTEL DE SINALOA envío a recoger al Gil JR ejecutado en Tuxtla Gutiérrez 
SIGUE AL…",
2021-07-12 05:52:25,"RT @RevoltosoRojo: @DMatamala palangrista de mierda...
Atacaste a @LulaOficial, hiciste lo mismo con @Hugo_Gutierrez_
Te prestaste para el…",
2021-07-12 05:52:10,"RT @AgriculturaFM: Ex funcionarios de la Armada pedirán desafuero de Hugo Gutiérrez
https://t.co/pieFTBpyLI",
2021-07-12 05:52:10,RT @biobio: Exfuncionarios de la Armada pedirán desafuero del convencional Hugo Gutiérrez  https://t.co/u6DHCuGtTV,
2021-07-12 05:51:54,"@PanchoOrregoG Pablo Marchant Gutierrez, otro super mapuche de raza pura, como Celestino Cordova",
2021-07-12 05:51:54,"Hay un indigente tirado afuera del edificio que está en la calle de pampas  entre santa Anita y Manuel Gutierrez Nájera, favor de venir por el @AlcaldiaBJ @Claudiashein @locatel_mx @C5_CDMX https://t.co/vqo9q7Cdeb",
2021-07-12 05:50:28,"RT @MedioBlas: Desde #SalvemosLasLagunasDeAmbroz  apoyamos la protección de Soto Gutiérrez .
Un enclave esencial para la avifauna de la Com…",
2021-07-12 05:50:06,RT @cesarcombina: Josué Gutiérrez : El #Ayayero de #NadineHeredia ahora es el pinterillo defensor de @VLADIMIR_CERRON. Ya decía yo que un p…,
2021-07-12 05:49:50,"RT @Hugo_Gutierrez_: El asesinato de Pablo Marchant Gutiérrez en Carahue a manos de Carabineros, debe ser condenado y lamentar que se regis…",
2021-07-12 05:49:49,"RT @ELBARON_NEWS:  Así fue como el pueblo Güeno del CARTEL DE SINALOA envío a recoger al Gil JR ejecutado en Tuxtla Gutiérrez 
SIGUE AL…",
