created_at,text,sad
2021-07-12 05:07:25,"RT @tiny_likelouis: Las louies que apoyaron a Italia no son fekas ni las argentinas que apoyaron a Inglaterra son vende patria, ES FÚTBOL,…",
2021-07-12 05:07:24,"RT @micadiaz46: Perdió Inglaterra contra Italia, nosotros salimos campeones, y Argentina se convirtió en el país con más vacunados cada 100…",
2021-07-12 05:07:24,RT @DavooXeneizeJRR: Inventaron un deporte donde nunca ganan un carajo y los dos goles más famosos de la historia se los hicieron a ellos.…,
2021-07-12 05:07:23,RT @Quiroga12_: Salió campeón Argentina e Italia. Perdieron Brasil e Inglaterra. El mejor finde de la historia.,
2021-07-12 05:07:23,RT @abolicianita: cómo así que el himno de Inglaterra no es What Makes You Beautiful?????,
2021-07-12 05:07:22,RT @leandrovaldes12: La Copa Diego Armando Maradona la ganó Boca. La Copa América la ganó Argentina (y a Brasil) en el Maracaná y la Euroco…,
2021-07-12 05:07:19,"RT @Yeah_perdonen_: Inglaterra quiso hacer la de Argentina y no pudo aguantar el 1 a 0 jujuju, la scaloneta no es para todo el mundo inglés…",
2021-07-12 05:07:19,amo como bardearon a zain por lo d italia mira si vas a ser tan culo roto en creer que inglaterra puede ganar algo si están más engualichados que arg,
2021-07-12 05:07:18,RT @Quiroga12_: Salió campeón Argentina e Italia. Perdieron Brasil e Inglaterra. El mejor finde de la historia.,
2021-07-12 05:07:18,"RT @saivessel: anteayer fue el día de la independencia, ayer ganó Argentina y hoy perdió Inglaterra son todas señales para que vayamos a re…",
2021-07-12 05:07:17,RT @91Aureaaaa: Hoy juega mi natal Inglaterra y suena kill my mindy adore you de mis poderosísimos Louis Tomlinson y Harry Styles. https://…,
2021-07-12 05:07:12,RT @crismartinj: Final de Wimbledon. Inglaterra. Hoy. ¿#Mascarillas? ¿Distancia de seguridad? ¿O la #COVID19 sabe que a los campos de tenis…,
2021-07-12 05:07:11,"RT @Yeah_perdonen_: Inglaterra quiso hacer la de Argentina y no pudo aguantar el 1 a 0 jujuju, la scaloneta no es para todo el mundo inglés…",
2021-07-12 05:07:10,"RT @lopezdoriga: Como en 1996, como en el 2004, como en 2012. 

Una vez más, Inglaterra se hundió desde los once metros. Volvieron a estrel…",
2021-07-12 05:07:09,"RT @catalinagilp: Qué tristeza esto. 

Cuando Inglaterra juega los casos de violencia doméstica suben un 26%. Cuando juega y pierde suben a…",
2021-07-12 05:07:09,RT @metroadelantado: Ganó Argentina y perdió Inglaterra. Esta noche en el paraíso: https://t.co/v5c0YYvps1,
2021-07-12 05:07:07,RT @MariLudopata: Esa estadística de que en Inglaterra aumentan los casos de violencia intrafamiliar cuando juega la selección me dejó bien…,
2021-07-12 05:07:06,"Vista las reacciones post partido de la afición inglesa, creo que solo quedan pendiente suspender la participación de Inglaterra en el Mundial y la Eurocopa por los próximos 10 años y multazo de los que duelen.",
2021-07-12 05:07:05,"RT @saivessel: anteayer fue el día de la independencia, ayer ganó Argentina y hoy perdió Inglaterra son todas señales para que vayamos a re…",
2021-07-12 05:07:04,RT @rosariovillalb: Argentina le ganó a Brasil en Brasil e Italia le ganó a Inglaterra en Inglaterra todo en menos de 24 hs me lo imagino e…,
2021-07-12 05:07:03,"RT @GilbertoEsc_: -Argentina le gana a Brasil en la Copa América. 
-Italia le gana a Inglaterra en la Euro Copa.
-El Salvador le gana a Gua…",
2021-07-12 05:07:01,"RT @gonza_fh: Cerramos el finde con aniversario del día de la Independencia, Argentina campeón vs. Brasil en el Maracaná e Italia con un 10…",
2021-07-12 05:07:00,"RT @SBR5RM: Si gana España es por Pedri, si gana Argentina es por Messi,si gana Inglaterra es por Guardiola.
¿Si gana Italia que se inventa…",
2021-07-12 05:06:59,"RT @QuimeyHerrera01: Argentina saliendo campeón contra Brasil en el Maracaná. 
Italia saliendo campeón contra Inglaterra en Wembley.

Es el…",
2021-07-12 05:06:58,"RT @saivessel: anteayer fue el día de la independencia, ayer ganó Argentina y hoy perdió Inglaterra son todas señales para que vayamos a re…",
2021-07-12 05:06:58,RT @Quiroga12_: Salió campeón Argentina e Italia. Perdieron Brasil e Inglaterra. El mejor finde de la historia.,
2021-07-12 05:06:58,RT @Malp4ridoLiam: GANÓ ITALIA JUEPUTA JAJAJAJAJAJAJAJAJA INGLATERRA DECIME QUE SE SIENTE PERDER LA FINAL EN CASA JAJAJAJAJAJAJAJA,
2021-07-12 05:06:58,"La profecía decía que el Cruz Azul tenía que ser campeón de liga, para que que Argentina e Italia se hicieran con un título. Próxima parada: Holanda jaja #EURO2020 #Italia #CruzAzul #MessiCampeon #Inglaterra #InglaterraLaConchaDeTuMadre",
2021-07-12 05:06:57,RT @abolicianita: cómo así que el himno de Inglaterra no es What Makes You Beautiful?????,
2021-07-12 05:06:57,RT @VarskySports: Inglaterra denuncia que algunos jugadores fueron víctimas de discriminación tras el partido de hoy,
2021-07-12 05:06:57,"RT @Piezas750: Hablemos de que Insigne acaba de ganar la Euro a los ingleses, en Inglaterra y con el Diego tatuado en la pierna. Hablemos d…",
2021-07-12 05:06:57,RT @HacheFilardi: Esto es terrible: las estadísticas muestran que los casos de violencia doméstica en Inglaterra aumentan cuando pierden al…,
2021-07-12 05:06:54,RT @ElKrakenLive: Si Italia queda campeon de la EURO ganandole a Inglaterra vamos a sortear una camiseta de la Seleccion Italiana entre tod…,
2021-07-12 05:06:50,RT @nu3ve: Argentina le ganó a Brasil EN BRASIL e Italia a Inglaterra EN INGLATERRA aguante el fulbo,
2021-07-12 05:06:49,RT @iamajo07: Brasil e Inglaterra perdiendo. Nuestros mayores enemigos perdiendo. Señor me has mirado a los ojos.,
2021-07-12 05:06:48,ay me pone triste pensar en que el racismo es algo que existe todavía y como la están pasando los jugadores de inglaterra por perder ,
2021-07-12 05:06:46,RT @lhhlov: estoy re mal por louis y harry No por inglaterra ellos deben estar re tristes y si ellos están tristes yo estoy triste,
2021-07-12 05:06:39,"RT @SC_ESPN:  ¡EN WEMBLEY, ITALIA PISÓ FUERTE Y ES EL NUEVO CAMPEÓN DE LA EUROCOPA! 

 Los de Mancini, tras el 1-1 en los 120', se queda…",
2021-07-12 05:06:39,RT @Quiroga12_: Salió campeón Argentina e Italia. Perdieron Brasil e Inglaterra. El mejor finde de la historia.,
2021-07-12 05:06:39,RT @lopezdoriga: #AHORA La policía Metropolitana de Londres confirmó 45 detenciones durante la final de la #EURO2020 entre Italia e Inglate…,
2021-07-12 05:06:38,"RT @atooca: Si gana Inglaterra es por Guardiola, si pierden es por no hacer caso a Guardiola. Esta gente y su relato siempre gana. Vaya pan…",
2021-07-12 05:06:37,"RT @Yeah_perdonen_: Inglaterra quiso hacer la de Argentina y no pudo aguantar el 1 a 0 jujuju, la scaloneta no es para todo el mundo inglés…",
2021-07-12 05:06:35,"RT @saivessel: anteayer fue el día de la independencia, ayer ganó Argentina y hoy perdió Inglaterra son todas señales para que vayamos a re…",
2021-07-12 05:06:34,RT @HacheFilardi: Esto es terrible: las estadísticas muestran que los casos de violencia doméstica en Inglaterra aumentan cuando pierden al…,
2021-07-12 05:06:34,Narración de Emilio Fernando Alonso en Italia-Inglaterra fue tendencia https://t.co/kO1NrhTq9n a través de @mediotiempo,
2021-07-12 05:06:33,RT @InvictosSomos: Argentina venciendo a Brasil en una final en El Maracaná. Italia derrotando a Inglaterra en una final en Wembley (era na…,
2021-07-12 05:06:32,"RT @fsp1967: Si gana la final Inglaterra, será por las enseñanzas de Guardiola. Si la pierde, será por no seguir las enseñanzas de Guardiol…",
2021-07-12 05:06:31,"RT @Danichung: Kane marcó la diferencia en el PT activando a los carrileros. En la ST, Berardi y Chiesa con el perfil cambiado e Insigne en…",
2021-07-12 05:06:30,"RT @tomasifc: De Boca, Boliviano e hincha de Inglaterra, deja una enfermedad para los demás hermano https://t.co/6yz5sWHBdZ",
2021-07-12 05:06:30,RT @ramardo_: El chileno que alentó por Inglaterra y Brasil https://t.co/rl9d8VJy5Q,
2021-07-12 05:06:30,"RT @LaGrondonaTwitt: Argentina e Italia campeones el mismo finde ganándoles las finales a Brasil e Inglaterra 

FUAAAA, EL DIEGO  htt…",
2021-07-12 05:06:28,"RT @Malp4ridoLiam: Yo a Inglaterra no le perdonó el Go kane (Cocaine), Stones diciendo que la selección jugaba muy sucio cuando el malparid…",
2021-07-12 05:06:28,"RT @LaGrondonaTwitt: Argentina e Italia campeones el mismo finde ganándoles las finales a Brasil e Inglaterra 

FUAAAA, EL DIEGO  htt…",
2021-07-12 05:06:27,RT @Quiroga12_: Salió campeón Argentina e Italia. Perdieron Brasil e Inglaterra. El mejor finde de la historia.,
2021-07-12 05:06:27,"RT @GilbertoEsc_: -Argentina le gana a Brasil en la Copa América. 
-Italia le gana a Inglaterra en la Euro Copa.
-El Salvador le gana a Gua…",
2021-07-12 05:06:22,RT @realCarola2Hope: Inglaterra hubiera ganado en penales si su técnico no hubiera estado tan preocupado en cumplir su cuota de “diversidad…,
2021-07-12 05:06:22,"RT @HoyPalestina: Dios no te dió la tierra.
Lo hizo Inglaterra ilegalmente. https://t.co/5tIjBPKwFV",
2021-07-12 05:06:22,"@Estuardo_Vargas Hay tres niveles creo.
Brasil, Alemania e Italia comen aparte.

Le siguen Francia, Argentina. Semilleros de jugadores. 

De ahí están los que tienen un título o son potencias por ""competitividad"" (Holanda, España, Uruguay, Inglaterra,etc).",
2021-07-12 05:06:21,Y por estas cosas la mayoría de gente no quería que ganase Inglaterra… no obstante tanto el fútbol moderno como la gente (en general directamente) da asco https://t.co/LVO8tyrFB7,
2021-07-12 05:06:19,"Me alegro que haya ganado Italia porque en fin, Inglaterra. Pero seamos claros: no merecian una final.

Yo, experto y tal. 🤣",
2021-07-12 05:06:15,RT @esnynicl: Inglaterra ganó porque ellos tienen a Louis Tomlinson y a Harry Styles,
2021-07-12 05:06:14,RT @Ballet_Cosmico: CAMPEON ITALIA Y ARGENTINA DE VISITANTE CONTRA BRASIL E INGLATERRA. TODA TUYA D10S https://t.co/SMcvXozGJL,
2021-07-12 05:06:14,RT @underthebridge9: gracias italia por hacer llorar a toda francia e inglaterra el mismo año un besito reina no te merecemos,
2021-07-12 05:06:10,RT @Quiroga12_: Salió campeón Argentina e Italia. Perdieron Brasil e Inglaterra. El mejor finde de la historia.,
2021-07-12 05:06:08,"RT @HoyPalestina: Dios no te dió la tierra.
Lo hizo Inglaterra ilegalmente. https://t.co/5tIjBPKwFV",
2021-07-12 05:06:07,RT @Gatq: ¿Por qué la euro le sonrió a Italia y no a Inglaterra? una imágen lo explica todo https://t.co/fCtjAGWfeZ,
2021-07-12 05:06:06,RT @troglioneta: Argentina gana una final en brasil contra brasil un día 10 y en menos de 24 horas inglaterra pierde una contra nada mas ni…,
2021-07-12 05:06:05,RT @marketargento: Argentina le ganó una a brasil e Italia le ganó a Inglaterra. Dios existe y es nuestro https://t.co/tSHIB8MgkX,
2021-07-12 05:06:04,"RT @eliseoyrure_: argentina le gana a brasil e italia le gana a inglaterra,sera q el diego nos esta tirando señales desde arriba?",
