created_at,text,sad
2021-07-12 06:08:26,RT @sungoesd4wn: felicidades a Italia por ganar la eurovision gay y la hetero,
2021-07-12 06:08:24,"RT @InvictosSomos: Fracasos en Mundiales, les tocó perder su primera final de Eurocopa y vivieron el duro proceso en el que Italia no logró…",
2021-07-12 06:08:22,RT @twxroro: italia ganando eurogay y eurohetero no se puede molar más como país,
2021-07-12 06:08:20,RT @underthebridge9: gracias italia por hacer llorar a toda francia e inglaterra el mismo año un besito reina no te merecemos,
2021-07-12 06:08:19,"RT @reformacancha: Acabaron su sequía durante la pandemia:
 Argentina (CA, 28 años)
 Buccaneers (NFL, 18) 
 Dodgers (MLB, 32)
 Liverpoo…",
2021-07-12 06:08:18,"@ToniEA686 @Silviavydan Me pregunto que habría hecho España de llegar a la final. Y temo la respuesta, al igual que Italia habría sucumbido a la presión de los que pagan, así que me alegra no haber pasado de semis...",
2021-07-12 06:08:13,RT @sungoesd4wn: felicidades a Italia por ganar la eurovision gay y la hetero,
2021-07-12 06:08:11,"RT @Almomento4T:  #Deportes 
#Italia se corona por segunda vez como campeón de una Eurocopa, luego de vencer este domingo a #Inglaterra.…",
2021-07-12 06:08:10,"RT @Les_Paul_73: Antes d q entregaran la medalla a ""La pérfida Albión"" le he explicado a mi hijo q lo q iba a pasar, es un gesto feísimo y…",
2021-07-12 06:08:10,"RT @VarskySports: Hola @CONMEBOL, hola @UEFA

Les solicitamos tengan a bien considerar que se dispute una Copa Euroamericana entre Argentin…",
2021-07-12 06:08:10,RT @leoneltudo: ITALIA CAMPEÓN https://t.co/lGdyk4ddi3,
2021-07-12 06:08:09,"RT @HispanasMellos: [#mellos] Dayaneeee, la chica, Italia campeón, chaotic energy 

Segundo live de la noche en dos partes en nuestro IG…",
2021-07-12 06:08:07,RT @InvictosSomos: Argentina fue campeón tras 28 años de espera. Italia fue campeón de la Euro tras 53 años. Y clubes como Atlético (7 años…,
2021-07-12 06:08:06,RT @EISuco: Mi TL cada vez que marque italia https://t.co/Wg5p0zx5r5,
2021-07-12 06:08:06,RT @TanqueShirley: 🧵La noticia cuenta que la Corte Suprema de Italia confirmó la condena a cadena perpetua para el capitán (R) Jorge Trócco…,
2021-07-12 06:08:05,RT @lopedevegac: Cuando te enteras de que Italia ha derrotado a Inglaterra en la final de la Eurocopa en Londres. https://t.co/V6eGW7dIe6,
2021-07-12 06:08:05,"RT @LaGrondonaTwitt: Tweet en apreciación a Giorgio Chiellini que a los 36 años fue una de las grandes figuras de la Eurocopa 

Formando…",
2021-07-12 06:08:03,RT @opiniondemalaga: Buenos días. La victoria de Italia en la final de la Euro 2020 es protagonista de la portada de nuesta edición impresa…,
2021-07-12 06:07:59,"RT @enriquemoscat: Inglaterra se quita la medalla de plata de la #EURO2020 . Por cosas como esta, casi toda Europa se alegra de que haya ga…",
2021-07-12 06:07:59,"@matthewbennett ¿Ganó Italia? ¡Bien!

Al final puede que sí haya karma 
... y mejor fútbol, pero de eso yo no entiendo. 
No me gusta. I am sorry ",
2021-07-12 06:07:58,Desde el día uno. Italia  https://t.co/HigRS7UwjB,
2021-07-12 06:07:56,"Al final tenia yo razon con que Italia ganaba la Eurocopa pero creo que ha sido la Eurocopa más peñazo del mundo, no habia final en los partidos macho.",
2021-07-12 06:07:56,RT @RPPNoticias: Desde la Asociación Inglesa de Fútbol dijeron estar “asqueados” por las agresiones racistas contra los tres jugadores que…,
2021-07-12 06:07:54,"RT @MARTINSDJRADIO: ¿POR QUÉ LA NEGATIVIDAD DE UNA CUBA LIBRE!

¡NADA ES PARA SIEMPRE!

ESTADOS UNIDOS 
ITALIA
LA HABANA
#SOSVENEZUELA 
#SO…",
2021-07-12 06:07:53,RT @_biyin_: Yo hoy sólo pido que gane Italia.,
2021-07-12 06:07:53,"RT @cprocuna: En el año que se cortaron grandes rachas sin título:

Inter (11 años) 
Italia (15 años) 
Sporting (19 años)
Cruz Azul (23 año…",
2021-07-12 06:07:53,"RT @porquetendencia: ""Diego Armando Maradona"":
Por quienes lo recuerdan tras las consagraciones de Argentina e Italia https://t.co/yLwVaAxi…",
2021-07-12 06:07:52,"RT @3gerardpique: Italia gana la @EURO2020 con merecimiento. Felicidades @Vivo_Azzurro! La mejor selección de toda la competición. Eso sí,…",
2021-07-12 06:07:52,"RT @Meendii__: 2004 GRECIA
2008 ESPAÑA
2012 ESPAÑA
2016 PORTUGAL
2021 ITALIA https://t.co/AaH37a3tHb",
2021-07-12 06:07:52,RT @Augustocesar22: Deben organizar YA la COPA EUROAMERICANA y llamarla DIEGO ARMANDO MARADONA: Ida y vuelta. En La Bombonera y en el Diego…,
2021-07-12 06:07:50,RT @rosariovillalb: Argentina le ganó a Brasil en Brasil e Italia le ganó a Inglaterra en Inglaterra todo en menos de 24 hs me lo imagino e…,
2021-07-12 06:07:49,"RT @SalJuampi: loco, salio campeón Argentina e Italia el Diego sigue vivo, yo mañana lo salgo a buscar https://t.co/eIeBZDwv9V",
2021-07-12 06:07:49,"RT @nacho8gonz: Ha ganado la selección que mejor ha gestionado su talento contra una que ha puesto correa a su mejor generación.

Mis diece…",
2021-07-12 06:07:44,"RT @Leonlec: 2021, el año Azul (marino o celeste):

Inter de Milán (Serie A)
Manchester City (Premier)
Chelsea (Champions)
Cruz Azul (Liga…",
2021-07-12 06:07:43,"RT @DaniMayakovski: En Venecia (Italia), hoy los antifascistas salieron a protestar contra el G20 con grandes placas de madera para detener…",
2021-07-12 06:07:39,Vamos a por ellos Italia que se jodan,
2021-07-12 06:07:39,"RT @InvictosSomos: Y después de 53 años, 1 mes y 1 día, La Azzurra volvió a sentarse en el trono de Europa. Italia conquistó la Eurocopa de…",
2021-07-12 06:07:38,"RT @Juezcentral: Arriba: Insigne, Immobile y Verrati celebrando el ascenso a Serie A, con Pescara, en 2012.
Abajo: Insigne, Immobile y Verr…",
2021-07-12 06:07:38,RT @InvictosSomos: Argentina fue campeón tras 28 años de espera. Italia fue campeón de la Euro tras 53 años. Y clubes como Atlético (7 años…,
2021-07-12 06:07:37,"RT @BolavipAr:  Argentina campeón en el Maracaná.
 Italia campeón en Wembley.

FUÁ. https://t.co/qIMnumL9xD",
2021-07-12 06:07:37,"RT @ornella12_: Argentina e italia campeones y encima contra los brazucas e ingleses. toda tuya, pelu https://t.co/P6AwtamBD6",
2021-07-12 06:07:36,"RT @GzegarraM: CUBA CUBA CUBA    
Es lo más importante hoy (más q Italia Inglaterra Argentina o Brasil ⚽️) 
Les deseamos la libertad…",
2021-07-12 06:07:34,"RT @Carvacrack_: 2004 Grecia
2008 España
2012 España
2016 Portugal
2020 Italia

NO SABÉIS CUANTO PESA LA EUROCOPA BUFONES JAJAJAJAJAJA http…",
2021-07-12 06:07:34,"@MonByron @MarielBruno Espera , espera, lo decís vosotros que ayer decían : “ Italia está intentando jugar al juego de España para ganarle a Inglaterra”, bueno, bueno, que los periodistas en vez de relatar el partido , solo relatan cuando la toca España…",
2021-07-12 06:07:34,RT @fkrakowiak: Argentina le ganó a Brasil en el Maracaná e Italia le ganó a Inglaterra en Wembley. https://t.co/2N7boughmA,
2021-07-12 06:07:32,"@Gatq Porque Italia es Euro, Inglaterra no. :)",
2021-07-12 06:07:32,RT @sungoesd4wn: felicidades a Italia por ganar la eurovision gay y la hetero,
2021-07-12 06:07:30,RT @InvictosSomos: ¿Primer gran torneo con la Selección de Italia? Primer título internacional. Inició el certamen como suplente y lo termi…,
2021-07-12 06:07:30,RT @sungoesd4wn: felicidades a Italia por ganar la eurovision gay y la hetero,
2021-07-12 06:07:29,Mira ⚽️ REACCIONANDO A LA FINAL ITALIA - INGLATERRA | EUROCOPA - TR3SJOTAS   https://t.co/zmlcgreZFx,
2021-07-12 06:07:29,"RT @Carvacrack_: 2004 Grecia
2008 España
2012 España
2016 Portugal
2020 Italia

NO SABÉIS CUANTO PESA LA EUROCOPA BUFONES JAJAJAJAJAJA http…",
2021-07-12 06:07:28,RT @CaraotaDigital: #Deportes | ¡FORZA AZURRA! Italia se proclama campeón de la Eurocopa al vencer a Inglaterra por penales    https://t.…,
2021-07-12 06:07:28,RT @sungoesd4wn: felicidades a Italia por ganar la eurovision gay y la hetero,
2021-07-12 06:07:27,RT @Augustocesar22: Deben organizar YA la COPA EUROAMERICANA y llamarla DIEGO ARMANDO MARADONA: Ida y vuelta. En La Bombonera y en el Diego…,
2021-07-12 06:07:26,"RT @SoyPaganiok: Van cayendo los bastiones. Ayer, sucumbió, otra vez el Maracaná, contra Argentina. Y hoy le tocó a Wembley, con público, r…",
2021-07-12 06:07:26,"@joanamarcusx Joanaaaaa, como que Italia? Inglaterra lo merecia",
