created_at,text,sad
2021-07-12 05:43:07,"RT @GAGAXBTS: “Una tendencia de una era, un estilo de una generación”. 

—Jeon Jungkook. 

@BTS_twt https://t.co/dgyN2MeKRV",
2021-07-12 05:42:54,"RT @hobipiola: no importa quién seas, estás enamorado de jeon jungkook @BTS_twt https://t.co/13eALcBlc2",
2021-07-12 05:42:49,"RT @Chelse53779099: Dios creó al hombre y mando a Kim TAEHYUNG y Jeon JUNGKOOK como disculpa, sin duda alguna siempre serán sinónimo de art…",
2021-07-12 05:42:13,"RT @hobipiola: no importa quién seas, estás enamorado de jeon jungkook @BTS_twt https://t.co/13eALcBlc2",
2021-07-12 05:42:03,"RT @hobipiola: no importa quién seas, estás enamorado de jeon jungkook @BTS_twt https://t.co/13eALcBlc2",
2021-07-12 05:41:08,"RT @vnntely: — no reacciono ante esto, estoy en el cielo, no hay duda de que jeon jungkook es el top model de esta generación https://t.co/…",
2021-07-12 05:41:05,"tengo sentimientos románticos reales, honestos, genuinos y profundos por jeon jungkook",
2021-07-12 05:40:56,"RT @vnntely: — no reacciono ante esto, estoy en el cielo, no hay duda de que jeon jungkook es el top model de esta generación https://t.co/…",
2021-07-12 05:40:33,"RT @vnntely: — no reacciono ante esto, estoy en el cielo, no hay duda de que jeon jungkook es el top model de esta generación https://t.co/…",
2021-07-12 05:40:07,"RT @btsonlypop: Las mujeres no queremos vestir faldas ni vestidos, queremos vestirnos como jeon jungkook un hilo. @BTS_twt https://t.co/jto…",
2021-07-12 05:39:56,"RT @vnntely: — no reacciono ante esto, estoy en el cielo, no hay duda de que jeon jungkook es el top model de esta generación https://t.co/…",
2021-07-12 05:39:00,"RT @Chelse53779099: Dios creó al hombre y mando a Kim TAEHYUNG y Jeon JUNGKOOK como disculpa, sin duda alguna siempre serán sinónimo de art…",
2021-07-12 05:36:42,"RT @Yhisel0: mamá, no quiero vestirme como las niñas de mi edad, quiero vestirme como Jeon Jungkook — a thread ☺︎︎",
2021-07-12 05:35:59,"Jeon jungkook~
Tu voz es hermosa y eso quiero que lo sepas. Aprendi de ti que aveces debemos sacrificar cosas para poder conseguir nuestras metas. Gracias por no rendirte. Gracias por existir y ser la persona que eres ahora. Eres muy talentoso eso no lo olvides &lt;3 https://t.co/GeHcrNFsIK",
2021-07-12 05:35:25,"RT @hobipiola: no importa quién seas, estás enamorado de jeon jungkook @BTS_twt https://t.co/13eALcBlc2",
2021-07-12 05:35:17,"Quedé pa la embarrá, jeon jungkook https://t.co/ZZY12EO9JP",
2021-07-12 05:34:38,"RT @stere1408: Con el ""desfile"" del Luisvi me pasa como con los anuncios de FILA...Podría montarme una película rápidamente.

MADRE MÍA EL…",
2021-07-12 05:34:22,"RT @hobipiola: no importa quién seas, estás enamorado de jeon jungkook @BTS_twt https://t.co/13eALcBlc2",
2021-07-12 05:34:06,Desde el momento que vi a Jeon jungkook supe que estaba bajo sus pies  https://t.co/WEppjaMSN5,
2021-07-12 05:34:04,"RT @vnntely: — no reacciono ante esto, estoy en el cielo, no hay duda de que jeon jungkook es el top model de esta generación https://t.co/…",
2021-07-12 05:34:03,"RT @beommieloves: Estado:
⚪ En pareja

⚪ Soltera

 ENAMORADÍSIMA DE JEON JUNGKOOK
#KCA #BTS #ARMY #Butter @BTS_twt
https://t.co/oAOt9gsBFe",
2021-07-12 05:34:00,"Esa comisura que se levanta levemente acaba de mover el suelo en mis pies...JEON JUNGKOOK!!! 

-♥️ https://t.co/3duCyfsAx8",
2021-07-12 05:33:55,"JEON JUNGKOOK, TE EXTRAÑO https://t.co/w2hLZTwaUz",
2021-07-12 05:33:53,"-Jeon Jieun.
-Vampiro.
-98 años (18 edad humana).
-Hermana menor de Jungkook. https://t.co/dT8vNkIZ0F",
2021-07-12 05:33:52,"RT @GAGAXBTS: “Una tendencia de una era, un estilo de una generación”. 

—Jeon Jungkook. 

@BTS_twt https://t.co/dgyN2MeKRV",
2021-07-12 05:33:51,"RT @hobipiola: no importa quién seas, estás enamorado de jeon jungkook @BTS_twt https://t.co/13eALcBlc2",
2021-07-12 05:33:23,"RT @GAGAXBTS: “Una tendencia de una era, un estilo de una generación”. 

—Jeon Jungkook. 

@BTS_twt https://t.co/dgyN2MeKRV",
2021-07-12 05:33:15,"RT @Chelse53779099: Dios creó al hombre y mando a Kim TAEHYUNG y Jeon JUNGKOOK como disculpa, sin duda alguna siempre serán sinónimo de art…",
2021-07-12 05:33:05,"RT @hobipiola: no importa quién seas, estás enamorado de jeon jungkook @BTS_twt https://t.co/13eALcBlc2",
2021-07-12 05:33:03,"RT @vnntely: — no reacciono ante esto, estoy en el cielo, no hay duda de que jeon jungkook es el top model de esta generación https://t.co/…",
2021-07-12 05:33:01,RT @ownworldbts: todo dia esse jeon jungkook me atormenta https://t.co/0FX9PcdGlU,
2021-07-12 05:32:45,"RT @Chelse53779099: Dios creó al hombre y mando a Kim TAEHYUNG y Jeon JUNGKOOK como disculpa, sin duda alguna siempre serán sinónimo de art…",
2021-07-12 05:32:44,"RT @Yhisel0: mamá, no quiero vestirme como las niñas de mi edad, quiero vestirme como Jeon Jungkook — a thread ☺︎︎",
2021-07-12 05:32:37,"RT @GAGAXBTS: “Una tendencia de una era, un estilo de una generación”. 

—Jeon Jungkook. 

@BTS_twt https://t.co/dgyN2MeKRV",
2021-07-12 05:32:35,"RT @Yhisel0: mamá, no quiero vestirme como las niñas de mi edad, quiero vestirme como Jeon Jungkook — a thread ☺︎︎",
2021-07-12 05:32:31,"RT @beommieloves: Estado:
⚪ En pareja

⚪ Soltera

 ENAMORADÍSIMA DE JEON JUNGKOOK
#KCA #BTS #ARMY #Butter @BTS_twt
https://t.co/oAOt9gsBFe",
