created_at,text,sad
2021-07-12 05:11:01,"@thecryforIisa @BLACKPINK Uno

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:11:00,"@pretty_savage95 Iré por un trabajo y un psicólogo 
LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:11:00,"@celiblink :3 ,me caes de maravilla
LISA SOLO SOON
#Rose #KCAMexico 
@BLACKPINK",
2021-07-12 05:11:00,"@ibestjennista @Ruth70134059 @BLACKPINK LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK tres",
2021-07-12 05:10:59,"RT @lucas_svq: Buenas noches pero solo a Lisa

LISA SOLO SOON 
#Rose #KCAMexico @BLACKPINK

 https://t.co/mz5DGnu7Al",
2021-07-12 05:10:59,"RT @BPINKLATINO: YG le confirmó a STAR NEWS, que LISA se está preparando para grabar un video musical para su canción en solitario.

 http…",
2021-07-12 05:10:57,"YO DIGO QUE SI NOS PONEMOS LAS PILAS HACEMOS 100M EN 24HS QUE DICEN?

LISA SOLO SOON #LISA @BLACKPINK",
2021-07-12 05:10:56,"RT @LisaPeruBP: [INFO] ""Lisa solo debut soon"" es tendencia #1 en Weibo Hot Search! 

LISA SOLO SOON

 #LISA #LALISA #BLACKPINK #리사 @BLACKP…",
2021-07-12 05:10:56,"RT @BPINKLATINO: YG le confirmó a STAR NEWS, que LISA se está preparando para grabar un video musical para su canción en solitario.

 http…",
2021-07-12 05:10:53,"@ibestjennista @BLACKPINK Cuatro 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:53,"RT @CLitos_YU: Regreso 5 segundo y me vuelvo a ir
Comenta 20 veces por mi mujer 
Y empieza a recolectar todos los corazones q pueda q tiene…",
2021-07-12 05:10:53,"RT @blinkboycl: todo es felicidad hasta que te das cuenta que probablemente en premiaciones de fin de año tendremos a rosé, lisa y blackpin…",
2021-07-12 05:10:52,"TIENE MECHITAS Y SE VE LONG HAIR LISA Y SHORT HAIR OSEAAAAAAAAA ETSOY COLAPSANDO

LISA SOLO SOON 
#리사 #LISA #블랙핑크 @BLACKPINK 
https://t.co/vjrvCYLjt2",
2021-07-12 05:10:51,"@ibestjennista @Ruth70134059 @BLACKPINK LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK dos",
2021-07-12 05:10:51,"RT @Mnb_lisa2: Sigan con el stream a está joyita ya falta poco para que llegué a los 200M 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK http…",
2021-07-12 05:10:51,"Buenas noches pero solo a Lisa

LISA SOLO SOON 
#Rose #KCAMexico @BLACKPINK

 https://t.co/mz5DGnu7Al",
2021-07-12 05:10:50,"[VIDEO] LISA para la portada de la revista W Korea edición Agosto 2021. 🤩

LISA SOLO SOON
블랙핑크 리사 #LISA #리사 #BLACKPINK #블랙핑크 #LALISA @BLACKPINK

https://t.co/LEOeYQ3pNc",
2021-07-12 05:10:50,"RT @angelisapinks: IDGAF EL SOLO DE LISA SALDRÁ EN AGOSTO Y SERÁ POR MI CUMPLE

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:50,"@LeoIsSlim @lizmydarling @namtan_0327 @Bambii_327 @topsyelelefante finally Lisa Era 
LISA SOLO SOON",
2021-07-12 05:10:49,"@ibestjennista @BLACKPINK Tres 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:49,"@Peachyssssssss @BLACKPINK Que pacto con el diablo hiciste para llegar a 1600? 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:48,RT @lalisabpinkc: Lisa como rookie en BP logro llamar tanto la atención que terminaron borrando su fancam solo porque tenía más views que e…,
2021-07-12 05:10:47,"RT @LISABPMEXICO: “#LISA ha comenzado a grabar esta semana, un vídeo musical para su canción en solitario, anunciando una sensación global…",
2021-07-12 05:10:46,"RT @S__selwyn: Vayan a hacer stream a OTG.
EL SOLO QUE VA HACER TEMBLAR A LA INDUSTRIA ESTA LLEGANDO
LISA SOLO SOON 
#LISA 
#KCAMexico #Ros…",
2021-07-12 05:10:46,"RT @venvenene: Aún no puedo creer que ya estemos tan cerca de su solo parece un sueño 

LISA SOLO SOON 
#Rose #KCAMexico @BLACKPINK https:…",
2021-07-12 05:10:46,"Lisa es arte 

LISA SOLO SOON
 @BLACKPINK
https://t.co/GX1XX4TjDp",
2021-07-12 05:10:46,"RT @thecryforIisa: HELP LALISA TE VES MAGNÍFICA ES QUE SIII, ELLA ES PERFECTA 

LISA SOLO SOON #LISA @BLACKPINK

 https://t.co/uSa7SeAqGd",
2021-07-12 05:10:46,"NOOOO, PIDO PERDON A MI AMOORR DIOOS NO ESTOY BIEN
LISA SOLO SOON 
#LISA #리사",
2021-07-12 05:10:45,"@ibestjennista @BLACKPINK Dos 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:45,"RT @tiandousha: NO.1 WEIBO HS  
LISA SOLO SOON  https://t.co/NYdAopB2fj",
2021-07-12 05:10:43,"RT @beacolm_: ES IMPRESIONANTE COMO ELLA LOGRA SER TENDENCIA MUNDIAL CON SOLO RESPIRAR LISA SUPREMACY

LISA SOLO SOON https://t.co/PJ3ANW9u…",
2021-07-12 05:10:42,"@ibestjennista @BLACKPINK Uno 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:41,"RT @lililin_23: En mi país tercermundista es tendencia 11, LISA SOLO SOON, está literalmente  https://t.co/af9K6OoKzr",
2021-07-12 05:10:41,"RT @LISABPMEXICO: #LISA es tendencia #1 en Búsquedas de Weibo 

LISA SOLO SOON
@BLACKPINK https://t.co/tXfsCgLYKQ",
2021-07-12 05:10:39,todo el mundo colapsando por LISA SOLO SOON todos esperando a la reina exacto @BLACKPINK,
2021-07-12 05:10:39,"RT @ItsUnnieLalisaM: ""En camino al set de filmación""

(EQUIPO DE YG)

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK https://t.co/97DgCmbsZE",
2021-07-12 05:10:39,"RT @venvenene: Dios tenemos que prepararnos bien para el solo de Lili, hay que demostrarle a su empresa de mierda el poder que tiene.

LISA…",
2021-07-12 05:10:39,"@cryforthepinks dos mil setecientos setenta
LISA SOLO SOON 
#Rose #KCAMEXICO @BLACKPINK https://t.co/peAMUKXj0p",
2021-07-12 05:10:39,"RT @blinkparaguay_: Preparense para el tan esperado debut en solitario de una de las mejores raperas y bailarinas de toda la industria

L…",
2021-07-12 05:10:36,"dormir? hoy no, hoy me quedo todo la noche esperando lilifilm porque mi instinto me dice que va a haber lilifilm 

LISA SOLO SOON
@BLACKPINK #LISA",
2021-07-12 05:10:36,"RT @BPINKLATINO: “Como es el primer álbum en solitario de Lisa, que ha capturado los corazones de los fanáticos de todo el mundo, así como…",
2021-07-12 05:10:36,"RT @LisaPeruBP: [IG] Un staff de YG publicó: ""Camino al set de filmación...""

Este staff siempre esta con Lisa cuando ella tiene alguna age…",
2021-07-12 05:10:34,"RT @celiblink: Me copioooo
Voten y RT 

Pon esto en tu cuenta y a ver cuanta gente quiere

:P - Bloquearte

:) - Ser tu amigo

:&gt; - Oir tu…",
2021-07-12 05:10:34,"RT @venvenene: Dios tenemos que prepararnos bien para el solo de Lili, hay que demostrarle a su empresa de mierda el poder que tiene.

LISA…",
2021-07-12 05:10:33,"RT @BLINKSLATINOS: ""Un funcionario de YG Entertainment le dijo a Star News el día 12 que"" Lisa se está preparando para grabar un video musi…",
2021-07-12 05:10:32,"RT @StarsOnStageK: De pura emoción vayan a hacerle stream a OTG que falta poco para los 200M, que no digan que BLINK olvidó fácil la era de…",
2021-07-12 05:10:31,"Señales

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK https://t.co/kJA0VSE9l2",
2021-07-12 05:10:31,"Que lindo ver a Lisa en mis tendencias

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK https://t.co/CpMPlwrtRc",
2021-07-12 05:10:31,"@ibestjennista @Ruth70134059 @BLACKPINK nose que es esto pero ok 
LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:30,"RT @keppretty: Las fotos del solo de Lisa me dejaran en el suelo no tengo dudas.

LISA SOLO SOON
#ROSE #KCAMexico 
@BLACKPINK",
2021-07-12 05:10:29,"RT @fleurIys: AMO, EL CONCEPTO SE VE INCREÍBLE

LISA SOLO SOON
https://t.co/acQ4LA0FKf",
2021-07-12 05:10:29,"RT @BPINKLATINO: YG le confirmó a STAR NEWS, que LISA se está preparando para grabar un video musical para su canción en solitario.

 http…",
2021-07-12 05:10:29,"RT @lal_blink: ESTAS EMOCIONADO DE LISA SOLO?

LISA SOLO SOON
@BLACKPINK 

yes                yes              yes
                 …",
2021-07-12 05:10:27,"RT @LALISATEAM: [INFO] 110721

El artículo de OSEN sobre la filmación del video musical de #LISA es el #19 artículo más visto en Naver en e…",
2021-07-12 05:10:26,"no puedo más LISAAAA 

LISA SOLO SOON 
#리사 #LISA #블랙핑크 @BLACKPINK https://t.co/NSQoDDCOUF",
2021-07-12 05:10:26,"RT @BPINKLATINO: YG le confirmó a STAR NEWS, que LISA se está preparando para grabar un video musical para su canción en solitario.

 http…",
2021-07-12 05:10:26,"RT @lsforeverr: ESTAS EMOCIONADO DE LISA SOLO?

LISA SOLO SOON
@BLACKPINK 

yes                yes              yes
                 …",
2021-07-12 05:10:25,"RT @Ruth70134059: IR COLECCIONANDOLOS , NO LO DEJEIS PARA EL ULTIMO MOMENTO
 
LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK https://t.co/vEeti…",
2021-07-12 05:10:25,"RT @jnkyuly: FLACAAA YA ENTENDÍ QUE TU ERA EMPIEZA OK?? ME VAS A MATAR 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK 

 https://t.co/V0WLqR…",
2021-07-12 05:10:23,"RT @kimgoldenjenn: Ya está llegando, quiero verte feliz siempre y triunfando. Voy a dejar mi alma, como lo hice en su momento por JN y RS p…",
2021-07-12 05:10:23,"IMPACTO DE LISA 
LISA SOLO SOON #LISA @BLACKPINK https://t.co/NhpEMYFjX5",
2021-07-12 05:10:22,"La frase ""LISA SOLO SOON"" subió al 6 puesto en tendencias en México. https://t.co/mjjTNyYvFZ",
2021-07-12 05:10:21,RT @Mnb_lisa2: Muy lindos y emocionados todos por LS1 pero les recuerdo que desde ya deben descargar todas las apps de votaciones e ir reco…,
2021-07-12 05:10:21,"RT @thecryforIisa: SIGAMOS HACIENDO TENDENCIA MUNDIAL COMENTEN  ‼️

LISA SOLO SOON #LISA @BLACKPINK",
2021-07-12 05:10:21,RT @lal_blink: LISA SIENDO TENDENCIA EN WEIBO CON MAS DE 176 MILLONES DE VISITAS Y 728k DE DISCUSIÓNES DIOS LISA VINO A APODERARSE DE LAS P…,
2021-07-12 05:10:19,"RT @cocacola_loverr: Ya, pero cómo que LISA SOLO SOON ??? , estoy On the ground con esta noticia, AAAY https://t.co/eNgDSISEfb",
2021-07-12 05:10:19,"RT @LDN0327: No. 8  #Lisa将solo出道#  weibo  

https://t.co/qQjDOYMsad

LISA SOLO SOON
@BLACKPINK https://t.co/RtLwM69gEK",
2021-07-12 05:10:18,"RT @BPINKLATINO: Entonces el rumor de que Agosto podría ser el mes para su debut, puede ser cierto!? Ah, no sé qué venga,pero lo único que…",
2021-07-12 05:10:16,"@svgepinks @Lili85797405 Concuerdo 
LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:16,"RT @thecryforIisa: HELP LALISA TE VES MAGNÍFICA ES QUE SIII, ELLA ES PERFECTA 

LISA SOLO SOON #LISA @BLACKPINK

 https://t.co/uSa7SeAqGd",
2021-07-12 05:10:16,"que es el turno de lisa dice Andrew Oh

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK https://t.co/UIUqqo9ckB",
2021-07-12 05:10:16,Como que Lisa solo soon? ,
2021-07-12 05:10:14,"Dios creo al hombre y como Disculpa por semejante idiotez creo a Lisa.
LISA SOLO SOON
 https://t.co/v0JPr6iaca",
2021-07-12 05:10:13,"RT @lsforeverr: ESTAS EMOCIONADO DE LISA SOLO?

LISA SOLO SOON
@BLACKPINK 

yes                yes              yes
                 …",
2021-07-12 05:10:11,"RT @ASSABP1: Se viene limpieza de fandom 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:10:11,"@BPINKLATINO @BLACKPINK Esta mujer me tiene mal 

LISA SOLO SOON
#Rose #KCAMexico 
@BLACKPINK",
2021-07-12 05:10:11,RT @lisaismonalisa: gente pero no hay que alardear de que lisa hará su debut como solista cuando lisa hará su debut como solista y no te ol…,
2021-07-12 05:10:09,CMO Q LISA SOLO SOON ?????? MI NENA,
2021-07-12 05:10:08,"@manoban397 Si, debería pero jajajaja

LISA SOLO SOON",
2021-07-12 05:10:05,"RT @Army_blink2508: Todos andamos así después de saber que LISA SOLO SOON , are you ready?  https://t.co/L9sHP1sB4N",
2021-07-12 05:10:04,"RT @axxsxn_0727: SI ESTÁN SUPER SUPER SUPER EMOCINADOS 

LISA SOLO SOON
@BLACKPINK 

yes                yes              yes
…",
2021-07-12 05:10:02,"RT @idiazzzzzz: Está es la cara de la chica que con un anuncio de su solo hizo temblar a una industria, Lili está de regreso 

LISA SOLO S…",
2021-07-12 05:10:01,"RT @venvenene: El solo de nuestra lili está a la vuelta de la esquina tenemos que prepararnos para todo!! 

LISA SOLO SOON 
#Rose #KCAMexi…",
2021-07-12 05:10:00,"RT @ismilexlisa: @celiblink @BLACKPINK :3 , tendríamos buenos chismes eh 

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK",
2021-07-12 05:09:59,"RT @Erick23650783: ""Es hora de ver brillar nuestra maknae""

LISA SOLO SOON
#Rose #KCAMexico @BLACKPINK https://t.co/W8zVJBiC4r",
2021-07-12 05:09:58,"RT @blinkboycl: todo es felicidad hasta que te das cuenta que probablemente en premiaciones de fin de año tendremos a rosé, lisa y blackpin…",
2021-07-12 05:09:57,"RT @venvenene: Aún no puedo creer que ya estemos tan cerca de su solo parece un sueño 

LISA SOLO SOON 
#Rose #KCAMexico @BLACKPINK https:…",
2021-07-12 05:09:57,"RT @venvenene: El solo de nuestra lili está a la vuelta de la esquina tenemos que prepararnos para todo!! 

LISA SOLO SOON 
#Rose #KCAMexi…",
