created_at,text,sad
2021-07-12 05:07:05,RT @plantadeorilla: Su preocupación por Cuba sería más creíble si hubiesen condenado el golpe de estado en Bolivia. Si se hubiesen indignad…,
2021-07-12 05:07:04,"RT @arturomillan_: Miles de personas se manifiestan en Cuba por la Libertad.
En Latinoamerica, Europa del Este, Asia y África, 47 paises, s…",
2021-07-12 05:07:03,"RT @Carolpg12: Si cae #Cuba cae el comunismo en latinoamerica...

Ojalá así sea...

#SOSCuba #PatriaYVida https://t.co/8gKsY2kOay",
2021-07-12 05:07:00,"RT @edorobi73: Por una Cuba en libertad !!!
Se acaba el comunismo- socialismo en Cuba y se termina en el resto de Latinoamérica",
2021-07-12 05:06:58,"RT @HipotesisPoder: Cuba ha estado 62 años bajo un mismo gobierno, un solo partido y comunismo.
Todo pueblo tiene el derecho de escoger a s…",
2021-07-12 05:06:56,"RT @juan_diaz12: Latinoamérica está en conta del socialismo, en Bolivia tengo la sospecha de que hicieron lo mismo que en Perú, fraude, sól…",
2021-07-12 05:06:56,"RT @USDtin: Si cae Cuba, caen todos. Cada vez que un político socialista está por ir preso, se va a Cuba. El régimen cubano es el principal…",
2021-07-12 05:06:54,RT @evoespueblo: Reafirmamos que se halla en marcha el #PlanCóndor2 y debemos acordar medidas para que los gobiernos de la derecha de Latin…,
2021-07-12 05:06:53,RT @linda_dimitrov: Alguien sabe si la vida de lujos del heredero de Fidel Castro es consecuencia del #BloqueoACuba? Es para una tarea.  ht…,
2021-07-12 05:06:51,"RT @LauraMex: Cuba y toda latinoamérica rechazamos el comunismo.
Todo nuestro apoyo y oraciones desde México a los hermanos cubanos …",
2021-07-12 05:06:49,"RT @LiberaloteXD: Me encantaria un vivo entre @Yotuel007 y @JMilei , la batalla contra el comunismo es moral y Milei desde Argentina y Yotu…",
2021-07-12 05:06:43,"RT @ArnulfoPeraltaS: Los ojos del mundo están sobre Cuba “La raíz de todos los males en gran parte de Latinoamérica”, imposible olvidar que…",
2021-07-12 05:06:40,RT @linda_dimitrov: Alguien sabe si la vida de lujos del heredero de Fidel Castro es consecuencia del #BloqueoACuba? Es para una tarea.  ht…,
2021-07-12 05:06:37,RT @linda_dimitrov: Alguien sabe si la vida de lujos del heredero de Fidel Castro es consecuencia del #BloqueoACuba? Es para una tarea.  ht…,
2021-07-12 05:06:34,"RT @luisrodacot: @adrifadi Un país que se baja los calzones ante Trump y se le regala nuestro petróleo, para que le compremos gasolina jaja…",
2021-07-12 05:06:33,RT @PelonGomis: ¡Qué raro que la gente en Cuba esté harta de no comer tres veces al día y además exija libertad! (Seguro los que marcharon…,
2021-07-12 05:06:30,"RT @HipotesisPoder: Cuba ha estado 62 años bajo un mismo gobierno, un solo partido y comunismo.
Todo pueblo tiene el derecho de escoger a s…",
2021-07-12 05:06:30,"RT @LeonEconomista: Cuba es uno de los países con uno de los gobiernos más ruines de Latinoamérica, la caída de su gobierno será en benefic…",
2021-07-12 05:06:21,"RT @SeorJos1: La gente no entiende q es al revés... 
En latinoamerica la protesta de los pueblos es para q se vayan los gobiernos de derech…",
2021-07-12 05:06:20,RT @VogueMexico: #ZiónMoreno: del esperado reboot de la serie #GossipGirl a protagonizar la portada digital de Vogue México y Latinoamérica…,
2021-07-12 05:06:18,RT @linda_dimitrov: Alguien sabe si la vida de lujos del heredero de Fidel Castro es consecuencia del #BloqueoACuba? Es para una tarea.  ht…,
2021-07-12 05:06:18,RT @linda_dimitrov: Alguien sabe si la vida de lujos del heredero de Fidel Castro es consecuencia del #BloqueoACuba? Es para una tarea.  ht…,
2021-07-12 05:06:17,"RT @karene29: Me preguntan que por qué me importa tanto la situación que atraviesa Cuba . Fácil, mi esposo es cubano, mi hijo lleva sangr…",
2021-07-12 05:06:16,"RT @PilarGGranja: Díaz-Canel exige a ""los revolucionarios"" enfrentarse a los manifestantes pacíficos contra el régimen cubano 
#SOSCuba 
#C…",
2021-07-12 05:06:15,"RT @arturomillan_: Miles de personas se manifiestan en Cuba por la Libertad.
En Latinoamerica, Europa del Este, Asia y África, 47 paises, s…",
2021-07-12 05:06:14,RT @valepizzas: Esto es nunca  antes visto el pueblo cubano esta  pidiendo las cabezas de los marxistas creo que si cae el comunismo en Cub…,
2021-07-12 05:06:12,"RT @karene29: Me preguntan que por qué me importa tanto la situación que atraviesa Cuba . Fácil, mi esposo es cubano, mi hijo lleva sangr…",
2021-07-12 05:06:12,RT @PelonGomis: ¡Qué raro que la gente en Cuba esté harta de no comer tres veces al día y además exija libertad! (Seguro los que marcharon…,
