created_at,text,sad
2021-07-12 05:11:48,RT @Freddy6518227: @omarmaluk El tener un presidente como el banquero/neoliberal Guillermo Lasso NO haría libre a ningún país del mundo.…,
2021-07-12 05:10:39,RT @pablomillaleo: Voto por Jadue por que se enoja se emociona se involucra e recuerda a lo que decían de Lenin que hablar con él es sentir…,
2021-07-12 05:09:24,"RT @Pipo1178: ""Periodismo""
Se defienden entre ellos se ayudan entre ellos y se justifican entre ellos 
Q dan la cara 
Después de tremendo…",
2021-07-12 05:09:12,RT @meiermq: LENIN: era un machista y reprimido sexual. Como buen parásito rojo vivió a costillas de su mamá hasta los 40 años. Se rodeaba…,
2021-07-12 05:08:53,@Shigeruxyz @revistavistazo En 45 días? Es enserió o sea lo que esta haciendo para vacunar a la población es una pérdida de tiempo? ¿Acaso hicieron lo mismo en los 45 días de gobierno de Vorrea o Lenin? 14 años SE QUEDARON CALLADOS Y VIENDO COMO SE LLEVARON EL PAIS EN PESO Y DESPILFARRANDO.,
2021-07-12 05:08:18,"RT @xavier140679: Lo dice la historia:

Sabían ustedes que personajes como: Karl Marx, Lenin, Stalin, Fidel Castro, Raúl Castro y la mayorí…",
2021-07-12 05:07:32,"Rosa Luxemburgo
Bordiga
Lenin 
Engels 
Trotsky
Nietzsche

Todos pós mod!",
2021-07-12 05:07:12,"RT @FuriaRoja1917: Verga de Triana, los cubanos si que son arrechos, expropiaron Buenos Aires al completo. Ni Lenin logró tanto. JAJJJAJAJA.",
2021-07-12 05:06:29,"@pagina12 ARGENTINA NECESITA que vengan millonarios de colonos chinos se adueñen de la tierra y que les hagan trabajar a punta de pistola.
COMO EN LA ÉPOCA DE LENIN el que no trabaja lo fusilan.",
2021-07-12 05:05:20,"RT @vania_mery: Lo más parecido a un gobierno de Jadue sería el de Tabaré Vasquez, con ingredientes de AMLO y Alberto Fernandez. El de Bori…",
2021-07-12 05:04:30,"Lo más parecido a un gobierno de Jadue sería el de Tabaré Vasquez, con ingredientes de AMLO y Alberto Fernandez. El de Boric, sería como el de Lenin Moreno.",
2021-07-12 05:04:20,"RT @xavier140679: Lo dice la historia:

Sabían ustedes que personajes como: Karl Marx, Lenin, Stalin, Fidel Castro, Raúl Castro y la mayorí…",
2021-07-12 05:03:46,"@JairoAl71898044 una chusma nos gobierna, me imagino estamos igual que Rusia de 1917: la chusma de calle tomo el poder y ni siquiera Lenin los podia contener. La aristocracia rusa les hizo la guerra civil de manera tan estupida y descooordinada que unifico a las facciones rojas.
Mucho parecido",
2021-07-12 05:03:33,@richi_vera @piensonosirvo @DiegoRuzzarin Como poner a Marx y a Lenin en el mismo saco?,
2021-07-12 05:03:32,"""Periodismo""
Se defienden entre ellos se ayudan entre ellos y se justifican entre ellos 
Q dan la cara 
Después de tremendo show de mal gusto lo mínimo era pedir disculpas y con la Ley de Comunicación serían sancionados pero no exite esa ley fue parte del pacto con @Lenin ⤵️ https://t.co/SvBIlUFahF",
2021-07-12 05:03:09,"RT @mireyapaza: 🟣Más de USD 144.000 millones y más de USD 20.000 en créditos externos no fueron suficientes para @Lenin, que justifica con…",
2021-07-12 05:03:07,RT @JohnMen72365810: @Felu_Garzon_ @guido_chiriboga @Lenin @boloher54 @DDavidVillamar @lucero_cecilia @oro_negro26 @relicheandres @MaraJtiv…,
2021-07-12 05:02:37,"Interesante como atacar a alondra por ser Cubana y por los comentarios que pusó
Pero me pregunto que en Ecuador no esta pasando lo mismo con el gobierno de Lasso y mañana tiene un paro por andar prometiendo cosas que no podía cumplir sabiendo aún como Lenin moreno dejó el pais",
2021-07-12 05:01:39,RT @Polificcion: Hace varios meses @Lenin inauguró la nueva terminal del aeropuerto de Manta. Pero fue amague no más. No está operando. Qué…,
2021-07-12 05:00:18,"RT @xavier140679: Lo dice la historia:

Sabían ustedes que personajes como: Karl Marx, Lenin, Stalin, Fidel Castro, Raúl Castro y la mayorí…",
2021-07-12 05:00:12,"@garlcyon @estebanavila El inepto @Lenin eliminó subsidios a los combustibles y no construyó un puto hospital o escuela o colegio, solo recontraequipó a la policía.
RC mantuvo subsidios y construyó MILES DE OBRAS: Hospitales Escuelas Colegios Hidroeléctricas etc etc.

El #TikTokerLasso Privatizará todo.",
2021-07-12 04:59:42,"RT @JGonzalezAlvear: No hay donde perderse @Lenin mintió al país, su informe fue un desastre. Revisen el informe de la @RegimenEconomAN ...…",
2021-07-12 04:59:30,"RT @datusmagnificus: «El Panteón de los cerebros»🧠
Así era conocido el Instituto de Investigación del Cerebro de Moscú, creado por los bolc…",
2021-07-12 04:59:02,"RT @IgnacioPou1: Me informan que la cúpula del @PITCNT1 @PCU_FA @MicaMelgar @Oandradelallana @gera_nunez1001  y tantos más, agotaron pasaje…",
2021-07-12 04:58:53,"RT @timpanoperu: ""La libertad es una gran palabra; pero bajo la bandera
de la libertad de industria se han hecho las guerras más
rapaces, y…",
2021-07-12 04:58:25,"#DebateAprueboDignidad sr.Jadue, Sebasían Piñera ha violado sistemáticamente los derechos humanos, que opina de que Lenin sea el autor intelectual del asesinato de la familia Romanov ?",
2021-07-12 04:58:10,"@ProgresOOC Se llama Lenin, ignorémosle",
2021-07-12 04:58:02,"RT @xavier140679: Lo dice la historia:

Sabían ustedes que personajes como: Karl Marx, Lenin, Stalin, Fidel Castro, Raúl Castro y la mayorí…",
2021-07-12 04:57:57,Lasso resultó ser Lenin recargado... de mentiras... https://t.co/sAQyRmNoKR,
2021-07-12 04:57:31,RT @Freddy6518227: @lubrio @efertiba ¡Es inaudito que haya cubanos que quieran un presidente igual al presidente ecuatoriano Guillermo Lass…,
2021-07-12 04:57:24,"@marcorubio Posada Carriles Dice ?? 
O Los Hermanos Isaias, Yamil Mahuad, y ahora Lenin Moreno que estan en EEUU .
Vaya descaro ..!!",
2021-07-12 04:56:40,RT @psgyq: Lenin eres tú? Entonces la @LigaProEC  es una agencia de RRPP del fútbol ecuatoriano? Mejor elimínenla y quedemos con la nefasta…,
2021-07-12 04:56:37,RT @KaaroMonreal: Fijate bien q personas se quedan cuando mas los necesitas,
2021-07-12 04:56:32,RT @Noemy04189558: Solo quiero desaparecer por siempre,
2021-07-12 04:56:30,RT @meiermq: LENIN: era un machista y reprimido sexual. Como buen parásito rojo vivió a costillas de su mamá hasta los 40 años. Se rodeaba…,
2021-07-12 04:55:49,RT @pablomillaleo: Voto por Jadue por que se enoja se emociona se involucra e recuerda a lo que decían de Lenin que hablar con él es sentir…,
2021-07-12 04:55:37,"RT @EPattoA: Notan diferencia entre la asamblea anterior y la actual? 
Notan diferencia entre Litardo y Llori?
Notan diferencia entre Otto…",
2021-07-12 04:55:19,"La postura de mi hijo firme atrás como Bonucci, como diciendo “Arrecho, salimos”, Lenin arrancando a lo Di Maria por derecha después del despeje de André, y Terry detrás atento a la segunda jugada para definirla a lo Messi. Un equipo destinado a ser campeón, Vamos Rayo⚡️Emelec. https://t.co/Q3Msn17kde",
2021-07-12 04:55:10,"RT @MayorBWPayne: Viejo chiste de la URSS (el humor ruso es una maravilla):

Lenin dijo “Comunismo es Poder Soviético más Electrificación d…",
2021-07-12 04:55:05,@TAVODEPONCE @monicaluciavaca @EditorEnBici Hoye tonto son 4 años o cuando moreno se defendió cuando le mencionaban a laso o laso se defendió cuando le mencionaban de lenin moreno nunca tonto piensa antes de escribir deja el odio y ponte a pensar,
2021-07-12 04:54:59,"@RamiroB84478628 @CreaTrabajos @Lenin NO SOLO A ESE, A TODA ESA SARTA DE SATRAPAS MAFIOSOS, CORRUPTOS, Y DELINCUENTES",
2021-07-12 04:54:31,"RT @AnaeaEx: Escuche Sagasti.
Gracias compañero Lenin miembro de nuestra asociación. @FSagasti @VBermudezV @WaldoMendozaB @giovannapriale @…",
2021-07-12 04:53:50,"RT @EPattoA: Notan diferencia entre la asamblea anterior y la actual? 
Notan diferencia entre Litardo y Llori?
Notan diferencia entre Otto…",
2021-07-12 04:53:13,RT @Adriana1989sa: Gobiernos @mauriciomacri #Argentina @Lenin #Ecuador enviaron material bélico para reprimir y asesinar al pueblo bolivian…,
2021-07-12 04:52:40,"@ertl27 @Gonzalo44564179 La obra lleva el nombre de la canción de LOS VIZCONTI: Veneno.
Cuál reptil ponzoñoso, tu cuerpo se desliza..........
Parecería que la letra de ésta canción fué escrita con anticipación, para Lenin Moreno y Guillermo Lasso.
Leo sus opiniones.
Saludos.",
2021-07-12 04:50:30,"RT @xavier140679: Lo dice la historia:

Sabían ustedes que personajes como: Karl Marx, Lenin, Stalin, Fidel Castro, Raúl Castro y la mayorí…",
2021-07-12 04:49:28,"@gabrielboric Si algún día decides defender la libertad en todo aspecto cuenta con mi voto, hoy pienso totalmente opuesto a ti. Hoy demostraste estampa demócrata vs tu contenedor se le  asomaba el bigote tipo Hitler o Lenin, su partido transforma a las personas en verdaderos lobotomizados.",
2021-07-12 04:49:14,RT @pablomillaleo: Voto por Jadue por que se enoja se emociona se involucra e recuerda a lo que decían de Lenin que hablar con él es sentir…,
2021-07-12 04:47:57,"RT @Marco_Teruggi: Ahora: se devela que el gobierno de Mauricio Macri envió ""material bélico"" a #Bolivia luego del golpe de Estado. Así, al…",
2021-07-12 04:47:52,"RT @mireyapaza: 🟣Más de USD 144.000 millones y más de USD 20.000 en créditos externos no fueron suficientes para @Lenin, que justifica con…",
2021-07-12 04:47:34,@Conmigoahora @DTortica @bby_conswing Se escuchó al lenin,
2021-07-12 04:47:27,"RT @krugger65: #Como puede haber sido parte del #TribunalConstitucional  #Carlos Mesía ?? Habla puras estupideces, "" El poder Constituyente…",
2021-07-12 04:47:13,"Si pareció violento lo de Jadue, mejor ni se acerquen a leer los artículos que publicaba Lenin en Pravda jajaja. Son de cartón en Twitter jaja",
2021-07-12 04:47:11,"RT @MayorBWPayne: Viejo chiste de la URSS (el humor ruso es una maravilla):

Lenin dijo “Comunismo es Poder Soviético más Electrificación d…",
