created_at,text,sad
2021-07-12 05:33:01,RT @DemocraticoDel: Compatriotas. Necesitamos que sigan masivamente nuestro twitter. por esta vía vamos a informar donde van a encontrar a…,
2021-07-12 05:32:50,"RT @limantigua: Para los que caminamos y observamos la ciudad de Lima, escenas como esta (en lo personal) me llenan de interrogantes y de c…",
2021-07-12 05:32:47,Jajaajajaja triste pero cierto https://t.co/WUI9DAqH2V,
2021-07-12 05:32:39,RT @DemocraticoDel: Compatriotas. Necesitamos que sigan masivamente nuestro twitter. por esta vía vamos a informar donde van a encontrar a…,
2021-07-12 05:32:29,"RT @danbenavidesr: Los cubanos tienen derecho a protestar contra su régimen burócrata en esta crisis sanitaria, agravada por el bloqueo gri…",
2021-07-12 05:32:23,RT @DemocraticoDel: Compatriotas. Necesitamos que sigan masivamente nuestro twitter. por esta vía vamos a informar donde van a encontrar a…,
2021-07-12 05:32:07,"RT @JERCBM: Sebastian Salazar: ""Lima es un país""  #CuartoPoder",
2021-07-12 05:31:56,"RT @BTS_Peru1: TOP 10 de ciudades/distritos de Perú que más vistas le dieron a @BTS_twt en YouTube en los últimos 7 días

🥇 Lima 4.67
🥈 Tru…",
2021-07-12 05:31:55,"@noticiAmerica @Cuarto_Poder Yo tengo 50 y hasta ahora no me puedo vacunar, por que estoy en provincia Paijan...No escucho una noticia de provincia solo Lima....Lima no es el Perú",
2021-07-12 05:31:54,RT @SayuriAndradeT: ¿Diría lo mismo sobre la gente que viene de los colegios más caros de Lima y cree ciegamente en el fraude y pide golpe…,
2021-07-12 05:31:52,"RT @latendenciape: #ESTENDENCIA
#CuartoPoder

Por este lapsus del hijo de Federico Salazar, donde dice que ""Lima es un país"" https://t.co/m…",
2021-07-12 05:31:14,"RT @danbenavidesr: Los cubanos tienen derecho a protestar contra su régimen burócrata en esta crisis sanitaria, agravada por el bloqueo gri…",
2021-07-12 05:31:11,"RT @SocialismoNMas: Por Una Cuba Libre, aquí en Lima  https://t.co/EqhyoM3aj3",
2021-07-12 05:31:10,RT @DemocraticoDel: Compatriotas. Necesitamos que sigan masivamente nuestro twitter. por esta vía vamos a informar donde van a encontrar a…,
2021-07-12 05:31:10,@exitosape Un hombre Infiel Mentiroso quien le cree. Fraude??? En la kabeza de la Kk y de MontesinosFujimori Apra Vitocho y un grupillo de Lima nada mas hay fraude. Castillo gano Limpiamente x la voluntad del Perú. MENTIROSOS. Fuera!! 🤬,
2021-07-12 05:31:06,RT @manuelgcv: Reclamas por la Dictadura Cubana ok pero aquí en Lima te abrazas con la hija del Dictador Nipón que promueve una Dictadura s…,
2021-07-12 05:31:04,"RT @SocialismoNMas: Por Una Cuba Libre, aquí en Lima  https://t.co/EqhyoM3aj3",
2021-07-12 05:30:35,RT @ocoronelc: Con esta imagen se puede confirmar q la manifestación que organizó Keiko ayer fue la más pequeña desde que comenzó sus movil…,
2021-07-12 05:30:26,@souatletaa adriana lima,
2021-07-12 05:30:25,"RT @ugluis: Solo Willax está trasmitiendo en vivo la espectacular y masiva magacaravana en múltiples distritos de Lima ""Por la Democracia y…",
2021-07-12 05:30:20,"RT @PerroDeRuggeri: Ahora que ya sabemos que se siente ganar un título con la selección, que prefiere el hincha argentino?

RT: Mundial con…",
2021-07-12 05:30:11,"RT @danbenavidesr: Los cubanos tienen derecho a protestar contra su régimen burócrata en esta crisis sanitaria, agravada por el bloqueo gri…",
2021-07-12 05:30:10,"#Lima jul 11 22:00 Temperatura 17C cubierto, bruma Viento S 9 km/h  Humedad 81% #tiempo #Perú .. https://t.co/n1oKyanK2Y",
2021-07-12 05:29:43,"RT @danbenavidesr: Los cubanos tienen derecho a protestar contra su régimen burócrata en esta crisis sanitaria, agravada por el bloqueo gri…",
2021-07-12 05:29:34,"RT @Rosario_Sasieta: Hoy hay más de 100 camas UCI libres en Lima
Gracias Dios Supremo !
Déjalas así! 
Que nadie las necesite! 
…",
2021-07-12 05:29:11,"@MARIO_H_LIMA @jhoncris054 @Faitelson_ESPN Mejor hablemos de economía crack, a ver que tan burlones son ahí, pinche chango pendejo, de lo único que pueden festejar por un partido de fútbol, prefiero estar con ese 7-0 que a estar pobre ",
2021-07-12 05:29:02,RT @SayuriAndradeT: ¿Diría lo mismo sobre la gente que viene de los colegios más caros de Lima y cree ciegamente en el fraude y pide golpe…,
