created_at,text,sad
2021-07-12 05:27:42,"RT @Bravo19703: LUIS ALMAGRO: ""CONDENAMOS AL RÉGIMEN DICTATORIAL CUBANO POR LLAMAR A CIVILES A REPRIMIR""
El secretario general de la OEA re…",
2021-07-12 05:27:40,RT @ReutersLatam: Protestas contra el Gobierno de #Cuba en La Habana y la reacción del presidente y jefe del Partido Comunista Miguel Díaz-…,
2021-07-12 05:27:38,"Noticia Caliente: @ReutersLatam: 'Protestas contra el Gobierno de #Cuba en La Habana y la reacción del presidente y jefe del Partido Comunista Miguel Díaz-Canel ' https://t.co/0eMGBy9Nad, see more https://t.co/vRyQjE5Z9H",
2021-07-12 05:27:36,"RT @AmericaDigital:  #CUBA: fuerzas especiales de la seguridad del estado recorren las calles de la Habana en búsqueda de manifestante, M…",
2021-07-12 05:27:35,RT @eldipypapaok: Cuanto faltará para que @alferdez salga con un comunicado de prensa defendiendo y apoyando a Miguel díaz canel de Cuba?…,
2021-07-12 05:27:32,"RT @SergioSarmiento: Miguel Díaz-Canel, presidente de Cuba, dice que las protestas en Cuba son por una campaña de desprestigio",
2021-07-12 05:27:29,"RT @SergioSarmiento: Miguel Díaz-Canel, presidente de Cuba, dice que las protestas en Cuba son por una campaña de desprestigio",
2021-07-12 05:27:27,RT @peru21noticias: EE.UU. “muy preocupado” por el llamado del presidente de Cuba a “combatir” protestas https://t.co/ueU6GSyvGT,
2021-07-12 05:27:19,"RT @periodistassin2: Cuba  | #AHORA #ULTIMAHORA | En cadena nacional, el presidente de Cuba, Miguel Diaz-Canel, llama a los ""revolucionar…",
2021-07-12 05:27:17,"RT @yoanisanchez: #Cuba Qué irresponsabilidad...  esto es el llamado a una guerra civil: ""La orden de combate está dada, a la calle los rev…",
2021-07-12 05:27:14,RT @joaquinsglez: Pueblo capitalino responde al llamado del 1er Secretario del @PartidoPCC Miguel Díaz-Canel y sale para las calles a defen…,
2021-07-12 05:27:13,RT @ReutersLatam: Protestas contra el Gobierno de #Cuba en La Habana y la reacción del presidente y jefe del Partido Comunista Miguel Díaz-…,
2021-07-12 05:27:04,"RT @Alvisepf: URGENTE:

El actual Dictador de Cuba, Miguel Díaz-Canel, ordena movilizar a todo el ejército cubano:

1. Saca fuerzas parami…",
2021-07-12 05:27:03,"RT @Camarada_com: ""La orden de combate está dada, a la calle los revolucionarios""
Miguel Díaz Canel-Presidente de Cuba, contra las nuevas p…",
2021-07-12 05:27:03,"RT @IvanGarciaMayer: Por qué estalló la ira en #Cuba y qué significa el llamado al combate del presidente a los revolucionarios 
#CubaLibre…",
2021-07-12 05:27:02,RT @ReutersLatam: Protestas contra el Gobierno de #Cuba en La Habana y la reacción del presidente y jefe del Partido Comunista Miguel Díaz-…,
2021-07-12 05:26:52,"RT @Alvisepf:  URGENTE:

Tropas especiales cubanas se movilizan a toda velocidad dirección Malecón, San Antonio de Baños y Palma Soriano.…",
2021-07-12 05:26:51,"RT @Alvisepf: URGENTE:

El actual Dictador de Cuba, Miguel Díaz-Canel, ordena movilizar a todo el ejército cubano:

1. Saca fuerzas parami…",
2021-07-12 05:26:50,"RT @Alvisepf:  URGENTE:

Tropas especiales cubanas se movilizan a toda velocidad dirección Malecón, San Antonio de Baños y Palma Soriano.…",
2021-07-12 05:26:49,RT @ReutersLatam: Protestas contra el Gobierno de #Cuba en La Habana y la reacción del presidente y jefe del Partido Comunista Miguel Díaz-…,
2021-07-12 05:26:44,"RT @PMT67: ALERTA Miguel Díaz-Canel DICTADOR DE CUBA, llama a movilizar a todo el ejército cubano, fuerzas comunistas y pistoleros de la re…",
2021-07-12 05:26:43,La OEA condena al Gobierno cubano por llamar a los civiles a la confrontación ►https://t.co/rJ7orqlPTI,
2021-07-12 05:26:39,"RT @JoseAntonioLo06: Dice Miguel Díaz-Canel, el Dictador de Cuba, que las protestas en Cuba son por una campaña de desprestigio, se les hac…",
2021-07-12 05:26:39,"RT @SergioSarmiento: Miguel Díaz-Canel, presidente de Cuba, dice que las protestas en Cuba son por una campaña de desprestigio",
