created_at,text,sad
2021-07-12 06:05:32,RT @Eduvic3031: Quiero una serie de Monteagudo @renatomeva. Se podrá?,
2021-07-12 06:03:51,"RT @acuariana_25: Tú y yo en el parque de las aguas viendo ""Somos Libres"" 

Se podrá tomar una fotito con Monteagudo @renatomeva 

Si e…",
2021-07-12 05:20:46,"Tú y yo en el parque de las aguas viendo ""Somos Libres"" 

Se podrá tomar una fotito con Monteagudo @renatomeva 

Si es así, voy de tapada 

*Obvio que con el debido distanciamiento*",
2021-07-12 05:02:42,"Recién voy 18 episodios pero Monteagudo es de lo mejor de esta serie.
Muy buena actuación, y en lo personal me hizo acordar a Leonardo Torres Vilar haciendo de José Perfecto. https://t.co/RKidpWou28",
2021-07-12 05:01:07,RT @ChurroPortillo9: No estoy listo para volver a tutorías,
2021-07-12 04:29:41,@renatomeva Muy agudo... Monteagudo.,
2021-07-12 03:59:23,"RT @renatomeva: #MonteagudoRegresa 
Luego de #ElÚltimoBastión vuelvo a tener el encargo de representar al #Monteagudo de mi querido @Adrian…",
2021-07-12 03:46:10,@renatomeva El tucumano... monteagudo,
2021-07-12 03:42:16,RT @JessicaHuaman_: @renatomeva ¿Quien no detestó a Monteagudo en El Último Bastión? Sin duda gran actuación ,
2021-07-12 03:28:49,@AdrianzenEduard ¡Ese Monteagudo fue un tremendo conspirador! Que su gran actuación estremezca de indignación al público ávido de nuestra historia republicana. ,
2021-07-12 03:24:08,@renatomeva Jajajaja odié tanto a Monteagudo,
2021-07-12 03:13:32,"@renatomeva Uy, recuerdo tu Monteagudo malo malo malvado Buen trabajo.",
2021-07-12 03:12:01,Quiero una serie de Monteagudo @renatomeva. Se podrá?,
2021-07-12 03:01:24,@renatomeva Monteagudo la puesta en escena es  para verla virtual o presencial.,
2021-07-12 02:53:18,@renatomeva ¿Quien no detestó a Monteagudo en El Último Bastión? Sin duda gran actuación ,
2021-07-12 02:38:09,"@renatomeva Bernardo de Monteagudo en ""El último bastión""",
2021-07-12 02:36:01,"RT @15Sep1821: Ya se divirtieron los niños, es el turno de los grandes.
⚽ https://t.co/Ot09kotpqX",
