created_at,text,sad
2021-07-12 06:57:54,"RT @cuteongie: aroha be like teniendo dos avances del cb de astro en menos de 12 hrs 

SWITCH ON IS COMING 
#SWITCH_ON | @offclASTRO | #AST…",
2021-07-12 06:57:51,RT @cuteongie: entonces si sólo pasaron 12 hrs desde que salió lo primero del cb quiere decir que en otras 12 hrs podríamos tener el calend…,
2021-07-12 06:57:49,"RT @KandyAstrrro: Si captan q es completamente opuesto a One? Colores claros, probablemente al aire libre, vibes tranquilas... si ASTRO, el…",
2021-07-12 06:57:45,"RT @KandyAstrrro: Si captan q es completamente opuesto a One? Colores claros, probablemente al aire libre, vibes tranquilas... si ASTRO, el…",
2021-07-12 06:57:26,RT @cuteongie: querido diario: hoy salió la fecha oficial para nuestro cb y aroha apenas esta entendiendo una de todas las pistas que les d…,
2021-07-12 06:57:20,RT @roha_yoss: POR FAVOR QUE SEAN 2 VERSIONES QUE SEAN 2 VERSIONES QUE SEAN 2 VERSIONES QUE SEAN 2 VERSIONES QUE SEAN 2 VERSIONES QUE SEAN…,
2021-07-12 06:57:17,"RT @horan_zel: Este va a ser un gran cb, un cb donde astro va a demostrar por milésima vez que son un gran grupo,un grupo tan, pero tan tal…",
2021-07-12 06:56:40,"RT @horan_zel: Nos vos dentro de 12 horas para colapsar otra vez aaaaa

SWITCH ON IS COMING

[ #아스트로 | #ASTRO | #SWITCH_ON | @offclASTRO ]",
2021-07-12 06:56:02,"RT @KandyAstrrro: Si captan q es completamente opuesto a One? Colores claros, probablemente al aire libre, vibes tranquilas... si ASTRO, el…",
2021-07-12 06:55:29,"RT @horan_zel: Ahora tiene sentido lo de orden inverso ahora solo falta lo de Busán, capaz y también grabaron ahí

SWITCH ON IS COMING

#AS…",
2021-07-12 06:54:54,"RT @horan_zel: Genteee esperen entonces ya sabemos que todos los spolers que dice bin, tienen que ver con los títulos de las canciones 

Or…",
2021-07-12 06:53:47,RT @cuteongie: entonces si sólo pasaron 12 hrs desde que salió lo primero del cb quiere decir que en otras 12 hrs podríamos tener el calend…,
2021-07-12 06:53:17,"Pienso que el concepto será algo así... 
DIOSSSSSSS se ven tan hermosos, como siempre 

SWITCH ON IS COMING 
#SWITCH_ON | 
@offclASTRO
 | #ASTRO | #아스트로 https://t.co/iSMHUeuD9y",
2021-07-12 06:53:16,"RT @less_pl00: Debemos de llegar si o si a 30 millones con ONE así que a meterle nitro 
SWITCH ON IS COMING 
ASTRO IS COMING 
[    #SWITCH_…",
2021-07-12 06:53:14,"RT @horan_zel: Ahora tiene sentido lo de orden inverso ahora solo falta lo de Busán, capaz y también grabaron ahí

SWITCH ON IS COMING

#AS…",
2021-07-12 06:53:02,"RT @horan_zel: Este va a ser un gran cb, un cb donde astro va a demostrar por milésima vez que son un gran grupo,un grupo tan, pero tan tal…",
2021-07-12 06:52:45,"RT @KandyAstrrro: Si captan q es completamente opuesto a One? Colores claros, probablemente al aire libre, vibes tranquilas... si ASTRO, el…",
2021-07-12 06:52:35,"@cuteongie @offclASTRO JinJin prd0n por qué tengas a esta Aroha tonta 

SWITCH ON IS COMING

 #SWITCH_ON | #아스트로 | #ASTRO | @offclASTRO",
2021-07-12 06:51:53,"Hora de pensar en todos los spoilers que nos dió Binnie Moonbin 

SWITCH ON IS COMING

[ #ASTRO - #SWITCH_ON - #아스트로 
@offclASTRO ] https://t.co/9b45OeS9e8",
2021-07-12 06:51:23,"Estuve en el día que salió ONE, pero sólo conocía a EunWoo, no sabía de votaciones ni como se llamaba el grupo... así que no disfruté 

Pero prometo ayudar en todo lo que pueda en este comeback 

SWITCH ON IS COMING 
#SWITCH_ON | 
@offclASTRO
 | #ASTRO | #아스트로",
2021-07-12 06:51:04,"RT @AROHALatinoamr1: Cómo están Arohas, yo aún estoy procesando toda la noticia

Lanzamiento 2 de Agosto de 2021

#SWITCH_ON
SWITCH ON IS C…",
2021-07-12 06:50:55,"Buenas noches mutis 
Cambie mi nombresito era, Iree pq 
SWITCH ON IS COMING

#아스트로  #ASTRO #SWITCH_ON  @offclASTRO",
