created_at,text,sad
2021-07-12 05:33:17,RT @cparedesr: Como dice el penalista ⁦@CarlosCaroCoria⁩ hay varios artículos del Código Penal que el Fiscal Superior Omar Tello ha violado…,
2021-07-12 05:32:15,"RT @jorgevillenal: “Ojalá que te mueras…”
Es la cumbia que baila Oscar Ugarte y Violeta Bermudez luego de haber causado la peor tragedia sa…",
2021-07-12 05:30:09,"RT @el_analista2020: Para que quede claro:
Bloqueo económico es lo que ahora hay en el Perú. 
Nadie quiere invertir un sol por el temor a u…",
2021-07-12 05:29:50,"RT @republica_cuba: Los que llegaron al poder en 1959 lo hicieron asaltando hospitales, descarrilando trenes, tomando la Radio, fusilando i…",
2021-07-12 05:29:24,RT @ElectorPe: El país en crisis económica y sanitaria pero la premier y el ministro de salud tienen mucho que celebrar. Cuando no están p…,
2021-07-12 05:28:49,"RT @SalvatoreCaro: Gracias a uds.
Gracias a todos uds
Porque en esta increíble aventura nos metimos en todos ustedes.
Adelante de los ojos…",
2021-07-12 05:27:57,"RT @pbustamantep: Tomen nota izquierdistas peruanos, cuando se hace una protesta popular en Cuba, el gobierno ordena que los simpatizantes…",
2021-07-12 05:25:29,"RT @Marcogar7: @tommy_astros @sabribacal Ella encabeza la planilla, le siguen la exglosera, la Sra. Maui... https://t.co/TldAwm8nwp",
2021-07-12 05:24:57,"@tommy_astros @sabribacal Ella encabeza la planilla, le siguen la exglosera, la Sra. Maui... https://t.co/TldAwm8nwp",
2021-07-12 05:24:28,"RT @Yumegry: Si antes hacia cosplay solo, ahora obligara a Jhonny a hacerle segundas????  sabra pero yo pienso k ci.
(nada mejor k Jhonny s…",
2021-07-12 05:18:59,Bidenlovers del patio??. Que dilema este. @sabribacal 🤷‍♂️🤷‍♂️ https://t.co/doHpxYpTqb,
2021-07-12 05:16:53,"RT @Yumegry: Si antes hacia cosplay solo, ahora obligara a Jhonny a hacerle segundas????  sabra pero yo pienso k ci.
(nada mejor k Jhonny s…",
2021-07-12 05:16:42,"RT @Yumegry: Si antes hacia cosplay solo, ahora obligara a Jhonny a hacerle segundas????  sabra pero yo pienso k ci.
(nada mejor k Jhonny s…",
2021-07-12 05:14:15,"ㅤ

ㅤ    ━━ ese susurró le sorprendió, no conocía a 
             otra persona que le animará el terror. ━━

     𝐧unca le muestro mis obras a nadie , solo a tommy pero haré una excepción contigo.

ㅤ    ━━ descubrió su libreta y se la extendió. ━━
ㅤ https://t.co/xhv0d7fOwG https://t.co/no439wYztS",
2021-07-12 05:12:15,@PikmanT Cuentas con nosotros de ser necesario tommy,
2021-07-12 05:07:26,LPM ES TOMMY VOTEN POR TOMMY,
2021-07-12 05:06:47,ME ESTAN CARGANDO PERDON SAPNAP PERO ES TOMMY https://t.co/xDMFJLIkqs,
2021-07-12 05:05:43,#Tommy después de su #Peluquería en #Isisland #Dogs #Dog #DogLover #DogsOfInstagram #PetLover #PasionPorLasMascotas #LosAnimalesMeImportan #Grooming #AdopcionResponsable #AdoptaUnoSinCasa en Isisland Pet Shop https://t.co/PgFbbtHHLq,
2021-07-12 05:05:15,RT @PolloFarsantePe: QUE SE ESCUCHE EN TODOS LADOS: “¡Vamos a ponerle fin a esta dictadura sanguinaria hijueputa! ¡Pueblo de Cuba…vamo’ pa’…,
