created_at,text,sad
2021-07-12 05:57:29,RT @LunarejaVillar: Ugarte menciona que el siguiente fin de semana (17-18 de julio) se incorporará a las personas de 45 y 46 años. Espera q…,
2021-07-12 05:55:23,"RT @vpmloki: @AstUrbina @ougarteu @lorealvareza @canalN_ Si supieras de Tacna, te desmayas! Son tan centralistas que mañana vacunan a los d…",
2021-07-12 05:54:25,Si siguen asi de bien creo que mejor me voy para tacna a este paso en un mes llegan a los de 20 https://t.co/QM4q6jdSZF,
2021-07-12 05:53:31,"RT @BTS_Peru1: TOP 10 de ciudades/distritos de Perú que más vistas le dieron a @BTS_twt en YouTube en los últimos 7 días

🥇 Lima 4.67
🥈 Tru…",
2021-07-12 05:51:29,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 05:50:30,@rossanast7 @vpmloki @AstUrbina @ougarteu @lorealvareza @canalN_ Recuerda que en tacna con solo una Vacunatón de Lima inmunizan a toda su población que llegan a 250 solo mayores de edad. En Lima somos 10 millones.,
2021-07-12 05:49:54,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 05:48:40,Excelente noticia!   Bolivia inaugura otro tramo de vía para conectarse con Tacna | La República https://t.co/TicGIpVbHc vía @larepublica_pe,
2021-07-12 05:47:30,"@vpmloki @AstUrbina @ougarteu @lorealvareza @canalN_ Es mas!!!! Con una Vacunatón de Lima, que son dos dias aplicarían vacunas a todos en Tacna 🤔",
2021-07-12 05:46:23,"RT @GreciaLlanosP: Diresa Tacna anuncia vacunación de treintones. Empieza mañana con mayores de 38. Su proceso ""ta potente"" 🤭 https://t.co/…",
2021-07-12 05:45:40,"RT @FedericoAgusti: En Chosica, en Tacna y Cusco, mis colegas siguen trabajando cerca de las comunidades, las Iglesias y organizaciones de…",
2021-07-12 05:45:25,"@vpmloki @AstUrbina @ougarteu @lorealvareza @canalN_ En Tacna tienen una población de 350 mil habitantes, descontando a los menores de 18 deben de llegar a 250mil.. con medió millón de Vacunas estan todos inmunizados, que bueno .
Muy distinto a Lima que tiene 10 mill. de habitantes, Gran diferencia por eso aya van en los de 38",
2021-07-12 05:42:37,"RT @GreciaLlanosP: Diresa Tacna anuncia vacunación de treintones. Empieza mañana con mayores de 38. Su proceso ""ta potente"" 🤭 https://t.co/…",
2021-07-12 05:39:49,"@Geovani1102 @fcodeasis80 @ViruAlonso @SnowyAtee @ErrorArbitralTR Lima, Trujillo, Chiclayo, Pucallpa, Iquitos, Tacna, Piura, y ojalá aprovechen en Ica que tenga un nuevo estadio.",
2021-07-12 05:32:44,"RT @mSotoFlorian: Tacna, mañana arranca a vacunar a las y los muchachones de 38 años. 

 https://t.co/RNosH2IqKe",
2021-07-12 05:31:56,"RT @BTS_Peru1: TOP 10 de ciudades/distritos de Perú que más vistas le dieron a @BTS_twt en YouTube en los últimos 7 días

🥇 Lima 4.67
🥈 Tru…",
2021-07-12 05:29:35,Hoy es mi último día en Tacna y tengo muchos sentimientos encontrados 🥺,
2021-07-12 05:26:21,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 05:24:09,"RT @deygoar: @ougarteu @canalN_ Solo para que sepan que TACNA, sí, la ciudad olvidada está en 38. https://t.co/J7bzGMYPuD",
2021-07-12 05:23:07,RT @yesi_psb26: Tacna siempre un paso adelante. Después que alguien recibe su vacuna lo aplauden.  Estrategias motivadoras! https://t.co/RE…,
2021-07-12 05:21:15,"RT @GreciaLlanosP: Diresa Tacna anuncia vacunación de treintones. Empieza mañana con mayores de 38. Su proceso ""ta potente"" 🤭 https://t.co/…",
2021-07-12 05:19:59,"RT @FedericoAgusti: En Chosica, en Tacna y Cusco, mis colegas siguen trabajando cerca de las comunidades, las Iglesias y organizaciones de…",
2021-07-12 05:14:19,"@AIHVO2 @noakeiko Falso, esto esta a cargo de las diresas. Tacna esta vacunando a gente de 38; ni Lima ha llegado a ese nivel. El problema esta en las regiones",
2021-07-12 05:14:06,"RT @BTS_Peru1: TOP 10 de ciudades/distritos de Perú que más vistas le dieron a @BTS_twt en YouTube en los últimos 7 días

🥇 Lima 4.67
🥈 Tru…",
2021-07-12 05:13:38,"RT @diafanil500mg: En programa de Bayly, Lourdes prometio devolver US$ 600 mil (10 mil/mes) le pagó narco César Cataño cuatro anos para que…",
2021-07-12 05:13:14,"@noakeiko Que Tacna pase la receta, son la unica region que ya esta vacunando gente de 38... a ver si ya empezamos a purgr a burocratas ociosos",
2021-07-12 05:08:04,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 05:07:17,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 05:06:17,"Están aterrados de perder según ellos sus privilegios!!! Espero q exista más tv pluralista y no como lo es hoy en día q mienten descaradamente para seguir atrincherados en tv periodistas de mierda,cero ética, el cartón se  lo compraron en Tacna!!! https://t.co/fdrJm2dvet",
2021-07-12 05:05:13,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 04:59:38,"RT @BTS_Peru1: TOP 10 de ciudades/distritos de Perú que más vistas le dieron a @BTS_twt en YouTube en los últimos 7 días

🥇 Lima 4.67
🥈 Tru…",
2021-07-12 04:56:35,"RT @BTS_Peru1: TOP 10 de ciudades/distritos de Perú que más vistas le dieron a @BTS_twt en YouTube en los últimos 7 días

🥇 Lima 4.67
🥈 Tru…",
2021-07-12 04:56:14,@rmapalacios CON EL GOBIERNO CORRUPTO DE PERÚ LIBRE EN JUNIN APENAS VAN CON DE LOS 52 AÑOS A MAS Y SIGUEN MURIENDO POR ESTA PANDEMIA y MIENTRAS EN TACNA YA ESTAN VACUNANDO DE 30 A MÁS https://t.co/Bp3JUuhvRm,
2021-07-12 04:56:10,"RT @mSotoFlorian: Tacna, mañana arranca a vacunar a las y los muchachones de 38 años. 

 https://t.co/RNosH2IqKe",
2021-07-12 04:55:52,"@Star10_27 ala estas en el norte, yo de tacna",
2021-07-12 04:53:56,"RT @GreciaLlanosP: Diresa Tacna anuncia vacunación de treintones. Empieza mañana con mayores de 38. Su proceso ""ta potente"" 🤭 https://t.co/…",
2021-07-12 04:51:34,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 04:51:05,"RT @BTS_Peru1: TOP 10 de ciudades/distritos de Perú que más vistas le dieron a @BTS_twt en YouTube en los últimos 7 días

🥇 Lima 4.67
🥈 Tru…",
2021-07-12 04:50:00,"RT @FEMAPeru: #FEMATacna, junto al @MINPRODUCCION y la @PoliciaPeru, realizaron un operativo inopinado de fiscalización de recursos hidrobi…",
2021-07-12 04:49:50,"RT @CharitoBalta: Es cierto que tenemos menos población, pero nadie puede quitar que se ha gestionado bien el proceso de vacunación. Mi mam…",
2021-07-12 04:49:16,"RT @FedericoAgusti: En Chosica, en Tacna y Cusco, mis colegas siguen trabajando cerca de las comunidades, las Iglesias y organizaciones de…",
2021-07-12 04:47:01,"RT @eduardoenred: Tacna está un rayo con su vacunación.
A partir de mañana comienzan los de 38 años.  https://t.co/SiZvvSr3WZ",
2021-07-12 04:47:00,"RT @mikimenav: #ÚLTIMO #TACNA La región del sur, Tacna, iniciará mañana 12 de julio la vacunación a sus habitantes adultos mayores de 38 añ…",
