created_at,text,sad
2021-07-12 05:28:01,"RT @DonVocero: Ya me tocó ver:
La caída de la URSS
La caída del muro de Berlín
La caída de Lula y Dilma
Hoy sigue Cuba
Y en 2024 el Cacas..…",
2021-07-12 05:27:58,"RT @DonVocero: Ya me tocó ver:
La caída de la URSS
La caída del muro de Berlín
La caída de Lula y Dilma
Hoy sigue Cuba
Y en 2024 el Cacas..…",
2021-07-12 05:27:56,"RT @Plumaroja20: Ahora que los talibanes controlan el 80% de Afganistán, conviene recordar que fue USA quien los apoyó para derrocar al Gob…",
2021-07-12 05:27:51,"RT @LilithWeryta: Que afortunada es mi generación .
Ver caer la URSS
El Muro de Berlín 
Y próximamente la Dictadura Cubana ",
2021-07-12 05:27:50,"RT @LilithWeryta: Que afortunada es mi generación .
Ver caer la URSS
El Muro de Berlín 
Y próximamente la Dictadura Cubana ",
2021-07-12 05:27:48,RT @hermanntertsch: 4. Las revoluciones anticomunistas democráticas de los pueblos de Europa oriental que desencadenó el Papa San Juan Pabl…,
2021-07-12 05:27:45,"@DiegoAcuOficial No te lo dijo tu profesor?  
el 23/8/1989 alrededor de 2 millones de personas de Letonia, Estonia y Lituania formaron una cadena humana que se unió a los 3 países para mostrarle al mundo su deseo de separarse de la URSS..., esta cadena fue de 671 km y se independizaron en 1991. https://t.co/K6FeJZ4nZ7",
2021-07-12 05:27:41,"RT @MrLotario: En 1996 Caspar Weinberger, EX Secretario de la Defensa de USA (81-87) que prácticamente ayudó a Reagan y a Thatcher a disolv…",
2021-07-12 05:27:30,RT @hermanntertsch: 4. Las revoluciones anticomunistas democráticas de los pueblos de Europa oriental que desencadenó el Papa San Juan Pabl…,
2021-07-12 05:27:28,RT @olgarusu: A la URSS qué le pasó entonces?,
2021-07-12 05:27:18,"RT @LilithWeryta: Que afortunada es mi generación .
Ver caer la URSS
El Muro de Berlín 
Y próximamente la Dictadura Cubana ",
2021-07-12 05:27:11,"RT @JoseAntonioLo06: Cayó la URSS, cayó el muro de Berlín, queda poco para que llegue el momento de que Cuba sea libre.
No habrá balas ni C…",
2021-07-12 05:27:06,A la URSS qué le pasó entonces? https://t.co/xezV0ZUsVm,
2021-07-12 05:27:00,RT @DannyRangelGDL: Al régimen castrista ya no lo protege ningúna superpotencia al nivel de la URSS. Cuba no es tan crucial como para que C…,
