created_at,text,sad
2021-07-12 05:26:39,"FlowLazona Radio "" En vivo Ahora : Alex Duvall - Dame la Verde",
2021-07-12 05:26:38,"RT @sita507562591: ¡Viva Asturias,VERDE!...Viva el orbayu,los llimiagos y caracoles...y dormir con mantita!!! https://t.co/TryJo0mkVP",
2021-07-12 05:26:37,"RT @DPRK_CAODEBENOS: La invasión de Ceuta en forma de ""Marcha Verde"" era cuestión de tiempo. Vendrán más atraídos por la política hippie en…",
2021-07-12 05:26:33,"@EMODIBUJOS @TheErikaSlut Ta bonita la OC de TheErikaSlut, con su cabello verde",
2021-07-12 05:26:33,"RT @MaruxaM68: Buenos días...Good morning

Verde que te quiero verde
verde viento verdes ramas
el barco sobre la mar
el caballo en la mont…",
2021-07-12 05:26:30,RT @SanchezCaicedoC: Para un sector del @PartidoVerdeCoL los  qué nos sentimos recogidos en una tendencia de 'centroizquierda' y de 'izqui…,
2021-07-12 05:26:30,"flashback: primera semana de clases en 2018, te verde con piña y unas locas q no sabía q iba a amar tanto tres años después",
2021-07-12 05:26:27,A qué horas cierran el foco verde en Oaxaca?,
2021-07-12 05:26:21,"RT @RDemocratica: #GabrielBoricPresidente | “En nuestro gobierno vamos a avanzar hacia una mejor redistribución de la riqueza, con perspect…",
2021-07-12 05:26:17,"@AntonioMautor No como los contatos que han ellos , todos por concurso público... Me da que el que está verde es él y eso que ni ha hecho otra cosa en la vida que ser un mantenido en la política, porque hasta le regalaron los estudios.",
2021-07-12 05:26:13,#IncDGT el 19-10-2020 09:30:00 tipo #OBRA (REASFALTADO) #VERDE en #SANTA_CRUZ_DE_TENERIFE (SAN ANTONIO) vía #LP204 #PK0_0 AMBOS SENTIDOS,
2021-07-12 05:26:11,#IncDGT el 16-03-2021 21:18:00 tipo #OBRA (TRABAJOS DE MANTENIMIENTO) #VERDE en #GRANADA (CARCHUNA) vía #A7 #PK342_0 AMBOS SENTIDOS,
2021-07-12 05:26:10,#IncDGT el 16-03-2021 21:18:00 tipo #OBRA (TRABAJOS DE MANTENIMIENTO) #VERDE en #GRANADA (RAMBLA DEL AGUA) vía #A7 #PK357_2 DECRECIENTE ...,
2021-07-12 05:26:10,#IncDGT el 16-03-2021 21:18:00 tipo #OBRA (TRABAJOS DE MANTENIMIENTO) #VERDE en #GRANADA (TABLONES (LOS)) vía #A7 #PK340_2 CRECIENTE DE ...,
2021-07-12 05:26:09,#IncDGT el 16-03-2021 14:06:00 tipo #OBRA (OBRAS EN GENERAL) #VERDE en #CADIZ (ALCALA DE LOS GAZULES) vía #A381 #PK73_5 CRECIENTE DE LA ...,
2021-07-12 05:26:09,"RT @ConalepElZarco: En semáforo verde las medidas preventivas continúan, usa cubrebocas y mantén la sana distancia @israeljeronimol @Enriqu…",
2021-07-12 05:26:09,#IncDGT el 15-03-2021 10:27:00 tipo #OBRA (OBRAS EN GENERAL) #VERDE en #CADIZ (ALGAMITAS (LAS)) vía #A381 #PK65_5 DECRECIENTE DE LA KILO...,
2021-07-12 05:26:08,#IncDGT el 15-03-2021 10:25:00 tipo #OBRA (OBRAS EN GENERAL) #VERDE en #CADIZ (ALCALA DE LOS GAZULES) vía #A381 #PK38_8 DECRECIENTE DE L...,
2021-07-12 05:26:05,#IncDGT el 09-03-2021 13:53:00 tipo #PRECAUCIÓN (CARRIL EN SENTIDO CONTRARIO) #VERDE en #SEVILLA (ECIJA) vía #A4 #PK445_4 DECRECIENTE DE...,
