created_at,text,sad
2021-07-12 05:21:44,"RT @TAEV4NT3_95: si son armys y tienen como prioridad a bangtan, interactúen con este tweet, quiero nuevos mutis que hablen, que voten y qu…",
2021-07-12 05:21:40,"RT @JNKArgentina: Voten por Jennie!!

➡️ opción #3",
2021-07-12 05:21:33,voten o me corto un pie https://t.co/apxgCN6H13,
2021-07-12 05:21:32,RT @KehrFlores: Cubanos piden a los Chilenos que no voten por los comunistas https://t.co/1gzx4KvVdT,
2021-07-12 05:21:27,RT @mojitaste: once las chicas están nominadas en “The Top Best KPOP Girl Groups of 2021” actualmente están en primer lugar pero no hay que…,
2021-07-12 05:21:14,a ver voten https://t.co/nL4BqP0SkX,
2021-07-12 05:21:05,"RT @MattyLL: a las parlamentarias... y debemos votar por los candidatos de la lista, sean del FA o del bloque del PC... así que pórtense co…",
2021-07-12 05:20:56,RT @mojitaste: once las chicas están nominadas en “The Top Best KPOP Girl Groups of 2021” actualmente están en primer lugar pero no hay que…,
2021-07-12 05:20:51,RT @mojitaste: once las chicas están nominadas en “The Top Best KPOP Girl Groups of 2021” actualmente están en primer lugar pero no hay que…,
2021-07-12 05:20:38,RT @mojitaste: once las chicas están nominadas en “The Top Best KPOP Girl Groups of 2021” actualmente están en primer lugar pero no hay que…,
2021-07-12 05:20:32,"Según ya me iba a dormir jskks, voten forros https://t.co/5fwgPfLPd2",
2021-07-12 05:20:31,RT @belieeve_awake: @ConySchon Te falto nomas decir y voten por boric 🤣🤣,
2021-07-12 05:20:23,"RT @Ederlin0417: Voten por Namjoon es la primera opción!!! 

@BTS_twt",
2021-07-12 05:20:19,RT @CATFELlX: pasen por acá y voten por bangchan no tienen q hacer nada más q seleccionar tu nombre https://t.co/A00kNcX5Fe,
2021-07-12 05:20:13,"RT @dica7810: ¿Han notado que la única propuesta del papagayo @FicoGutierrez y el perezoso @sergio_fajardo para ser presidentes, es decir y…",
2021-07-12 05:20:10,"RT @CNCOMxOficial: La nueva era de CNCO está muy cerca y queremos hacer tendencia una frase.
Voten por su favorita

#KCAMexico #CNCO #CNC…",
