created_at,text,sad
2021-07-12 05:42:51,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:42:08,"Estoy feliz por tener mis Álbumnes de #EXO #Chansoo   me encanta, estoy tan feliz por tenerlos,  es la mejor shippeo  de #EXO #CHANYEOL #DONT_FIGHT_THE_FEELING #Kyungsoo  @weareoneEXO  https://t.co/Fq1ZnMZky5",
2021-07-12 05:41:59,"RT @Vero_f98: ¿No les pasa que ven a Chanyeol y piensan ""madre santísima, qué hombre tan completo, lo tiene todo""?",
2021-07-12 05:41:14,"RT @DoKyungLoey: @THEK___KING EXOLs por favor voten por Chanyeol, es la 3ra opción!! Gracias

#DONT_FIGHT_THE_FEELING 
#EXO @weareoneEXO",
2021-07-12 05:39:28,"RT @EXOL_INTENSE: Tan guapo como siempre! 

Nacific_kr nos comparte un gran video de #CHANYEOL   

Hot summer ya está a la venta☀️ 

http…",
2021-07-12 05:39:28,"RT @LoeySunflower61: Te extraño cada día, pero hoy mucho más ♡🥺

#찬열 #CHANYEOL https://t.co/UMneIMF93v",
2021-07-12 05:39:18,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:39:18,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:38:51,RT @yeolmaespa: yo cuando chanyeol salga de la colimba https://t.co/99HzofUJI9,
2021-07-12 05:38:39,"RT @Yeol2101: Tweet diario hasta que Yeol salga
Día 105
#CHANYEOL #EXO
Pasan los años y cada vez Yeol me enamora más❤de verdad amo su per…",
2021-07-12 05:38:35,"yo quiero llegar al altar con chanyeol y que me cante all of me mientras me sonríe, callense
https://t.co/y9nicotmYK",
2021-07-12 05:37:53,"RT @DoKyungLoey: @THEK___KING EXOLs por favor voten por Chanyeol, es la 3ra opción!! Gracias

#DONT_FIGHT_THE_FEELING 
#EXO @weareoneEXO",
2021-07-12 05:35:59,"yo debería estar durmiendo, mañana tengo trabajo, sin embargo estaba llorando en tiktok mientras veía un vídeo de una de las pc's de chanyeol para dftf y de verdad, de verdad, necesito esa pc para que pueda continuar viviendo ",
2021-07-12 05:35:43,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:35:22,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:34:19,#CHANYEOL X Nacific  https://t.co/BqKSO3hRjO,
2021-07-12 05:34:07,"RT @gifsloey: NACIFIC 
https://t.co/Yt2wzKOJsO
#CHANYEOL #찬열 https://t.co/zRfw1UULZ7",
2021-07-12 05:34:04,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:34:01,"RT @gifsloey: NACIFIC
https://t.co/bytAwARqhd
#CHANYEOL #찬열 https://t.co/OLb4uEs25q",
2021-07-12 05:33:56,"RT @gifsloey: NACIFIC
https://t.co/s7YzWgeV1L
#CHANYEOL #찬열 https://t.co/yZZ2azXGhd",
2021-07-12 05:33:41,"RT @gifsloey: NACIFIC 
https://t.co/Yt2wzKOJsO
#CHANYEOL #찬열 https://t.co/zRfw1UULZ7",
2021-07-12 05:33:19,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:32:48,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:32:33,"RT @LoeySunflower61: Te extraño cada día, pero hoy mucho más ♡🥺

#찬열 #CHANYEOL https://t.co/UMneIMF93v",
2021-07-12 05:32:26,"RT @gifsloey: NACIFIC
https://t.co/PmGTH52288
#CHANYEOL #찬열 https://t.co/Qk66aUlWmI",
2021-07-12 05:32:12,"RT @Yeol2101: Tweet diario hasta que Yeol salga
Día 105
#CHANYEOL #EXO
Pasan los años y cada vez Yeol me enamora más❤de verdad amo su per…",
2021-07-12 05:31:51,"RT @Vero_f98: ¿No les pasa que ven a Chanyeol y piensan ""madre santísima, qué hombre tan completo, lo tiene todo""?",
2021-07-12 05:31:28,RT @CuloSehun: mi cargador carga rápido porque chanyeol le dice faitin https://t.co/Eq9i2Yi72b,
2021-07-12 05:31:22,"RT @gifsloey: NACIFIC 
https://t.co/Yt2wzKOJsO
#CHANYEOL #찬열 https://t.co/zRfw1UULZ7",
2021-07-12 05:31:08,"RT @Vero_f98: ¿No les pasa que ven a Chanyeol y piensan ""madre santísima, qué hombre tan completo, lo tiene todo""?",
2021-07-12 05:30:59,"RT @gifsloey: NACIFIC
https://t.co/s7YzWgeV1L
#CHANYEOL #찬열 https://t.co/yZZ2azXGhd",
2021-07-12 05:30:34,"RT @gifsloey: NACIFIC
https://t.co/s7YzWgeV1L
#CHANYEOL #찬열 https://t.co/yZZ2azXGhd",
2021-07-12 05:30:21,"RT @Vero_f98: ¿No les pasa que ven a Chanyeol y piensan ""madre santísima, qué hombre tan completo, lo tiene todo""?",
2021-07-12 05:29:51,"RT @gifsloey: NACIFIC 
https://t.co/Yt2wzKOJsO
#CHANYEOL #찬열 https://t.co/zRfw1UULZ7",
