created_at,text,sad
2021-07-12 05:26:39,RT @elbrigacandido: Inche chairo por Dios que das pena tu con tu celular cacahuatito de los que vende el agiotista y abonero @RicardoBSalin…,
2021-07-12 05:26:35,RT @RamirezClaudia_: Que bonito ser socialista desde tu iPhone… bola de hipócritas.,
2021-07-12 05:26:34,"RT @Francortinas10: Cada vez que usted vea a Delsa con la bemba llena botox, a Lilian con sus zapatos de 800$ a la Mojigata mostrando su iP…",
2021-07-12 05:26:24,"RT @GloriaAlvarez85: #SOSCUBA  a ver, ¿Dónde están esos lame-traseros del Ché Guevera? 🧐 esos que sólo aparecen cuando son los niños fres…",
2021-07-12 05:26:18,"RT @Nicolas4917: Que piola que los comunistas llegaron a ser tendencia número 2 en Twitter che. Los ilumino un poco:
Tipo: empresa privada.…",
2021-07-12 05:26:17,"RT @ApoliticoX: Desde la comodidad de la cama, con su IPhone y su abrigo de Carolina Herrera, la falsa e hipócrita Citlali apoya al regimen…",
2021-07-12 05:26:14,"RT @DanaEscalante4: @yeidckol @DiazCanelB @ramirovaldes #CubaLibre  y es fácil decir ""ni un paso atrás"" cuando se esta cómodamente viviendo…",
2021-07-12 05:26:10,"RT @TuAmigoTito_: Solo los socialistas de iPhone idolatran al regimen tiránico de Cuba. 

Mientras tanto, el pueblo se levanta ante la mano…",
2021-07-12 05:26:09,"RT @EriEndless: Volvieron tendencia iPhone porque es delito ser socialista y tener un teléfono :v 
Yo pensé era algo importante https://t.c…",
2021-07-12 05:26:07,"La Mejor en Bachata LMM BACHATA RADIO: El Profesor by Elvis Martinez! Tune in now. 
https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",
2021-07-12 05:26:04,"RT @TuAmigoTito_: Solo los socialistas de iPhone idolatran al regimen tiránico de Cuba. 

Mientras tanto, el pueblo se levanta ante la mano…",
2021-07-12 05:26:04,"RT @DonVocero: Twitteando desde un iPhone que guarda en su bolsa Gucci mientras su chófer conduce un BMW.
Hipócritas! https://t.co/q7EtkDYc…",
2021-07-12 05:25:59,"RT @Francortinas10: Cada vez que usted vea a Delsa con la bemba llena botox, a Lilian con sus zapatos de 800$ a la Mojigata mostrando su iP…",
2021-07-12 05:25:57,@MAT1TR0LASO compra un iphone por mi JASHDJASHD que hasta la proxima semana me comprar celu a mi creo,
2021-07-12 05:25:56,"Viva el comunismo

Twitter for iPhone 

El iPhone comprado de Palacio de Hierro es su arma

Y las lágrimas sus balas

Revolución.      //.        Revolución
Antes.                           Ahora https://t.co/trgajIDGGj",
2021-07-12 05:25:50,"RT @RiosCorona222: @yeidckol @DiazCanelB @ramirovaldes “Hasta la victoria siempre” mensaje desde un iPhone en una red neoliberal, CUANTA IN…",
2021-07-12 05:25:47,"ParA DeBaTiR NecESitAs TenEr IphOne

Lo más pelotudo que leí en mucho tiempo. https://t.co/d439xocKdj",
2021-07-12 05:25:45,"RT @GloriaAlvarez85: #SOSCUBA  a ver, ¿Dónde están esos lame-traseros del Ché Guevera? 🧐 esos que sólo aparecen cuando son los niños fres…",
